CD_LAU|CD_MUNTY_REFNIS|TX_DESCR_DE|TX_DESCR_EN|TX_DESCR_FR|TX_DESCR_NL|DT_VLDT_STRT|DT_VLDT_STOP|CD_LVL_SUP|CD_LVL
11018|11018|Hemiksem|Hemiksem|Hemiksem|Hemiksem|1900-01-01|9999-12-31|BE211|4
11021|11021|Hove (Antwerpen)|Hove (Antwerpen)|Hove (Anvers)|Hove (Antwerpen)|1900-01-01|9999-12-31|BE211|4
11022|11022|Kalmthout|Kalmthout|Kalmthout|Kalmthout|1900-01-01|9999-12-31|BE211|4
11023|11023|Kapellen (Antwerpen)|Kapellen (Antwerpen)|Kapellen (Anvers)|Kapellen (Antwerpen)|1900-01-01|9999-12-31|BE211|4
11024|11024|Kontich|Kontich|Kontich|Kontich|1900-01-01|9999-12-31|BE211|4
11025|11025|Lint|Lint|Lint|Lint|1900-01-01|9999-12-31|BE211|4
11029|11029|Mortsel|Mortsel|Mortsel|Mortsel|1900-01-01|9999-12-31|BE211|4
11030|11030|Niel|Niel|Niel|Niel|1900-01-01|9999-12-31|BE211|4
11035|11035|Ranst|Ranst|Ranst|Ranst|1900-01-01|9999-12-31|BE211|4
11037|11037|Rumst|Rumst|Rumst|Rumst|1900-01-01|9999-12-31|BE211|4
11038|11038|Schelle|Schelle|Schelle|Schelle|1900-01-01|9999-12-31|BE211|4
11039|11039|Schilde|Schilde|Schilde|Schilde|1900-01-01|9999-12-31|BE211|4
11040|11040|Schoten|Schoten|Schoten|Schoten|1900-01-01|9999-12-31|BE211|4
11044|11044|Stabroek|Stabroek|Stabroek|Stabroek|1900-01-01|9999-12-31|BE211|4
11050|11050|Wijnegem|Wijnegem|Wijnegem|Wijnegem|1900-01-01|9999-12-31|BE211|4
11052|11052|Wommelgem|Wommelgem|Wommelgem|Wommelgem|1900-01-01|9999-12-31|BE211|4
11053|11053|Wuustwezel|Wuustwezel|Wuustwezel|Wuustwezel|1900-01-01|9999-12-31|BE211|4
11054|11054|Zandhoven|Zandhoven|Zandhoven|Zandhoven|1900-01-01|9999-12-31|BE211|4
11055|11055|Zoersel|Zoersel|Zoersel|Zoersel|1900-01-01|9999-12-31|BE211|4
11056|11056|Zwijndrecht|Zwijndrecht|Zwijndrecht|Zwijndrecht|1900-01-01|9999-12-31|BE211|4
11057|11057|Malle|Malle|Malle|Malle|1900-01-01|9999-12-31|BE211|4
12002|12002|Berlaar|Berlaar|Berlaar|Berlaar|1900-01-01|9999-12-31|BE212|4
12005|12005|Bonheiden|Bonheiden|Bonheiden|Bonheiden|1900-01-01|9999-12-31|BE212|4
12007|12007|Bornem|Bornem|Bornem|Bornem|1900-01-01|9999-12-31|BE212|4
12009|12009|Duffel|Duffel|Duffel|Duffel|1900-01-01|9999-12-31|BE212|4
12014|12014|Heist-op-den-Berg|Heist-op-den-Berg|Heist-op-den-Berg|Heist-op-den-Berg|1900-01-01|9999-12-31|BE212|4
12021|12021|Lier|Lier|Lierre|Lier|1900-01-01|9999-12-31|BE212|4
12025|12025|Mechelen|Mechelen|Malines|Mechelen|1900-01-01|9999-12-31|BE212|4
12026|12026|Nijlen|Nijlen|Nijlen|Nijlen|1900-01-01|9999-12-31|BE212|4
12029|12029|Putte|Putte|Putte|Putte|1900-01-01|9999-12-31|BE212|4
12030|12030|Puurs|Puurs|Puurs|Puurs|1900-01-01|2019-01-01|BE212|4
12034|12034|Sint-Amands|Sint-Amands|Sint-Amands|Sint-Amands|1900-01-01|2019-01-01|BE212|4
12035|12035|Sint-Katelijne-Waver|Sint-Katelijne-Waver|Sint-Katelijne-Waver|Sint-Katelijne-Waver|1900-01-01|9999-12-31|BE212|4
12040|12040|Willebroek|Willebroek|Willebroek|Willebroek|1900-01-01|9999-12-31|BE212|4
13001|13001|Arendonk|Arendonk|Arendonk|Arendonk|1900-01-01|9999-12-31|BE213|4
13002|13002|Baarle-Hertog|Baarle-Hertog|Baerle-Duc|Baarle-Hertog|1900-01-01|9999-12-31|BE213|4
13003|13003|Balen|Balen|Balen|Balen|1900-01-01|9999-12-31|BE213|4
13004|13004|Beerse|Beerse|Beerse|Beerse|1900-01-01|9999-12-31|BE213|4
13006|13006|Dessel|Dessel|Dessel|Dessel|1900-01-01|9999-12-31|BE213|4
13008|13008|Geel|Geel|Geel|Geel|1900-01-01|9999-12-31|BE213|4
13010|13010|Grobbendonk|Grobbendonk|Grobbendonk|Grobbendonk|1900-01-01|9999-12-31|BE213|4
13011|13011|Herentals|Herentals|Herentals|Herentals|1900-01-01|9999-12-31|BE213|4
13012|13012|Herenthout|Herenthout|Herenthout|Herenthout|1900-01-01|9999-12-31|BE213|4
13013|13013|Herselt|Herselt|Herselt|Herselt|1900-01-01|9999-12-31|BE213|4
13014|13014|Hoogstraten|Hoogstraten|Hoogstraten|Hoogstraten|1900-01-01|9999-12-31|BE213|4
13016|13016|Hulshout|Hulshout|Hulshout|Hulshout|1900-01-01|9999-12-31|BE213|4
13017|13017|Kasterlee|Kasterlee|Kasterlee|Kasterlee|1900-01-01|9999-12-31|BE213|4
13019|13019|Lille|Lille|Lille|Lille|1900-01-01|9999-12-31|BE213|4
13021|13021|Meerhout|Meerhout|Meerhout|Meerhout|1900-01-01|9999-12-31|BE213|4
