Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/zelden (%),Af en toe (%),Vaak/altijd (%)
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.17,0.35,0.48
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.15,0.34,0.51
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.87,0.12,0.02
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.86,0.11,0.03
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.12,0.07,0.81
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.11,0.09,0.8
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.3,0.21,0.49
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.27,0.28,0.45
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.78,0.12,0.11
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.78,0.13,0.09
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.72,0.1,0.18
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.32,0.37,0.31
 As ,71002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.29,0.32,0.39
