Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,15 min of minder (%),meer dan 15 tot en met 30 min (%),meer dan 30 min tot en met 1 uur (%),meer dan een uur (%)
 Rotselaar ,24094,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.28,0.41,0.17
 Rotselaar ,24094,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.27,0.43,0.15
 Ruiselede ,37012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.3,0.29,0.15
 Ruiselede ,37012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.41,0.25,0.08
 Rumst ,11037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.43,0.34,0.1
 Rumst ,11037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.43,0.31,0.06
 Schelle ,11038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.32,0.38,0.14
 Schelle ,11038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.33,0.41,0.09
 Scherpenheuvel-Zichem ,24134,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.29,0.3,0.21
 Scherpenheuvel-Zichem ,24134,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.25,0.41,0.16
 Schilde ,11039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.29,0.4,0.17
 Schilde ,11039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.27,0.44,0.12
 Schoten ,11040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.27,0.4,0.09
 Schoten ,11040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.37,0.35,0.11
 Sint-Amands ,12034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.31,0.34,0.13
 Sint-Genesius-Rode ,23101,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.09,0.21,0.56,0.14
 Sint-Genesius-Rode ,23101,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.08,0.27,0.55,0.1
 Sint-Gillis-Waas ,46020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.32,0.35,0.18
 Sint-Gillis-Waas ,46020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.37,0.31,0.13
 Sint-Katelijne-Waver ,12035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.28,0.31,0.17
 Sint-Katelijne-Waver ,12035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.31,0.31,0.1
 Sint-Laureins ,43014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.32,0.34,0.14
 Sint-Laureins ,43014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.41,0.31,0.14
 Sint-Lievens-Houtem ,41063,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.31,0.31,0.22
 Sint-Lievens-Houtem ,41063,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.38,0.31,0.15
 Sint-Martens-Latem ,44064,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.32,0.3,0.21
 Sint-Martens-Latem ,44064,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.42,0.26,0.14
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.36,0.28,0.24,0.11
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.28,0.3,0.12
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.31,0.31,0.13
 Sint-Pieters-Leeuw ,23077,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.24,0.4,0.12
 Sint-Pieters-Leeuw ,23077,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.34,0.36,0.13
 Sint-Truiden ,71053,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.34,0.31,0.21,0.14
 Sint-Truiden ,71053,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.26,0.33,0.14
 Spiere-Helkijn ,34043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.51,0.23,0.11
 Spiere-Helkijn ,34043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.49,0.22,0.1
 Stabroek ,11044,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.33,0.34,0.21
 Stabroek ,11044,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.41,0.35,0.1
 Staden ,36019,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.32,0.35,0.22,0.1
 Staden ,36019,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.41,0.23,0.08
 Steenokkerzeel ,23081,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.32,0.38,0.14
 Steenokkerzeel ,23081,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.41,0.33,0.04
 Stekene ,46024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.27,0.42,0.14
 Stekene ,46024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.35,0.41,0.1
 Temse ,46025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.27,0.32,0.2
 Temse ,46025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.32,0.34,0.13
 Ternat ,23086,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.27,0.4,0.18
 Ternat ,23086,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.27,0.46,0.12
 Tervuren ,24104,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.29,0.44,0.13
 Tervuren ,24104,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.12,0.33,0.5,0.05
 Tessenderlo ,71057,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.34,0.19,0.19
 Tessenderlo ,71057,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.32,0.24,0.13
 Tielt ,37015,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.38,0.29,0.26,0.06
 Tielt ,37015,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.33,0.31,0.08
 Tielt-Winge ,24135,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.22,0.43,0.22
 Tielt-Winge ,24135,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.33,0.4,0.15
 Tienen ,24107,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.29,0.36,0.19
 Tienen ,24107,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.22,0.38,0.15
 Tongeren ,73083,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.22,0.38,0.14
 Tongeren ,73083,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.33,0.33,0.09
 Torhout ,31033,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.31,0.3,0.09
 Torhout ,31033,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.4,0.28,0.06
 Tremelo ,24109,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.22,0.41,0.2
 Tremelo ,24109,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.25,0.41,0.14
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.43,0.28,0.16,0.13
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.4,0.26,0.2,0.14
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.38,0.27,0.22,0.13
 Veurne ,38025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.41,0.25,0.2,0.14
 Veurne ,38025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.54,0.21,0.17,0.08
 Vilvoorde ,23088,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.32,0.34,0.13
 Vilvoorde ,23088,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.3,0.33,0.11
 Vleteren ,33041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.4,0.19,0.09
 Vleteren ,33041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.46,0.2,0.1
 Voeren ,73109,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.32,0.25,0.14
 Voeren ,73109,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.28,0.29,0.15
 Vorselaar ,13044,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.29,0.36,0.16
 Vorselaar ,13044,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.4,0.36,0.09
 Vosselaar ,13046,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.33,0.16,0.2
 Vosselaar ,13046,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.33,0.33,0.23,0.11
 Waarschoot ,44072,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.36,0.38,0.1
 Waasmunster ,42023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.31,0.3,0.15
 Waasmunster ,42023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.34,0.32,0.1
 Wachtebeke ,44073,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.43,0.26,0.09
 Wachtebeke ,44073,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.38,0.36,0.08
 Waregem ,34040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.34,0.33,0.22,0.1
 Waregem ,34040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.35,0.32,0.21,0.12
 Wellen ,73098,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.38,0.3,0.1
 Wellen ,73098,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.45,0.21,0.08
 Wemmel ,23102,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.32,0.38,0.16
 Wemmel ,23102,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.28,0.46,0.06
 Wervik ,33029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.39,0.25,0.1
 Wervik ,33029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.41,0.24,0.08
 Westerlo ,13049,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.34,0.25,0.17
 Westerlo ,13049,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.35,0.29,0.09
 Wetteren ,42025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.28,0.31,0.21
 Wetteren ,42025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.29,0.31,0.14
 Wevelgem ,34041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.43,0.2,0.11
 Wevelgem ,34041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.32,0.41,0.15,0.11
 Wezembeek-Oppem ,23103,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.29,0.52,0.07
 Wezembeek-Oppem ,23103,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.33,0.36,0.08
 Wichelen ,42026,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.27,0.32,0.22
 Wichelen ,42026,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.12,0.29,0.4,0.19
 Wielsbeke ,37017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.33,0.22,0.16
 Wielsbeke ,37017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.32,0.35,0.23,0.1
 Wijnegem ,11050,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.23,0.41,0.16
 Wijnegem ,11050,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.39,0.37,0.08
 Willebroek ,12040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.35,0.37,0.15
 Willebroek ,12040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.34,0.33,0.13
 Wingene ,37018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.33,0.35,0.1
 Wingene ,37018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.37,0.29,0.09
 Wommelgem ,11052,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.26,0.42,0.14
 Wommelgem ,11052,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.43,0.37,0.05
 Wortegem-Petegem ,45061,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.27,0.37,0.2,0.17
 Wortegem-Petegem ,45061,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.35,0.25,0.14
 Wuustwezel ,11053,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.29,0.35,0.19
 Wuustwezel ,11053,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.31,0.38,0.14
 Zandhoven ,11054,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.25,0.35,0.22
 Zandhoven ,11054,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.32,0.36,0.12
 Zaventem ,23094,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.3,0.33,0.14
 Zaventem ,23094,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.35,0.35,0.07
 Zedelgem ,31040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.41,0.3,0.1
 Zedelgem ,31040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.43,0.21,0.13
 Zele ,42028,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.28,0.25,0.19
 Zele ,42028,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.26,0.35,0.09
 Zelzate ,43018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.29,0.33,0.15
 Zelzate ,43018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.32,0.27,0.11
 Zemst ,23096,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.34,0.41,0.11
 Zemst ,23096,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.38,0.37,0.06
 Zingem ,45057,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.31,0.38,0.12
 Zoersel ,11055,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.19,0.42,0.22
 Zoersel ,11055,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.32,0.35,0.17
 Zomergem ,44080,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.26,0.42,0.14
 Zonhoven ,71066,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.43,0.25,0.08
 Zonhoven ,71066,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.42,0.16,0.07
 Zonnebeke ,33037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.34,0.37,0.21,0.08
 Zonnebeke ,33037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.36,0.37,0.19,0.08
 Zottegem ,41081,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.15,0.31,0.3
 Zottegem ,41081,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.16,0.4,0.27
 Zoutleeuw ,24130,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.3,0.35,0.16
 Zoutleeuw ,24130,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.3,0.36,0.1
 Zuienkerke ,31042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.35,0.26,0.14
 Zuienkerke ,31042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.44,0.22,0.07
 Zulte ,44081,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.34,0.23,0.13
 Zulte ,44081,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.42,0.19,0.11
 Zutendaal ,71067,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.42,0.22,0.14
 Zutendaal ,71067,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.43,0.14,0.1
 Zwalm ,45065,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.29,0.37,0.2
 Zwalm ,45065,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.29,0.37,0.22
 Zwevegem ,34042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.43,0.21,0.11
 Zwevegem ,34042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.43,0.15,0.09
 Zwijndrecht ,11056,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.39,0.32,0.13
 Zwijndrecht ,11056,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.4,0.39,0.1
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.34,0.33,0.23,0.1
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.33,0.25,0.13
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.33,0.26,0.13
Gemeenten groter dan 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.33,0.25,0.13
Gemeenten groter dan 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.34,0.26,0.13
Gemeenten kleiner dan 10.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.32,0.31,0.16
Gemeenten kleiner dan 10.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.36,0.3,0.12
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.31,0.32,0.16
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.35,0.32,0.11
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.3,0.32,0.16
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.34,0.32,0.11
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.3,0.29,0.15
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.32,0.3,0.13
Vlaams Gewest,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.31,0.3,0.15
Vlaams Gewest,/,/,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.34,0.3,0.12
