Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,5 km of minder (%),meer dan 5 tot en met 10 km (%),meer dan 10 tot en met 25 km (%),meer dan 25 tot en met 50km (%),meer dan 50 km (%)
 Oud-Turnhout ,13031,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.21,0.22,0.24,0.21,0.12
 Overijse ,23062,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.14,0.55,0.09,0.07
 Peer ,72030,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.12,0.39,0.27,0.06
 Pelt ,72043,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.21,0.24,0.24,0.12
 Pepingen ,23064,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.21,0.41,0.23,0.09
 Pittem ,37011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.19,0.32,0.26,0.05
 Poperinge ,33021,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.13,0.37,0.19,0.1
 Putte ,12029,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.21,0.38,0.27,0.04
 Puurs-Sint-Amands ,12041,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.18,0.35,0.26,0.04
 Ranst ,11035,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.13,0.53,0.16,0.07
 Ravels ,13035,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.15,0.39,0.25,0.12
 Retie ,13036,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.13,0.43,0.21,0.1
 Riemst ,73066,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.15,0.34,0.23,0.14
 Rijkevorsel ,13037,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.22,0.36,0.2,0.08
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.39,0.2,0.18,0.13,0.1
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.36,0.2,0.2,0.16,0.08
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.3,0.21,0.24,0.18,0.07
 Ronse ,45041,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.05,0.24,0.29,0.17
 Roosdaal ,23097,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.13,0.47,0.21,0.06
 Rotselaar ,24094,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.15,0.42,0.26,0.07
 Ruiselede ,37012,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.19,0.33,0.32,0.07
 Rumst ,11037,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.23,0.39,0.15,0.06
 Schelle ,11038,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.23,0.44,0.17,0.02
 Scherpenheuvel-Zichem ,24134,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.13,0.25,0.4,0.13
 Schilde ,11039,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.18,0.48,0.15,0.1
 Schoten ,11040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.26,0.41,0.12,0.05
 Sint-Genesius-Rode ,23101,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.16,0.58,0.14,0.08
 Sint-Gillis-Waas ,46020,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.14,0.36,0.29,0.1
 Sint-Katelijne-Waver ,12035,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.27,0.26,0.22,0.06
 Sint-Laureins ,43014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.12,0.43,0.31,0.1
 Sint-Lievens-Houtem ,41063,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.15,0.45,0.24,0.09
 Sint-Martens-Latem ,44064,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.31,0.29,0.11,0.19
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.3,0.15,0.21,0.23,0.11
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.27,0.15,0.24,0.27,0.07
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.15,0.27,0.26,0.06
 Sint-Pieters-Leeuw ,23077,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.33,0.4,0.13,0.02
 Sint-Truiden ,71053,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.2,0.29,0.21,0.16
 Spiere-Helkijn ,34043,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.14,0.52,0.17,0.12
 Stabroek ,11044,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.16,0.52,0.12,0.09
 Staden ,36019,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.24,0.4,0.16,0.07
 Steenokkerzeel ,23081,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.23,0.48,0.13,0.03
 Stekene ,46024,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.1,0.39,0.39,0.04
 Temse ,46025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.23,0.29,0.24,0.1
 Ternat ,23086,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.09,0.57,0.16,0.06
 Tervuren ,24104,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.15,0.63,0.08,0.03
 Tessenderlo ,71057,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.19,0.31,0.23,0.14
 Tielt ,37015,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.18,0.33,0.27,0.04
 Tielt-Winge ,24135,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.07,0.49,0.27,0.1
 Tienen ,24107,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.1,0.26,0.37,0.08
 Tongeren ,73083,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.1,0.35,0.22,0.15
 Torhout ,31033,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.14,0.41,0.21,0.08
 Tremelo ,24109,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.14,0.42,0.26,0.06
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.39,0.17,0.17,0.14,0.14
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.38,0.16,0.19,0.17,0.11
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.35,0.17,0.2,0.17,0.11
 Veurne ,38025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.38,0.16,0.2,0.14,0.12
 Vilvoorde ,23088,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.22,0.4,0.16,0.03
 Vleteren ,33041,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.2,0.49,0.16,0.1
 Voeren ,73109,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.15,0.35,0.19,0.19
 Vorselaar ,13044,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.16,0.46,0.22,0.07
 Vosselaar ,13046,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.27,0.25,0.2,0.2,0.09
 Waasmunster ,42023,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.19,0.24,0.33,0.1
 Wachtebeke ,44073,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.12,0.4,0.28,0.09
 Waregem ,34040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.2,0.23,0.22,0.1
 Wellen ,73098,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.15,0.52,0.14,0.09
 Wemmel ,23102,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.28,0.43,0.1,0.01
 Wervik ,33029,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.17,0.43,0.15,0.08
 Westerlo ,13049,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.21,0.31,0.26,0.06
 Wetteren ,42025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.09,0.38,0.16,0.15
 Wevelgem ,34041,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.27,0.32,0.12,0.1
 Wezembeek-Oppem ,23103,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.29,0.4,0.08,0.08
 Wichelen ,42026,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.1,0.44,0.27,0.09
 Wielsbeke ,37017,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.23,0.29,0.2,0.1
 Wijnegem ,11050,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.28,0.42,0.1,0.06
 Willebroek ,12040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.21,0.4,0.21,0.05
 Wingene ,37018,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.17,0.45,0.19,0.1
 Wommelgem ,11052,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.33,0.31,0.15,0.05
 Wortegem-Petegem ,45061,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.21,0.32,0.25,0.16
 Wuustwezel ,11053,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.11,0.34,0.37,0.08
 Zandhoven ,11054,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.11,0.48,0.18,0.09
 Zaventem ,23094,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.2,0.39,0.13,0.06
 Zedelgem ,31040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.19,0.4,0.12,0.17
 Zele ,42028,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.15,0.28,0.3,0.08
 Zelzate ,43018,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.21,0.14,0.37,0.21,0.08
 Zemst ,23096,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.24,0.49,0.13,0.04
 Zoersel ,11055,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.12,0.48,0.14,0.12
 Zonhoven ,71066,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.22,0.39,0.13,0.1
 Zonnebeke ,33037,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.26,0.42,0.12,0.08
 Zottegem ,41081,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.09,0.28,0.35,0.17
 Zoutleeuw ,24130,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.11,0.36,0.28,0.16
 Zuienkerke ,31042,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.29,0.42,0.09,0.11
 Zulte ,44081,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.22,0.36,0.19,0.09
 Zutendaal ,71067,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.27,0.41,0.09,0.13
 Zwalm ,45065,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.16,0.37,0.32,0.12
 Zwevegem ,34042,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.34,0.3,0.11,0.11
 Zwijndrecht ,11056,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.31,0.38,0.09,0.12
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: afstand,2014,0.33,0.2,0.19,0.16,0.12
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: afstand,2017,0.32,0.2,0.22,0.16,0.11
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.31,0.2,0.21,0.18,0.1
Gemeenten groter dan 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.3,0.2,0.21,0.18,0.1
Gemeenten kleiner dan 10.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.18,0.38,0.22,0.11
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.19,0.38,0.21,0.09
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.18,0.36,0.21,0.1
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.18,0.35,0.21,0.09
Vlaams Gewest,/,/,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.19,0.33,0.2,0.1
