Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/een uitzonderlijke keer (%),Minstens maandelijks (%),Minstens wekelijks (%)
 Schelle ,11038,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.17,0.78
 Scherpenheuvel-Zichem ,24134,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.23,0.66
 Schilde ,11039,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.23,0.69
 Schoten ,11040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.16,0.79
 Sint-Genesius-Rode ,23101,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.22,0.66
 Sint-Gillis-Waas ,46020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.72
 Sint-Katelijne-Waver ,12035,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.18,0.74
 Sint-Laureins ,43014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.64
 Sint-Lievens-Houtem ,41063,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.29,0.54
 Sint-Martens-Latem ,44064,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.24,0.68
 Sint-Niklaas ,46021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.12,0.18,0.7
 Sint-Niklaas ,46021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.11,0.17,0.72
 Sint-Niklaas ,46021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.14,0.78
 Sint-Pieters-Leeuw ,23077,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.22,0.68
 Sint-Truiden ,71053,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.17,0.69
 Spiere-Helkijn ,34043,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Stabroek ,11044,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.19,0.74
 Staden ,36019,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.22,0.68
 Steenokkerzeel ,23081,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.26,0.66
 Stekene ,46024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.18,0.73
 Temse ,46025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.18,0.73
 Ternat ,23086,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.26,0.66
 Tervuren ,24104,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.16,0.79
 Tessenderlo ,71057,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.26,0.6
 Tielt ,37015,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.22,0.7
 Tielt-Winge ,24135,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.24,0.59
 Tienen ,24107,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
 Tongeren ,73083,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.18,0.71
 Torhout ,31033,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.19,0.72
 Tremelo ,24109,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.25,0.64
 Turnhout ,13040,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.06,0.13,0.81
 Turnhout ,13040,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.07,0.13,0.8
 Turnhout ,13040,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.12,0.84
 Veurne ,38025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.15,0.78
 Vilvoorde ,23088,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.17,0.78
 Vleteren ,33041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.19,0.26,0.55
 Voeren ,73109,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.24,0.66
 Vorselaar ,13044,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.16,0.76
 Vosselaar ,13046,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.18,0.73
 Waasmunster ,42023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.24,0.62
 Wachtebeke ,44073,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.23,0.67
 Waregem ,34040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.72
 Wellen ,73098,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.26,0.59
 Wemmel ,23102,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.2,0.73
 Wervik ,33029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.24,0.68
 Westerlo ,13049,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
 Wetteren ,42025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.2,0.74
 Wevelgem ,34041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.21,0.7
 Wezembeek-Oppem ,23103,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.23,0.72
 Wichelen ,42026,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.24,0.65
 Wielsbeke ,37017,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.27,0.61
 Wijnegem ,11050,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.11,0.84
 Willebroek ,12040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.21,0.74
 Wingene ,37018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.24,0.61
 Wommelgem ,11052,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.17,0.76
 Wortegem-Petegem ,45061,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.33,0.51
 Wuustwezel ,11053,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.19,0.7
 Zandhoven ,11054,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.21,0.68
 Zaventem ,23094,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.16,0.75
 Zedelgem ,31040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.23,0.69
 Zele ,42028,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.14,0.78
 Zelzate ,43018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.17,0.72
 Zemst ,23096,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.71
 Zoersel ,11055,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
 Zonhoven ,71066,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.26,0.58
 Zonnebeke ,33037,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.28,0.58
 Zottegem ,41081,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.25,0.65
 Zoutleeuw ,24130,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.26,0.59
 Zuienkerke ,31042,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.26,0.58
 Zulte ,44081,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.33,0.58
 Zutendaal ,71067,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.28,0.59
 Zwalm ,45065,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.31,0.54
 Zwevegem ,34042,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Zwijndrecht ,11056,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.12,0.82
13 centrumsteden,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.08,0.17,0.76
13 centrumsteden,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.08,0.15,0.77
13 centrumsteden,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.13,0.82
Gemeenten groter dan 50.000 inw.,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.13,0.82
Gemeenten kleiner dan 10.000 inw.,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.25,0.63
Gemeenten van 10.000 tot 20.000 inw.,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.21,0.69
Gemeenten van 20.000 tot 30.000 inw.,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.2,0.71
Gemeenten van 30.000 tot 50.000 inw.,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.2,0.7
Vlaams Gewest,/,/,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
