Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.1,0.9
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.08,0.92
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.07,0.93
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.01,0.99
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.08,0.92
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.04,0.96
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.03,0.97
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.82,0.18
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.82,0.18
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.08,0.92
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.08,0.92
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.15,0.85
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.1,0.9
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.16,0.84
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.23,0.77
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.15,0.85
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.13,0.87
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.17,0.83
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.08,0.92
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.02,0.98
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.1,0.9
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.09,0.91
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.06,0.94
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.63,0.37
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.66,0.34
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.12,0.88
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.1,0.9
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.22,0.78
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.1,0.9
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.17,0.83
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.21,0.79
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.12,0.88
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.25,0.75
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.34,0.66
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.12,0.88
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.05,0.95
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.15,0.85
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.19,0.81
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.22,0.78
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.76,0.24
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.8,0.2
