Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Dendermonde ,42006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.14,0.81
 Dentergem ,37002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.08,0.88
 Dentergem ,37002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.09,0.88
 Dessel ,13006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.08,0.89
 Dessel ,13006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.08,0.88
 Destelbergen ,44013,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
 Destelbergen ,44013,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.08,0.89
 Diepenbeek ,71011,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.06,0.87
 Diepenbeek ,71011,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.07,0.9
 Diest ,24020,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.1,0.86
 Diest ,24020,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.07,0.88
 Diksmuide ,32003,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.09,0.85
 Diksmuide ,32003,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.05,0.89
 Dilbeek ,23016,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.12,0.1,0.78
 Dilbeek ,23016,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.14,0.16,0.7
 Dilsen-Stokkem ,72041,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.05,0.91
 Dilsen-Stokkem ,72041,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.07,0.89
 Drogenbos ,23098,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.24,0.19,0.57
 Drogenbos ,23098,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.19,0.19,0.63
 Duffel ,12009,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.04,0.9
 Duffel ,12009,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.09,0.82
 Edegem ,11013,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.1,0.81
 Edegem ,11013,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.13,0.13,0.75
 Eeklo ,43005,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
