Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit (%),Tot 12 keer (%),Meer dan 12 keer (%),Niet aanwezig in de eigen gemeente (%)
 Gistel ,35005,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.23,0.39,0.24,0.13
 Glabbeek ,24137,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.49,0.27,nvt
 Glabbeek ,24137,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.23,0.49,0.28,nvt
 Glabbeek ,24137,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.17,0.35,0.41,0.06
 Glabbeek ,24137,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.16,0.4,0.42,0.02
 Gooik ,23024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.18,0.54,0.27,nvt
 Gooik ,23024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.54,0.3,nvt
 Gooik ,23024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.18,0.37,0.39,0.07
 Gooik ,23024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.13,0.39,0.42,0.05
 Grimbergen ,23025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.19,0.44,0.37,nvt
 Grimbergen ,23025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.53,0.31,nvt
 Grimbergen ,23025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.1,0.34,0.55,0.01
 Grimbergen ,23025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.4,0.48,0.01
 Grobbendonk ,13010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.42,0.39,nvt
 Grobbendonk ,13010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.48,0.34,nvt
 Grobbendonk ,13010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.33,0.53,0.01
 Grobbendonk ,13010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.35,0.58,0
 Haacht ,24033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.49,0.3,nvt
 Haacht ,24033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.53,0.28,nvt
 Haacht ,24033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.12,0.41,0.45,0.01
 Haacht ,24033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.38,0.52,0.01
 Haaltert ,41024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.29,0.43,0.28,nvt
 Haaltert ,41024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.48,0.31,nvt
 Haaltert ,41024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.19,0.37,0.38,0.06
 Haaltert ,41024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.13,0.43,0.41,0.03
 Halen ,71020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.43,0.35,nvt
 Halen ,71020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.49,0.34,nvt
 Halen ,71020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.32,0.54,0.04
 Halen ,71020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.11,0.39,0.47,0.03
 Halle ,23027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.51,0.29,nvt
 Halle ,23027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.59,0.25,nvt
 Halle ,23027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.42,0.49,0.01
 Halle ,23027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.5,0.41,0
 Ham ,71069,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.53,0.26,nvt
 Ham ,71069,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.51,0.31,nvt
 Ham ,71069,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.06,0.39,0.54,0.01
 Ham ,71069,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.06,0.39,0.55,0
 Hamme ,42008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.47,0.29,nvt
 Hamme ,42008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.54,0.26,nvt
 Hamme ,42008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.44,0.43,0.01
 Hamme ,42008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.11,0.38,0.49,0.01
 Hamont-Achel ,72037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.43,0.32,nvt
 Hamont-Achel ,72037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.53,0.26,nvt
 Hamont-Achel ,72037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.32,0.6,0.01
 Hamont-Achel ,72037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.39,0.54,0
 Harelbeke ,34013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.26,0.5,0.24,nvt
 Harelbeke ,34013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.58,0.22,nvt
 Harelbeke ,34013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.44,0.44,0.03
 Harelbeke ,34013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.49,0.4,0.02
 Hasselt ,71022,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.55,0.29,nvt
 Hasselt ,71022,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.43,0.48,0.01
 Hechtel-Eksel,72038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.45,0.33,nvt
 Hechtel-Eksel,72038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.49,0.3,nvt
 Hechtel-Eksel,72038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.05,0.31,0.64,0
 Hechtel-Eksel,72038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.06,0.31,0.63,0
 Heers ,73022,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.5,0.26,nvt
 Heers ,73022,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.52,0.29,nvt
 Heers ,73022,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.37,0.44,0.06
 Heers ,73022,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.44,0.44,0.03
 Heist-Op-Den-Berg ,12014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.29,0.48,0.24,nvt
 Heist-Op-Den-Berg ,12014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.53,0.26,nvt
 Heist-Op-Den-Berg ,12014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.47,0.38,0.01
 Heist-Op-Den-Berg ,12014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.49,0.39,0.01
 Hemiksem ,11018,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.42,0.35,nvt
 Hemiksem ,11018,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.13,0.51,0.36,nvt
 Hemiksem ,11018,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.42,0.38,0.05
 Hemiksem ,11018,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.41,0.45,0.03
 Herent ,24038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.45,0.35,nvt
 Herent ,24038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.12,0.52,0.36,nvt
 Herent ,24038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.16,0.4,0.42,0.02
 Herent ,24038,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.45,0.43,0.02
 Herentals ,13011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.48,0.27,nvt
 Herentals ,13011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.56,0.26,nvt
 Herentals ,13011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.1,0.38,0.5,0.02
 Herentals ,13011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.4,0.51,0.01
 Herenthout ,13012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.51,0.24,nvt
 Herenthout ,13012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.51,0.28,nvt
 Herenthout ,13012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.1,0.41,0.48,0.01
 Herenthout ,13012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.38,0.52,0
 Herk-De-Stad ,71024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.18,0.5,0.32,nvt
 Herk-De-Stad ,71024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.54,0.29,nvt
 Herk-De-Stad ,71024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.42,0.49,0.01
 Herk-De-Stad ,71024,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.12,0.43,0.43,0.02
 Herne ,23032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.19,0.54,0.27,nvt
 Herne ,23032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.53,0.28,nvt
 Herne ,23032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.19,0.42,0.31,0.08
 Herne ,23032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.15,0.43,0.34,0.07
 Herselt ,13013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.26,0.42,0.32,nvt
 Herselt ,13013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.48,0.32,nvt
 Herselt ,13013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.28,0.57,0.02
 Herselt ,13013,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.12,0.33,0.54,0.02
 Herzele ,41027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.19,0.56,0.25,nvt
 Herzele ,41027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.52,0.31,nvt
 Herzele ,41027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.48,0.38,0.03
 Herzele ,41027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.48,0.38,0.04
 Heusden-Zolder ,71070,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.15,0.53,0.32,nvt
 Heusden-Zolder ,71070,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.56,0.26,nvt
 Heusden-Zolder ,71070,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.39,0.54,0
 Heusden-Zolder ,71070,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.41,0.49,0.01
 Heuvelland ,33039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.46,0.29,nvt
 Heuvelland ,33039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.57,0.24,nvt
 Heuvelland ,33039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.18,0.38,0.43,0.02
 Heuvelland ,33039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.15,0.41,0.42,0.02
 Hoegaarden ,24041,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.46,0.34,nvt
 Hoegaarden ,24041,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.52,0.32,nvt
 Hoegaarden ,24041,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.34,0.57,0.01
 Hoegaarden ,24041,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.06,0.29,0.62,0.02
 Hoeilaart ,23033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.39,0.41,nvt
 Hoeilaart ,23033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.49,0.35,nvt
 Hoeilaart ,23033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.04,0.26,0.7,0
 Hoeilaart ,23033,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.04,0.33,0.63,0
 Hoeselt ,73032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.44,0.36,nvt
 Hoeselt ,73032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.53,0.28,nvt
 Hoeselt ,73032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.46,0.38,0.03
 Hoeselt ,73032,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.14,0.37,0.47,0.02
 Holsbeek ,24043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.18,0.44,0.38,nvt
 Holsbeek ,24043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.14,0.51,0.35,nvt
 Holsbeek ,24043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.3,0.61,0.01
 Holsbeek ,24043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.3,0.62,0
 Hooglede ,36006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.5,0.27,nvt
 Hooglede ,36006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.54,0.31,nvt
 Hooglede ,36006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.23,0.44,0.19,0.14
 Hooglede ,36006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.22,0.47,0.18,0.13
 Hoogstraten ,13014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.28,0.49,0.23,nvt
 Hoogstraten ,13014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.54,0.24,nvt
 Hoogstraten ,13014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.37,0.51,0.03
 Hoogstraten ,13014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.44,0.43,0.03
 Horebeke ,45062,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.28,0.43,0.29,nvt
 Horebeke ,45062,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.52,0.32,nvt
 Horebeke ,45062,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.21,0.33,0.32,0.14
 Horebeke ,45062,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.13,0.36,0.37,0.14
 Houthalen-Helchteren ,72039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.19,0.45,0.36,nvt
 Houthalen-Helchteren ,72039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.51,0.29,nvt
 Houthalen-Helchteren ,72039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.06,0.37,0.55,0.01
 Houthalen-Helchteren ,72039,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.41,0.51,0.01
 Houthulst ,32006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.53,0.24,nvt
 Houthulst ,32006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.6,0.23,nvt
 Houthulst ,32006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.55,0.29,0.01
 Houthulst ,32006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.14,0.6,0.25,0.01
 Hove ,11021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.17,0.54,0.3,nvt
 Hove ,11021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.13,0.52,0.35,nvt
 Hove ,11021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.4,0.53,0
 Hove ,11021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.04,0.38,0.58,0
 Huldenberg ,24045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.18,0.42,0.39,nvt
 Huldenberg ,24045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.13,0.52,0.34,nvt
 Huldenberg ,24045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.24,0.67,0
 Huldenberg ,24045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.32,0.6,0.01
 Hulshout ,13016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.19,0.5,0.31,nvt
 Hulshout ,13016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.44,0.35,nvt
 Hulshout ,13016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.34,0.5,0.03
 Hulshout ,13016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.4,0.47,0.02
 Ichtegem ,35006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.27,0.49,0.24,nvt
 Ichtegem ,35006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.54,0.27,nvt
 Ichtegem ,35006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.24,0.41,0.27,0.09
 Ichtegem ,35006,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.21,0.43,0.24,0.12
 Ieper ,33011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.26,0.47,0.28,nvt
 Ieper ,33011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.21,0.56,0.23,nvt
 Ieper ,33011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.12,0.43,0.43,0.03
 Ieper ,33011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.11,0.49,0.39,0.01
 Ingelmunster ,36007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.48,0.28,nvt
 Ingelmunster ,36007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.54,0.26,nvt
 Ingelmunster ,36007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.18,0.49,0.27,0.05
 Ingelmunster ,36007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.16,0.51,0.27,0.06
 Izegem ,36008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.54,0.23,nvt
 Izegem ,36008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.14,0.66,0.2,nvt
 Izegem ,36008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.52,0.35,0.02
 Izegem ,36008,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.53,0.37,0.01
 Jabbeke ,31012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.16,0.5,0.34,nvt
 Jabbeke ,31012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.11,0.58,0.31,nvt
