Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%) ,Minstens maandelijks (%),Minstens wekelijks (%) 
 Avelgem ,34003,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.33,0.29,0.38
 Avelgem ,34003,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.59,0.24,0.17
 Avelgem ,34003,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.37,0.29,0.33
 Avelgem ,34003,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.2,0.31,0.49
 Avelgem ,34003,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.42,0.09,0.5
 Avelgem ,34003,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.34,0.3,0.36
 Avelgem ,34003,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.68,0.19,0.13
 Avelgem ,34003,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.29,0.3,0.41
 Avelgem ,34003,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.69,0.16,0.15
 Avelgem ,34003,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.22,0.13,0.65
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.33,0.26,0.41
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.56,0.19,0.25
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.25,0.14,0.61
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.09,0.16,0.75
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.12,0.03,0.85
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.27,0.32,0.4
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.54,0.26,0.2
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.33,0.25,0.42
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.7,0.1,0.2
 Baarle-Hertog ,13002,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.2,0.09,0.71
 Balen ,13003,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.31,0.28,0.41
 Balen ,13003,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.61,0.25,0.14
 Balen ,13003,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.24,0.26,0.5
 Balen ,13003,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.21,0.3,0.49
 Balen ,13003,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.06,0.69
 Balen ,13003,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.38,0.28,0.34
 Balen ,13003,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.67,0.22,0.11
 Balen ,13003,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.33,0.28,0.39
 Balen ,13003,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.67,0.18,0.15
 Balen ,13003,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.15,0.14,0.7
 Beernem ,31003,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.27,0.46
 Beernem ,31003,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.54,0.28,0.18
 Beernem ,31003,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.24,0.24,0.52
 Beernem ,31003,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.21,0.57
 Beernem ,31003,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.33,0.05,0.61
 Beernem ,31003,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.29,0.36,0.35
 Beernem ,31003,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.59,0.26,0.16
 Beernem ,31003,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.26,0.29,0.45
 Beernem ,31003,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.68,0.18,0.14
 Beernem ,31003,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.2,0.1,0.7
 Beerse ,13004,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.28,0.42
 Beerse ,13004,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.57,0.29,0.15
 Beerse ,13004,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.2,0.21,0.59
 Beerse ,13004,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.21,0.62
 Beerse ,13004,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.26,0.1,0.65
 Beerse ,13004,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.33,0.29,0.39
 Beerse ,13004,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.64,0.22,0.14
 Beerse ,13004,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.31,0.24,0.44
 Beerse ,13004,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.65,0.19,0.16
