Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Hoeselt ,73032,nee,Voldoende groen buurt,2020,0.11,0.07,0.82
 Holsbeek ,24043,nee,Voldoende groen buurt,2017,0.03,0.06,0.9
 Holsbeek ,24043,nee,Voldoende groen buurt,2020,0.05,0.03,0.92
 Hooglede ,36006,nee,Voldoende groen buurt,2017,0.14,0.1,0.75
 Hooglede ,36006,nee,Voldoende groen buurt,2020,0.14,0.17,0.69
 Hoogstraten ,13014,nee,Voldoende groen buurt,2017,0.09,0.07,0.84
 Hoogstraten ,13014,nee,Voldoende groen buurt,2020,0.11,0.08,0.81
 Horebeke ,45062,nee,Voldoende groen buurt,2017,0.05,0.07,0.88
 Horebeke ,45062,nee,Voldoende groen buurt,2020,0.05,0.06,0.89
 Houthalen-Helchteren ,72039,nee,Voldoende groen buurt,2017,0.08,0.07,0.85
 Houthalen-Helchteren ,72039,nee,Voldoende groen buurt,2020,0.11,0.07,0.82
 Houthulst ,32006,nee,Voldoende groen buurt,2017,0.1,0.1,0.8
 Houthulst ,32006,nee,Voldoende groen buurt,2020,0.09,0.06,0.85
 Hove ,11021,nee,Voldoende groen buurt,2017,0.09,0.07,0.84
 Hove ,11021,nee,Voldoende groen buurt,2020,0.07,0.07,0.86
 Huldenberg ,24045,nee,Voldoende groen buurt,2017,0.03,0.02,0.95
 Huldenberg ,24045,nee,Voldoende groen buurt,2020,0.05,0.04,0.92
 Hulshout ,13016,nee,Voldoende groen buurt,2017,0.09,0.09,0.81
 Hulshout ,13016,nee,Voldoende groen buurt,2020,0.08,0.08,0.84
 Ichtegem ,35006,nee,Voldoende groen buurt,2017,0.09,0.1,0.81
 Ichtegem ,35006,nee,Voldoende groen buurt,2020,0.1,0.08,0.81
 Ieper ,33011,nee,Voldoende groen buurt,2017,0.08,0.08,0.84
 Ieper ,33011,nee,Voldoende groen buurt,2020,0.11,0.08,0.82
