,Gemeente,NSI-code,Vrouw,Man
255,Incourt,25043,2839,2775
256,Ingelmunster,36007,5733,5561
257,Itter,25044,3640,3427
258,Izegem,36008,14665,14180
259,Jabbeke,31012,7156,7066
260,Jalhay,63038,4395,4305
261,Jemeppe-sur-Sambre,92140,9650,9496
262,Jette,21010,27287,25464
263,Juprelle,62060,4862,4777
264,Jurbeke,53044,5551,5251
265,Kalmthout,11022,9814,9365
266,Kampenhout,23038,6285,6065
267,Kapelle-op-den-Bos,23039,4936,4674
268,Kapellen (Antwerpen),11023,14005,13437
269,Kaprijke,43007,3293,3246
270,Kasteelbrakel,25015,5431,5207
271,Kasterlee,13017,9536,9604
272,Keerbergen,24048,6731,6387
273,Kelmis,63040,5747,5482
274,Kinrooi,72018,6058,6200
275,Kluisbergen,45060,3421,3370
276,Knokke-Heist,31043,17031,15844
277,Koekelare,32010,4385,4384
278,Koekelberg,21011,10984,11039
279,Koksijde,38014,11125,10726
280,Komen-Waasten,57097,9316,8893
281,Kontich,11024,10858,10482
282,Kortemark,32011,6416,6387
283,Kortenaken,24054,3976,3940
284,Kortenberg,24055,10380,10082
285,Kortessem,73040,4306,4289
286,Kortrijk,34022,39350,38391
287,Kraainem,23099,7174,6754
288,Kruibeke,46013,8605,8375
289,Kruisem,45068,7985,7891
290,Kuurne,34023,7093,6882
291,La Bruyère,92141,4778,4538
292,La Louvière,58001,41523,39469
293,La Roche-en-Ardenne,83031,2092,2118
294,Laakdal,13053,8203,8261
295,Laarne,42010,6348,6170
296,Lanaken,73042,12971,13201
297,Landen,24059,8268,7881
298,Langemark-Poelkapelle,33040,3888,4038
299,Lasne,25119,7288,7011
300,Le Roeulx,55035,4441,4297
301,Lebbeke,42011,9983,9736
302,Lede,41034,9602,9452
303,Ledegem,36010,4896,4842
304,Lendelede,34025,2938,2865
305,Lennik,23104,4775,4537
306,Lens,53046,2368,2283
307,Leopoldsburg,71034,8101,8024
308,Les Bons Villers,52075,4881,4629
309,Lessen,51069,9535,9245
310,Leuven,24062,51146,51090
311,Leuze-en-Hainaut,57094,7208,6790
312,Libin,84035,2637,2670
313,Libramont-Chevigny,84077,5843,5755
314,Lichtervelde,36011,4468,4550
315,Liedekerke,23044,6971,6680
316,Lier,12021,19166,18143
317,Lierde,45063,3339,3350
318,Lierneux,63045,1761,1818
319,Lievegem,44085,13604,13053
320,Lijsem,64047,1688,1621
321,Lille,13019,8275,8413
322,Limburg,63046,2870,2825
323,Linkebeek,23100,2491,2218
324,Lint,11025,4314,4239
325,Linter,24133,3681,3595
326,Lo-Reninge,32030,1586,1631
327,Lobbes,56044,2995,2872
328,Lochristi,44034,11545,11352
329,Lokeren,46014,21565,21138
330,Lommel,72020,17135,17261
331,Londerzeel,23045,9721,9415
332,Lontzen,63048,2976,2971
333,Lubbeek,24066,7429,7347
334,Luik,62063,98454,96824
335,Lummen,71037,7494,7678
336,Léglise,84033,2792,2913
337,Maarkedal,45064,3275,3111
338,Maaseik,72021,12789,12735
339,Maasmechelen,73107,19730,19679
340,Machelen (Halle-Vilvoorde),23047,8236,7872
341,Maldegem,43010,12200,12209
342,Malle,11057,7974,7782
343,Malmedy,63049,6621,6236
344,Manage,55086,12104,11721
345,Manhay,83055,1785,1865
346,Marche-en-Famenne,83034,9039,8719
347,Marchin,61039,2788,2713
348,Martelange,81013,961,970
349,Mechelen,12025,44372,42624
350,Meerhout,13021,5051,5207
351,Meise,23050,10243,9748
352,Meix-devant-Virton,85024,1439,1384
353,Melle,44040,6133,5754
354,Menen,34027,17060,16922
355,Merbes-le-Château,56049,2109,2115
356,Merchtem,23052,8895,8612
357,Merelbeke,44043,12675,12211
358,Merksplas,13023,4289,4394
359,Mesen,33016,523,539
360,Messancy,81015,4194,4145
361,Mettet,92087,6858,6630
362,Meulebeke,37007,5461,5549
363,Middelkerke,35011,9917,9806
364,Modave,61041,2098,2133
365,Moerbeke (Gent),44045,3369,3316
366,Moeskroen,57096,30372,28807
367,Mol,13025,18882,18718
368,Momignies,56051,2653,2631
369,Mont-Saint-Guibert,25068,4151,3930
370,Mont-de-lEnclus,57095,1891,1915
371,Montigny-le-Tilleul,52048,5353,4772
372,Moorslede,36012,5711,5675
373,Morlanwelz,58004,9921,9287
374,Mortsel,11029,13464,12725
375,Musson,85026,2365,2285
376,Namen,92094,57948,54611
377,Nandrin,61043,3007,2795
378,Nassogne,83040,2727,2905
