Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteitsgroep,Aantal inwoners,Procent
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2016,23552,517042,0.0455514
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2016,10308,517042,0.0199365
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2017,30777,520504,0.0591292
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2017,52748,520504,0.10134
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2017,18159,520504,0.0348873
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2017,7023,520504,0.0134927
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2017,54460,520504,0.104629
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2017,16660,520504,0.0320074
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2017,23855,520504,0.0458306
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2017,10734,520504,0.0206223
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2018,32046,523248,0.0612444
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2018,53332,523248,0.101925
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2018,18305,523248,0.0349834
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2018,6753,523248,0.0129059
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2018,55091,523248,0.105287
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2018,16292,523248,0.0311363
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2018,23961,523248,0.0457928
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2018,11066,523248,0.0211487
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2019,33470,525935,0.063639
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2019,54482,525935,0.103591
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2019,18488,525935,0.0351526
