Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2010,201,36949,5.43993
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2011,165,37189,4.4368
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2012,192,37301,5.14732
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2013,141,37286,3.78158
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2014,174,37502,4.63975
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2015,149,37480,3.97545
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2016,158,37673,4.19399
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2017,197,37792,5.21274
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2018,174,37850,4.59709
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2019,129,37946,3.39957
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2020,150,38223,3.92434
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2021,158,38211,4.13493
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2000,28,25091,1.11594
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2001,20,25329,0.78961
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2002,28,25451,1.10015
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2003,28,25607,1.09345
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2004,23,25908,0.88776
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2005,20,26029,0.76837
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2006,59,26464,2.22944
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2007,33,26730,1.23457
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2008,33,27170,1.21457
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2009,44,27406,1.60549
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2010,40,27597,1.44943
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2011,37,27801,1.33089
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2012,53,27906,1.89923
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2013,38,28016,1.35637
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2014,51,28174,1.81018
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2015,37,28248,1.30983
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2016,43,28534,1.50697
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2017,37,28786,1.28535
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2018,29,29010,0.99966
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2019,50,29268,1.70835
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2020,49,29454,1.66361
Brecht,11009,Nee,Externe uitwijking van vreemdelingen,2021,49,29809,1.6438
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2000,15,22253,0.67407
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2001,19,22188,0.85632
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2002,9,22024,0.40865
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2003,31,21964,1.4114
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2004,17,21912,0.77583
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2005,24,21866,1.09759
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2006,20,21668,0.92302
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2007,27,21616,1.24907
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2008,27,21381,1.2628
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2009,35,21222,1.64923
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2010,21,21171,0.99192
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2011,30,21103,1.4216
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2012,35,21064,1.6616
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2013,30,21159,1.41784
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2014,37,21251,1.74109
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2015,29,21291,1.36208
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2016,12,21578,0.55612
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2017,42,21835,1.92352
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2018,29,21947,1.32137
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2019,34,22063,1.54104
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2020,38,22261,1.70702
Edegem,11013,Nee,Externe uitwijking van vreemdelingen,2021,38,22244,1.70833
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2000,73,16407,4.44932
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2001,100,16482,6.06722
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2002,66,16665,3.9604
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2003,92,16697,5.50997
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2004,110,16791,6.55113
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2005,100,16872,5.92698
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2006,116,17001,6.82313
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2007,152,17143,8.86659
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2008,156,17417,8.95677
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2009,143,17636,8.10841
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2010,188,17797,10.56358
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2011,207,17919,11.55198
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2012,192,18075,10.62241
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2013,156,18066,8.635
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2014,179,18256,9.805
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2015,156,18427,8.46584
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2016,174,18615,9.3473
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2017,141,18792,7.50319
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2018,188,19079,9.85377
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2019,186,19038,9.76993
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2020,185,19162,9.65452
Essen,11016,Nee,Externe uitwijking van vreemdelingen,2021,145,19196,7.55366
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2000,0,9151,0.0
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2001,3,9112,0.32924
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2002,1,9225,0.1084
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2003,4,9319,0.42923
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2004,5,9436,0.52989
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2005,7,9550,0.73298
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2006,1,9663,0.10349
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2007,6,9755,0.61507
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2008,3,9866,0.30407
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2009,0,10047,0.0
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2010,1,10166,0.09837
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2011,3,10318,0.29075
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2012,5,10605,0.47148
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2013,13,10765,1.20762
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2014,8,10866,0.73624
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2015,5,11040,0.4529
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2016,8,11148,0.71762
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2017,8,11233,0.71219
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2018,8,11368,0.70373
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2019,9,11559,0.77861
