Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal vreemde nationaliteiten
Mortsel,11029,Nee,Vreemde nationaliteiten,2013,95
Mortsel,11029,Nee,Vreemde nationaliteiten,2014,98
Mortsel,11029,Nee,Vreemde nationaliteiten,2015,97
Mortsel,11029,Nee,Vreemde nationaliteiten,2016,102
Mortsel,11029,Nee,Vreemde nationaliteiten,2017,107
Mortsel,11029,Nee,Vreemde nationaliteiten,2018,101
Mortsel,11029,Nee,Vreemde nationaliteiten,2019,105
Mortsel,11029,Nee,Vreemde nationaliteiten,2020,108
Mortsel,11029,Nee,Vreemde nationaliteiten,2021,110
Mortsel,11029,Nee,Vreemde nationaliteiten,2022,109
Niel,11030,Nee,Vreemde nationaliteiten,2000,33
Niel,11030,Nee,Vreemde nationaliteiten,2001,32
Niel,11030,Nee,Vreemde nationaliteiten,2002,34
Niel,11030,Nee,Vreemde nationaliteiten,2003,34
Niel,11030,Nee,Vreemde nationaliteiten,2004,34
Niel,11030,Nee,Vreemde nationaliteiten,2005,32
Niel,11030,Nee,Vreemde nationaliteiten,2006,33
Niel,11030,Nee,Vreemde nationaliteiten,2007,38
Niel,11030,Nee,Vreemde nationaliteiten,2008,36
Niel,11030,Nee,Vreemde nationaliteiten,2009,42
Niel,11030,Nee,Vreemde nationaliteiten,2010,42
Niel,11030,Nee,Vreemde nationaliteiten,2011,47
Niel,11030,Nee,Vreemde nationaliteiten,2012,50
Niel,11030,Nee,Vreemde nationaliteiten,2013,48
Niel,11030,Nee,Vreemde nationaliteiten,2014,48
Niel,11030,Nee,Vreemde nationaliteiten,2015,54
Niel,11030,Nee,Vreemde nationaliteiten,2016,55
Niel,11030,Nee,Vreemde nationaliteiten,2017,59
Niel,11030,Nee,Vreemde nationaliteiten,2018,59
Niel,11030,Nee,Vreemde nationaliteiten,2019,62
Niel,11030,Nee,Vreemde nationaliteiten,2020,60
Niel,11030,Nee,Vreemde nationaliteiten,2021,62
Niel,11030,Nee,Vreemde nationaliteiten,2022,68
Ranst,11035,Nee,Vreemde nationaliteiten,2000,30
Ranst,11035,Nee,Vreemde nationaliteiten,2001,29
