Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar nationaliteitsgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,EU+ (excl. Nederland),3,37,0.0810811
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Nederland,0,37,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Onbepaalde nationaliteit,0,37,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Derdelander,28,37,0.756757
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,EU+ (excl. Nederland),9,37,0.243243
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Nederland,0,37,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Onbepaalde nationaliteit,0,37,0.0
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Derdelander,4187,5935,0.705476
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,EU+,1513,5935,0.254928
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Onbepaalde nationaliteit,235,5935,0.0395956
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Derdelander,5130,7110,0.721519
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,EU+,1861,7110,0.261744
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Onbepaalde nationaliteit,119,7110,0.016737
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Derdelander,3854,6080,0.633882
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,EU+ (excl. Nederland),1930,6080,0.317434
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Nederland,117,6080,0.0192434
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Onbepaalde nationaliteit,179,6080,0.0294408
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Derdelander,3212,5231,0.614032
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,EU+ (excl. Nederland),1852,5231,0.354043
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Nederland,125,5231,0.023896
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Onbepaalde nationaliteit,42,5231,0.00802906
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Derdelander,2823,4957,0.569498
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,EU+ (excl. Nederland),1795,4957,0.362114
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Nederland,89,4957,0.0179544
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Onbepaalde nationaliteit,250,4957,0.0504337
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Derdelander,3698,5127,0.72128
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,EU+ (excl. Nederland),1164,5127,0.227033
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Nederland,85,5127,0.0165789
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Onbepaalde nationaliteit,180,5127,0.0351083
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Derdelander,4786,6251,0.765637
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,EU+ (excl. Nederland),1204,6251,0.192609
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Nederland,90,6251,0.0143977
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Onbepaalde nationaliteit,171,6251,0.0273556
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Derdelander,3753,5459,0.687489
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,EU+ (excl. Nederland),1449,5459,0.265433
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Nederland,96,5459,0.0175856
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Onbepaalde nationaliteit,161,5459,0.0294926
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Derdelander,3304,4897,0.674699
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,EU+ (excl. Nederland),1366,4897,0.278946
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Nederland,99,4897,0.0202165
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Onbepaalde nationaliteit,128,4897,0.0261385
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Derdelander,3567,5267,0.677236
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,EU+ (excl. Nederland),1503,5267,0.285362
