Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteitsgroep,Jaar,Aantal cursisten volwassenenonderwijs per nationaliteitsgroep,Totaal aantal cursisten,Procent
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2019,22304,258786,0.086187
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2019,11573,258786,0.0447203
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2019,4045,258786,0.0156307
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2019,52507,258786,0.202897
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2019,8606,258786,0.0332553
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2019,5506,258786,0.0212763
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2019,5225,258786,0.0201904
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2020,38870,228605,0.170031
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2020,155138,228605,0.678629
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2020,21698,228605,0.0949148
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2020,11511,228605,0.0503532
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2020,3869,228605,0.0169244
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2020,51769,228605,0.226456
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2020,9030,228605,0.0395004
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2020,4943,228605,0.0216224
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2020,5244,228605,0.0229391
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2021,36494,164789,0.221459
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2021,127627,164789,0.774487
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2021,18581,164789,0.112756
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2021,9286,164789,0.0563508
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2021,3544,164789,0.0215063
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2021,18581,164789,0.112756
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2021,8720,164789,0.0529162
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2021,4379,164789,0.0265734
Vlaams Gewest,2000,/,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2021,4916,164789,0.0298321
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2014,28,369,0.0758808
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2014,306,369,0.829268
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2014,22,369,0.0596206
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2014,12,369,0.0325203
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2014,6,369,0.0162602
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2014,41,369,0.111111
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2014,7,369,0.0189702
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2014,7,369,0.0189702
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2014,3,369,0.00813008
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2015,33,381,0.0866142
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2015,313,381,0.821522
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2015,23,381,0.0603675
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2015,11,381,0.0288714
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2015,8,381,0.0209974
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2015,45,381,0.11811
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2015,4,381,0.0104987
Aartselaar,11001,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2015,7,381,0.0183727
