Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2000,19,20423,0.93032
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2001,7,20499,0.34148
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2002,6,20519,0.29241
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2003,6,20613,0.29108
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2004,11,20642,0.53289
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2005,13,20743,0.62672
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2006,20,20864,0.95859
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2007,22,20978,1.04872
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2008,21,21208,0.99019
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2009,27,21369,1.26351
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2010,30,21572,1.39069
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2011,49,21824,2.24523
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2012,44,22065,1.99411
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2013,49,22198,2.20741
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2014,37,22342,1.65607
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2015,34,22559,1.50716
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2016,54,22651,2.384
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2017,38,22693,1.67453
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2018,53,22813,2.32324
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2019,57,22949,2.48377
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2020,53,22936,2.31078
Nijlen,12026,Nee,Interne uitwijking van vreemdelingen,2021,38,22985,1.65325
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2000,17,15394,1.10433
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2001,15,15389,0.97472
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2002,17,15459,1.09968
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2003,11,15399,0.71433
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2004,23,15493,1.48454
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2005,29,15474,1.87411
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2006,23,15690,1.4659
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2007,30,15813,1.89717
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2008,23,15906,1.446
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2009,31,16138,1.92093
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2010,44,16352,2.6908
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2011,39,16557,2.3555
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2012,55,16726,3.28829
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2013,49,16896,2.90009
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2014,70,17133,4.08568
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2015,52,17195,3.02413
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2016,48,17227,2.78632
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2017,70,17379,4.02785
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2018,71,17584,4.03776
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2019,88,17800,4.94382
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2020,49,17927,2.73331
Putte,12029,Nee,Interne uitwijking van vreemdelingen,2021,80,18109,4.41769
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2000,18,19038,0.94548
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2001,25,19108,1.30835
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2002,26,19120,1.35983
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2003,22,19245,1.14315
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2004,28,19236,1.4556
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2005,40,19432,2.05846
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2006,39,19577,1.99213
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2007,28,19642,1.42552
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2008,43,19974,2.1528
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2009,49,19994,2.45074
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2010,79,20149,3.92079
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2011,72,20341,3.53965
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2012,85,20349,4.17711
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2013,55,20412,2.69449
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2014,90,20401,4.41155
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2015,87,20427,4.25907
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2016,119,20609,5.77418
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2017,84,20681,4.0617
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2018,122,20870,5.84571
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2019,109,20792,5.2424
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2020,113,21026,5.3743
Sint-Katelijne-Waver,12035,Nee,Interne uitwijking van vreemdelingen,2021,76,21197,3.58541
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2000,17,22508,0.75529
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2001,32,22556,1.41869
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2002,32,22622,1.41455
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2003,43,22687,1.89536
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2004,52,22838,2.27691
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2005,39,22889,1.70388
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2006,50,23044,2.16976
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2007,43,23300,1.84549
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2008,44,23660,1.85968
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2009,68,23965,2.83747
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2010,98,24204,4.04892
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2011,103,24527,4.19945
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2012,76,24825,3.06143
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2013,141,25059,5.62672
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2014,104,25327,4.10629
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2015,136,25446,5.34465
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2016,123,25745,4.77763
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2017,169,26088,6.47807
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2018,167,26223,6.36846
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2019,163,26462,6.15978
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2020,179,26826,6.67263
Willebroek,12040,Nee,Interne uitwijking van vreemdelingen,2021,198,27081,7.3114
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2000,37,23296,1.58826
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2001,25,23331,1.07154
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2002,14,23391,0.59852
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2003,29,23463,1.23599
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2004,22,23449,0.93821
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2005,19,23626,0.8042
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2006,19,23810,0.79798
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2007,25,24069,1.03868
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2008,54,24289,2.22323
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2009,44,24476,1.79768
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2010,49,24607,1.9913
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2011,57,24744,2.30359
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2012,48,24828,1.9333
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2013,63,25021,2.51788
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2014,74,25213,2.93499
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2015,83,25338,3.27571
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2016,61,25331,2.40812
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2017,107,25602,4.17936
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2018,106,25932,4.08761
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2019,73,25882,2.82049
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2020,91,26142,3.48099
Puurs-Sint-Amands,12041,Nee,Interne uitwijking van vreemdelingen,2021,91,26208,3.47222
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2000,28,11805,2.37188
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2001,23,11883,1.93554
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2002,31,11934,2.59762
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2003,42,12040,3.48837
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2004,44,12119,3.63066
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2005,25,12179,2.05271
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2006,59,12215,4.83013
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2007,55,12329,4.46103
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2008,90,12528,7.18391
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2009,121,12679,9.54334
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2010,130,12758,10.18968
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2011,117,12855,9.10152
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2012,157,12894,12.17621
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2013,199,12941,15.37748
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2014,142,12956,10.96017
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2015,250,13053,19.15269
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2016,246,13142,18.71861
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2017,243,13261,18.32441
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2018,198,13281,14.90852
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2019,191,13293,14.36846
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2020,167,13290,12.56584
Arendonk,13001,Nee,Interne uitwijking van vreemdelingen,2021,183,13207,13.85629
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2000,9,2120,4.24528
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2001,18,2156,8.34879
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2002,21,2200,9.54545
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2003,14,2235,6.26398
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2004,26,2247,11.57098
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2005,8,2276,3.51494
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2006,25,2306,10.84128
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2007,17,2337,7.27428
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2008,23,2384,9.64765
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2009,18,2431,7.40436
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2010,36,2504,14.377
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2011,35,2594,13.49268
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2012,24,2592,9.25926
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2013,34,2630,12.92776
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2014,22,2618,8.40336
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2015,64,2680,23.8806
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2016,55,2663,20.6534
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2017,61,2695,22.63451
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2018,52,2705,19.22366
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2019,34,2760,12.31884
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2020,43,2865,15.00873
Baarle-Hertog,13002,Nee,Interne uitwijking van vreemdelingen,2021,53,2935,18.05792
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2000,41,19290,2.12545
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2001,32,19410,1.64863
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2002,22,19581,1.12354
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2003,40,19716,2.02881
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2004,35,19871,1.76136
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2005,32,20111,1.59117
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2006,72,20276,3.551
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2007,74,20379,3.63119
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2008,73,20638,3.53716
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2009,51,20811,2.45063
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2010,67,21022,3.18714
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2011,69,21305,3.23868
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2012,61,21570,2.828
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2013,89,21772,4.08782
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2014,91,21817,4.17106
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2015,84,21969,3.82357
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2016,113,22168,5.09744
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2017,134,22356,5.99392
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2018,121,22426,5.39552
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2019,98,22618,4.33283
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2020,147,22813,6.44369
Balen,13003,Nee,Interne uitwijking van vreemdelingen,2021,116,22853,5.07592
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2000,43,15698,2.7392
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2001,24,15850,1.5142
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2002,37,16029,2.30832
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2003,35,16091,2.17513
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2004,36,16185,2.22428
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2005,58,16296,3.55916
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2006,35,16482,2.12353
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2007,32,16600,1.92771
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2008,63,16755,3.76007
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2009,74,16931,4.37068
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2010,67,17003,3.94048
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2011,80,17035,4.69621
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2012,93,17167,5.41737
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2013,94,17340,5.42099
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2014,82,17550,4.67236
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2015,80,17600,4.54545
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2016,111,17829,6.22581
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2017,143,17907,7.9857
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2018,114,17931,6.3577
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2019,128,18084,7.07808
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2020,145,18128,7.99868
Beerse,13004,Nee,Interne uitwijking van vreemdelingen,2021,84,18194,4.61691
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2000,15,8545,1.75541
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2001,11,8489,1.29579
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2002,16,8555,1.87025
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2003,12,8607,1.39421
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2004,13,8718,1.49117
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2005,11,8747,1.25757
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2006,30,8773,3.41958
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2007,26,8865,2.93288
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2008,18,8931,2.01545
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2009,45,9049,4.97293
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2010,43,9107,4.72164
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2011,31,9177,3.37801
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2012,30,9231,3.24992
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2013,35,9286,3.76911
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2014,31,9350,3.31551
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2015,66,9400,7.02128
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2016,58,9420,6.15711
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2017,81,9527,8.50215
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2018,73,9540,7.65199
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2019,77,9598,8.0225
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2020,44,9605,4.58095
Dessel,13006,Nee,Interne uitwijking van vreemdelingen,2021,73,9659,7.55772
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2000,45,33677,1.33622
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2001,47,33879,1.38729
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2002,53,34169,1.55111
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2003,90,34350,2.62009
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2004,66,34444,1.91615
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2005,65,34758,1.87007
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2006,110,35189,3.12598
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2007,87,35502,2.45057
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2008,95,36013,2.63794
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2009,118,36711,3.2143
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2010,143,36990,3.86591
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2011,180,37483,4.80218
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2012,165,37848,4.35954
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2013,157,38101,4.12063
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2014,205,38450,5.3316
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2015,161,38837,4.14553
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2016,183,39225,4.66539
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2017,220,39560,5.56117
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2018,255,39923,6.3873
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2019,288,40353,7.13702
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2020,289,40709,7.09917
Geel,13008,Nee,Interne uitwijking van vreemdelingen,2021,292,40781,7.1602
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2000,7,10449,0.66992
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2001,24,10483,2.28942
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2002,10,10534,0.94931
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2003,8,10599,0.75479
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2004,15,10690,1.40318
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2005,3,10706,0.28022
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2006,10,10747,0.93049
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2007,19,10801,1.7591
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2008,12,10814,1.10967
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2009,13,10890,1.19376
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2010,16,10975,1.45786
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2011,42,11051,3.80056
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2012,30,11047,2.71567
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2013,23,11026,2.08598
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2014,44,11095,3.96575
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2015,41,11128,3.6844
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2016,38,11204,3.39165
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2017,59,11237,5.25051
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2018,47,11123,4.22548
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2019,60,11155,5.37875
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2020,53,11172,4.744
Grobbendonk,13010,Nee,Interne uitwijking van vreemdelingen,2021,35,11249,3.11139
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2000,21,25474,0.82437
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2001,38,25582,1.48542
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2002,24,25572,0.93853
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2003,32,25689,1.24567
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2004,46,25869,1.77819
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2005,36,25904,1.38975
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2006,38,26071,1.45756
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2007,57,26152,2.17957
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2008,78,26266,2.96962
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2009,49,26446,1.85283
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2010,69,26759,2.57857
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2011,101,27124,3.72364
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2012,109,27368,3.98275
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2013,111,27438,4.04548
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2014,97,27637,3.50979
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2015,133,27677,4.80543
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2016,111,27728,4.00317
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2017,157,27800,5.64748
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2018,154,28117,5.47711
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2019,146,28177,5.18153
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2020,175,28272,6.18987
Herentals,13011,Nee,Interne uitwijking van vreemdelingen,2021,155,28194,5.49762
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2000,5,8302,0.60226
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2001,3,8315,0.36079
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2002,6,8295,0.72333
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2003,4,8324,0.48054
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2004,10,8359,1.19632
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2005,9,8415,1.06952
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2006,8,8361,0.95682
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2007,7,8462,0.82723
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2008,8,8530,0.93787
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2009,15,8628,1.73853
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2010,16,8703,1.83845
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2011,48,8724,5.50206
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2012,42,8747,4.80165
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2013,40,8781,4.55529
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2014,31,8803,3.52153
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2015,26,8804,2.9532
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2016,39,8806,4.4288
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2017,37,8845,4.18315
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2018,58,8951,6.47972
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2019,49,9061,5.40779
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2020,40,9109,4.39126
Herenthout,13012,Nee,Interne uitwijking van vreemdelingen,2021,42,9185,4.57267
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2000,18,13632,1.32042
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2001,3,13653,0.21973
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2002,12,13581,0.88359
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2003,9,13553,0.66406
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2004,12,13613,0.88151
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2005,19,13732,1.38363
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2006,22,13836,1.59005
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2007,17,13929,1.22048
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2008,16,14109,1.13403
Herselt,13013,Nee,Interne uitwijking van vreemdelingen,2009,27,14267,1.89248
