Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringsattest hebben behaald naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringsattest hebben behaald,Procent
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,16,23,0.695652
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),7,23,0.304348
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,0,23,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,0,23,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,18,21,0.857143
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),1,21,0.047619
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,0,21,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,2,21,0.0952381
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,19,24,0.791667
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),5,24,0.208333
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,0,24,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,0,24,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,19,22,0.863636
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),3,22,0.136364
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,0,22,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,0,22,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,11,16,0.6875
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),5,16,0.3125
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,16,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,0,16,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,33,39,0.846154
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),4,39,0.102564
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,0,39,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,2,39,0.0512821
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,24,29,0.827586
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),5,29,0.172414
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,29,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,29,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,22,27,0.814815
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),5,27,0.185185
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,0,27,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,35,49,0.714286
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),11,49,0.22449
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,0,49,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,3,49,0.0612245
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,33,40,0.825
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),6,40,0.15
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,0,40,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,1,40,0.025
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,39,53,0.735849
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),13,53,0.245283
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,0,53,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,1,53,0.0188679
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,36,47,0.765957
Boom,11005,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),11,47,0.234043
