Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Aantal inwoners,Verhouding per 10000 inwoners
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2019,19,11559,16.4374
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2020,17,11634,14.6123
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2021,29,11722,24.7398
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2010,9,8199,10.9769
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2011,10,8190,12.21
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2012,11,8199,13.4163
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2013,8,8198,9.75848
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2014,8,8216,9.7371
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2015,6,8193,7.32332
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2016,7,8141,8.59845
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2017,13,8152,15.947
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2018,6,8115,7.39372
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2019,12,8125,14.7692
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2020,7,8277,8.45717
Hove,11021,Nee,Inburgeraars met inburgeringscontract,2021,19,8287,22.9275
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2010,19,17731,10.7157
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2011,25,17952,13.926
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2012,14,18126,7.72371
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2013,11,18184,6.04927
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2014,15,18165,8.25764
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2015,6,18192,3.29815
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2016,37,18336,20.1789
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2017,19,18490,10.2758
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2018,26,18608,13.9725
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2019,27,18695,14.4424
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2020,11,18872,5.82874
Kalmthout,11022,Nee,Inburgeraars met inburgeringscontract,2021,26,19020,13.6698
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2010,113,26427,42.7593
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2011,156,26437,59.0082
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2012,146,26546,54.9989
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2013,50,26506,18.8637
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2014,35,26540,13.1876
