Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Aantal inwoners,Verhouding per 10.000 inwoners
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,10,8529,11.7247
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,5,8559,5.8418
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,13,19496,6.66803
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,16,19429,8.23511
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,13,19472,6.67625
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,17,19308,8.80464
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,13,19400,6.70103
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,21,19375,10.8387
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,25,19434,12.8641
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,26,19516,13.3224
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,30,19585,15.3178
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,28,19652,14.2479
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,21,19873,10.5671
Schilde,11039,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,22,19925,11.0414
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,49,33342,14.6962
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,64,33600,19.0476
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,36,33766,10.6616
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,54,33776,15.9877
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,67,33871,19.7809
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,54,34016,15.8749
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,52,34063,15.2658
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,61,34273,17.7983
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,58,34462,16.8301
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,46,34517,13.3268
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,45,34316,13.1134
Schoten,11040,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,41,34291,11.9565
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,17,17966,9.46232
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,16,17961,8.90819
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,15,18028,8.32039
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,17,18140,9.37155
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,21,18304,11.4729
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,26,18407,14.1251
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,26,18515,14.0427
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,26,18498,14.0556
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,19,18529,10.2542
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,24,18710,12.8274
Stabroek,11044,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,31,18789,16.499
