Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen van buitenlandse herkomst zonder personen van Nederlandse herkomst,Aantal inwoners ,Procent
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,790,10304,0.0766693
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,828,10257,0.0807254
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,925,10224,0.0904734
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,1002,10125,0.098963
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,1090,10136,0.107537
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,1220,10125,0.120494
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,1372,10207,0.134418
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,1474,10233,0.144044
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,1683,10278,0.163748
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,1862,10451,0.178165
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,1975,10465,0.188724
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,2144,10540,0.203416
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,2300,10581,0.217371
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,2529,10685,0.236687
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,2836,10854,0.261286
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,3065,10949,0.279934
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,3299,11077,0.297824
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,3588,11226,0.319615
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,1894,37138,0.050999
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,1933,37151,0.0520309
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,2080,37249,0.0558404
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,2121,37183,0.0570422
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,2224,37165,0.0598412
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,2316,37180,0.0622916
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,2402,37282,0.0644279
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,2562,37133,0.0689952
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,2691,37180,0.0723776
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,2806,37014,0.0758092
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,2849,36949,0.0771063
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,3022,37189,0.0812606
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,3232,37301,0.0866465
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,3289,37286,0.0882101
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,3437,37502,0.0916484
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,3575,37480,0.0953842
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,3856,37673,0.102354
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,3980,37792,0.105313
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,4152,37850,0.109696
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,4403,37946,0.116033
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,4641,38223,0.121419
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,4785,38211,0.125226
Brasschaat,11008,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,4979,38237,0.130214
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,596,25091,0.0237535
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,617,25329,0.0243594
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,662,25451,0.0260108
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,685,25607,0.0267505
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,757,25908,0.0292188
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,813,26029,0.0312344
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,881,26464,0.0332905
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,945,26730,0.0353535
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,1051,27170,0.0386824
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,1119,27406,0.0408305
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,1216,27597,0.0440628
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,1370,27801,0.0492788
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,1444,27906,0.0517451
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,1509,28016,0.0538621
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,1605,28174,0.0569674
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,1664,28248,0.0589068
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,1846,28534,0.0646948
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,1931,28786,0.0670812
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,2083,29010,0.0718028
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,2214,29268,0.0756458
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,2376,29454,0.0806682
