Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2004,115,25908,4.43878
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2005,92,26029,3.53452
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2006,121,26464,4.57225
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2007,102,26730,3.81594
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2008,107,27170,3.93817
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2009,109,27406,3.97723
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2010,98,27597,3.55111
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2011,97,27801,3.48908
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2012,89,27906,3.18928
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2013,95,28016,3.39092
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2014,92,28174,3.26542
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2015,112,28248,3.96488
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2016,101,28534,3.53964
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2017,108,28786,3.75182
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2018,136,29010,4.68804
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2019,139,29268,4.74921
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2020,123,29454,4.176
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2021,154,29809,5.16622
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2000,43,22253,1.93232
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2001,49,22188,2.2084
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2002,46,22024,2.08863
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2003,56,21964,2.54963
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2004,58,21912,2.64695
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2005,50,21866,2.28666
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2006,75,21668,3.46133
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2007,55,21616,2.54441
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2008,92,21381,4.30289
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2009,64,21222,3.01574
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2010,100,21171,4.72344
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2011,93,21103,4.40696
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2012,96,21064,4.55754
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2013,104,21159,4.91517
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2014,97,21251,4.56449
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2015,98,21291,4.60288
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2016,97,21578,4.49532
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2017,110,21835,5.03778
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2018,88,21947,4.00966
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2019,125,22063,5.66559
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2020,112,22261,5.03122
Edegem,11013,Nee,Externe inwijking van vreemdelingen,2021,103,22244,4.63046
Essen,11016,Nee,Externe inwijking van vreemdelingen,2000,168,16407,10.23953
Essen,11016,Nee,Externe inwijking van vreemdelingen,2001,261,16482,15.83546
Essen,11016,Nee,Externe inwijking van vreemdelingen,2002,242,16665,14.52145
Essen,11016,Nee,Externe inwijking van vreemdelingen,2003,249,16697,14.91286
Essen,11016,Nee,Externe inwijking van vreemdelingen,2004,272,16791,16.19915
Essen,11016,Nee,Externe inwijking van vreemdelingen,2005,273,16872,16.18065
Essen,11016,Nee,Externe inwijking van vreemdelingen,2006,298,17001,17.52838
Essen,11016,Nee,Externe inwijking van vreemdelingen,2007,342,17143,19.94983
