Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal personen dat zich als kiezer heeft ingeschreven per nationaliteitsgroep,Aantal potentiële kiezers per nationaliteitsgroep,Procent
Retie,13036,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,65,639,0.101721
Retie,13036,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,32,0.0
Retie,13036,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,64,722,0.0886427
Retie,13036,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,61,0.0
Rijkevorsel,13037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,22,417,0.0527578
Rijkevorsel,13037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,9,0.111111
Rijkevorsel,13037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,16,637,0.0251177
Rijkevorsel,13037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,33,0.0
Turnhout,13040,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,199,2587,0.0769231
Turnhout,13040,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,76,534,0.142322
Turnhout,13040,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,274,3792,0.0722574
Turnhout,13040,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,113,798,0.141604
Vorselaar,13044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,17,85,0.2
Vorselaar,13044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,8,0.0
Vorselaar,13044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,26,112,0.232143
Vorselaar,13044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,17,0.176471
Vosselaar,13046,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,62,361,0.171745
Vosselaar,13046,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,27,0.037037
Vosselaar,13046,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,55,431,0.12761
Vosselaar,13046,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,50,0.06
Westerlo,13049,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,28,370,0.0756757
Westerlo,13049,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,9,67,0.134328
Westerlo,13049,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,43,532,0.0808271
Westerlo,13049,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,7,94,0.0744681
Laakdal,13053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,25,252,0.0992063
Laakdal,13053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,27,0.0
Laakdal,13053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,31,341,0.0909091
Laakdal,13053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,40,0.05
Asse,23002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,90,1259,0.0714853
Asse,23002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,34,459,0.0740741
Asse,23002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,147,2064,0.0712209
Asse,23002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,30,674,0.0445104
Beersel,23003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,214,1359,0.157469
Beersel,23003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,25,188,0.132979
Beersel,23003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,286,1858,0.153929
Beersel,23003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,36,236,0.152542
Bever,23009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,10,37,0.27027
Bever,23009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,7,0.0
Bever,23009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,9,39,0.230769
Bever,23009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,18,0.0
Dilbeek,23016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,343,1826,0.187842
Dilbeek,23016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,57,419,0.136038
Dilbeek,23016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,333,2582,0.12897
Dilbeek,23016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,90,637,0.141287
Galmaarden,23023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,14,79,0.177215
Galmaarden,23023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,18,0.111111
Galmaarden,23023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,21,115,0.182609
Galmaarden,23023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,28,0.107143
Gooik,23024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,21,96,0.21875
Gooik,23024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,10,25,0.4
Gooik,23024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,15,128,0.117188
Gooik,23024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,9,38,0.236842
Grimbergen,23025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,156,1738,0.0897583
Grimbergen,23025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,18,478,0.0376569
Grimbergen,23025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,230,2411,0.0953961
Grimbergen,23025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,59,625,0.0944
Halle,23027,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,136,1131,0.120248
Halle,23027,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,69,375,0.184
Halle,23027,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,179,1645,0.108815
Halle,23027,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,109,583,0.186964
Herne,23032,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,18,75,0.24
Herne,23032,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,11,0.0
Herne,23032,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,15,105,0.142857
Herne,23032,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,31,0.0
Hoeilaart,23033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,188,1028,0.182879
Hoeilaart,23033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,103,0.0582524
Hoeilaart,23033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,192,1180,0.162712
Hoeilaart,23033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,9,166,0.0542169
Kampenhout,23038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,40,243,0.164609
Kampenhout,23038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,39,0.0769231
Kampenhout,23038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,45,339,0.132743
Kampenhout,23038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,70,0.0428571
Kapelle-Op-Den-Bos,23039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,17,113,0.150442
Kapelle-Op-Den-Bos,23039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,7,29,0.241379
Kapelle-Op-Den-Bos,23039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,21,182,0.115385
Kapelle-Op-Den-Bos,23039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,13,75,0.173333
Liedekerke,23044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,15,227,0.0660793
Liedekerke,23044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,10,125,0.08
Liedekerke,23044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,33,347,0.0951009
Liedekerke,23044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,12,203,0.0591133
Londerzeel,23045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,35,286,0.122378
Londerzeel,23045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,10,76,0.131579
Londerzeel,23045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,44,463,0.0950324
Londerzeel,23045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,122,0.0327869
Machelen,23047,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,62,775,0.08
Machelen,23047,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,25,313,0.0798722
Machelen,23047,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,82,1001,0.0819181
Machelen,23047,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,38,514,0.07393
Meise,23050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,73,585,0.124786
Meise,23050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,34,141,0.241135
Meise,23050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,75,822,0.0912409
Meise,23050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,20,217,0.0921659
Merchtem,23052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,34,283,0.120141
Merchtem,23052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,13,132,0.0984848
Merchtem,23052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,54,458,0.117904
Merchtem,23052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,15,153,0.0980392
Opwijk,23060,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,14,177,0.079096
Opwijk,23060,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,68,0.0441176
Opwijk,23060,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,17,303,0.0561056
Opwijk,23060,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,10,114,0.0877193
Overijse,23062,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,482,3087,0.156139
Overijse,23062,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,13,280,0.0464286
Overijse,23062,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,483,3070,0.157329
Overijse,23062,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,17,365,0.0465753
Pepingen,23064,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,15,32,0.46875
Pepingen,23064,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,10,0.6
Pepingen,23064,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,15,58,0.258621
Pepingen,23064,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,7,0.0
Sint-Pieters-Leeuw,23077,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,326,2453,0.132898
Sint-Pieters-Leeuw,23077,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,28,452,0.0619469
Sint-Pieters-Leeuw,23077,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,374,3236,0.115575
Sint-Pieters-Leeuw,23077,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,29,735,0.0394558
Steenokkerzeel,23081,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,46,368,0.125
Steenokkerzeel,23081,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,5,67,0.0746269
Steenokkerzeel,23081,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,49,447,0.10962
Steenokkerzeel,23081,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,113,0.0265487
Ternat,23086,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,50,261,0.191571
Ternat,23086,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,13,52,0.25
Ternat,23086,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,73,428,0.170561
Ternat,23086,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,22,121,0.181818
Vilvoorde,23088,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,402,2744,0.146501
Vilvoorde,23088,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,138,1070,0.128972
Vilvoorde,23088,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,461,3233,0.142592
Vilvoorde,23088,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,145,1371,0.105762
Zaventem,23094,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,266,3552,0.0748874
Zaventem,23094,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,36,671,0.0536513
Zaventem,23094,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,336,4312,0.0779221
Zaventem,23094,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,64,912,0.0701754
Zemst,23096,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,71,404,0.175743
Zemst,23096,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,65,0.0923077
Zemst,23096,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,76,484,0.157025
Zemst,23096,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,104,0.0384615
Roosdaal,23097,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,17,190,0.0894737
Roosdaal,23097,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,43,0.0465116
Roosdaal,23097,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,23,285,0.0807018
Roosdaal,23097,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,8,86,0.0930233
Drogenbos,23098,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,82,551,0.14882
Drogenbos,23098,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,66,0.030303
Drogenbos,23098,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,127,795,0.159748
Drogenbos,23098,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,149,0.0402685
Kraainem,23099,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,443,2404,0.184276
Kraainem,23099,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,12,218,0.0550459
Kraainem,23099,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,490,2668,0.183658
Kraainem,23099,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,11,268,0.0410448
Linkebeek,23100,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,127,389,0.326478
Linkebeek,23100,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,5,33,0.151515
Linkebeek,23100,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,136,424,0.320755
Linkebeek,23100,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,42,0.142857
Sint-Genesius-Rode,23101,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,415,1890,0.219577
Sint-Genesius-Rode,23101,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,38,244,0.155738
Sint-Genesius-Rode,23101,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,436,2102,0.207422
Sint-Genesius-Rode,23101,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,32,238,0.134454
Wemmel,23102,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,124,1077,0.115135
Wemmel,23102,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,23,226,0.10177
Wemmel,23102,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,142,1451,0.0978635
Wemmel,23102,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,23,270,0.0851852
Wezembeek-Oppem,23103,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,347,2009,0.172723
Wezembeek-Oppem,23103,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,10,183,0.0546448
Wezembeek-Oppem,23103,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,353,2107,0.167537
Wezembeek-Oppem,23103,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,14,214,0.0654206
Lennik,23104,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,26,192,0.135417
Lennik,23104,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,35,0.0857143
Lennik,23104,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,32,263,0.121673
Lennik,23104,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,44,0.0909091
Affligem,23105,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,23,160,0.14375
Affligem,23105,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,16,80,0.2
Affligem,23105,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,32,296,0.108108
Affligem,23105,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,16,86,0.186047
Aarschot,24001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,58,449,0.129176
Aarschot,24001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,18,73,0.246575
Aarschot,24001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,53,615,0.0861789
Aarschot,24001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,10,171,0.0584795
Begijnendijk,24007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,7,100,0.07
Begijnendijk,24007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,14,0.0
Begijnendijk,24007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,7,116,0.0603448
Begijnendijk,24007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,28,0.0714286
Bekkevoort,24008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,5,55,0.0909091
Bekkevoort,24008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,10,0.1
Bekkevoort,24008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,8,121,0.0661157
Bekkevoort,24008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,18,0.222222
Bertem,24009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,44,342,0.128655
Bertem,24009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,35,0.0857143
Bertem,24009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,42,427,0.0983607
Bertem,24009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,69,0.0144928
Bierbeek,24011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,29,162,0.179012
Bierbeek,24011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,33,0.181818
Bierbeek,24011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,46,223,0.206278
Bierbeek,24011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,7,34,0.205882
Boortmeerbeek,24014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,34,219,0.155251
Boortmeerbeek,24014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,37,0.027027
Boortmeerbeek,24014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,46,288,0.159722
Boortmeerbeek,24014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,58,0.103448
Boutersem,24016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,23,102,0.22549
Boutersem,24016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,22,0.136364
Boutersem,24016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,28,133,0.210526
Boutersem,24016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,39,0.102564
Diest,24020,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,31,428,0.0724299
Diest,24020,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,24,180,0.133333
Diest,24020,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,39,560,0.0696429
Diest,24020,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,34,260,0.130769
Geetbets,24028,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,22,86,0.255814
Geetbets,24028,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,5,19,0.263158
Geetbets,24028,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,12,113,0.106195
Geetbets,24028,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,28,0.0357143
Haacht,24033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,30,159,0.188679
Haacht,24033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,28,0.214286
Haacht,24033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,39,190,0.205263
Haacht,24033,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,42,0.0714286
Herent,24038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,41,381,0.107612
Herent,24038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,22,121,0.181818
Herent,24038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,85,522,0.162835
Herent,24038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,37,172,0.215116
Hoegaarden,24041,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,19,119,0.159664
Hoegaarden,24041,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,9,26,0.346154
Hoegaarden,24041,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,14,140,0.1
Hoegaarden,24041,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,7,39,0.179487
Holsbeek,24043,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,26,119,0.218487
Holsbeek,24043,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,13,0.307692
Holsbeek,24043,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,22,152,0.144737
Holsbeek,24043,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,37,0.0810811
Huldenberg,24045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,50,437,0.114416
Huldenberg,24045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,47,0.0212766
Huldenberg,24045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,70,472,0.148305
Huldenberg,24045,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,71,0.0140845
Keerbergen,24048,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,158,582,0.271478
Keerbergen,24048,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,7,36,0.194444
Keerbergen,24048,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,136,583,0.233276
Keerbergen,24048,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,56,0.107143
Kortenaken,24054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,10,63,0.15873
Kortenaken,24054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,24,0.0
Kortenaken,24054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,15,118,0.127119
Kortenaken,24054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,25,0.04
Kortenberg,24055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,87,1039,0.0837344
Kortenberg,24055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,8,195,0.0410256
Kortenberg,24055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,93,1249,0.0744596
Kortenberg,24055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,5,230,0.0217391
Landen,24059,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,49,270,0.181481
Landen,24059,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,10,66,0.151515
Landen,24059,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,46,405,0.11358
Landen,24059,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,5,134,0.0373134
Leuven,24062,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,455,5867,0.0775524
Leuven,24062,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,219,1776,0.123311
Leuven,24062,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,740,6970,0.106169
Leuven,24062,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,292,2440,0.119672
Lubbeek,24066,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,52,236,0.220339
Lubbeek,24066,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,5,28,0.178571
Lubbeek,24066,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,63,315,0.2
Lubbeek,24066,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,9,60,0.15
