Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringsattest hebben behaald,Aantal inwoners,Verhouding per 10000 inwoners
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2018,12,18529,6.47633
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2019,14,18710,7.48263
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2020,14,18789,7.45117
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2021,12,18680,6.42398
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2010,4,8984,4.45236
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2011,12,9039,13.2758
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2012,11,9041,12.1668
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2013,6,9137,6.56671
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2014,8,9131,8.76136
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2015,6,9314,6.44192
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2016,10,9365,10.6781
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2017,24,9659,24.8473
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2018,27,9711,27.8035
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2019,16,9816,16.2999
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2020,17,9983,17.0289
Wijnegem,11050,Nee,Inburgeraars met inburgeringsattest,2021,18,10084,17.8501
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2010,9,12334,7.2969
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2011,19,12373,15.356
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2012,16,12386,12.9178
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2013,17,12405,13.7042
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2014,12,12467,9.62541
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2015,14,12547,11.158
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2016,16,12591,12.7075
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2017,12,12785,9.386
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2018,14,12893,10.8586
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2019,15,12865,11.6595
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2020,13,12943,10.044
Wommelgem,11052,Nee,Inburgeraars met inburgeringsattest,2021,28,12991,21.5534
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2010,10,19213,5.20481
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2011,13,19371,6.71106
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2012,15,19547,7.67381
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2013,5,19731,2.53408
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2014,16,19872,8.05153
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2015,15,20124,7.45379
Wuustwezel,11053,Nee,Inburgeraars met inburgeringsattest,2016,24,20228,11.8647
