Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal OKAN-leerlingen, wonend in de gemeente","Aantal OKAN-leerlingen, naar thuistaal, wonend in de gemeente",Procent
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,6,0.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,6,6,1.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,6,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,9,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,9,9,1.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,0,9,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,9,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,9,9,1.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,0,9,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,5,6,0.833333
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Onbekend,1,6,0.166667
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,0,11,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,11,11,1.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,0,11,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,10,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,8,10,0.8
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,2,10,0.2
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,8,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,8,8,1.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,8,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,9,0.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,9,9,1.0
Edegem,11013,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,9,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,2,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,2,2,1.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,0,2,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,3,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,3,3,1.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,0,3,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,5,5,1.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,0,5,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,5,5,1.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,0,5,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,7,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,7,7,1.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,0,7,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,9,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,8,9,0.888889
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,1,9,0.111111
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,5,0.0
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,4,5,0.8
Essen,11016,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,1,5,0.2
Hemiksem,11018,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,1,0.0
Hemiksem,11018,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,1,1,1.0
Hemiksem,11018,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,1,0.0
Hove,11021,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,1,0.0
Hove,11021,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,1,1,1.0
Hove,11021,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,1,0.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,10,0.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,8,10,0.8
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,2,10,0.2
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,4,0.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,4,4,1.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,4,0.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,5,0.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,5,5,1.0
Kalmthout,11022,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,5,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,62,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,14,62,0.225806
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,48,62,0.774194
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,57,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,19,57,0.333333
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,38,57,0.666667
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,29,70,0.414286
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Onbekend,41,70,0.585714
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Nederlands,0,31,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,18,31,0.580645
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,13,31,0.419355
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,1,85,0.0117647
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,48,85,0.564706
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,36,85,0.423529
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,81,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,56,81,0.691358
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,25,81,0.308642
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,41,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,32,41,0.780488
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,9,41,0.219512
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,58,0.0
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,37,58,0.637931
Kapellen,11023,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,21,58,0.362069
Kontich,11024,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,3,0.0
