Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),6,14,0.428571
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,0,14,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,0,14,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,14,16,0.875
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),1,16,0.0625
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,16,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,1,16,0.0625
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,19,22,0.863636
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),3,22,0.136364
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,22,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,0,22,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,22,24,0.916667
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),2,24,0.0833333
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,0,24,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,0,24,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,28,35,0.8
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),7,35,0.2
