Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2006,74,17489,4.23123
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2007,79,17504,4.51325
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2008,70,17574,3.98316
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2009,111,17587,6.31148
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2010,92,17731,5.18865
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2011,102,17952,5.68182
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2012,115,18126,6.34448
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2013,103,18184,5.66432
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2014,101,18165,5.56014
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2015,126,18192,6.92612
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2016,102,18336,5.56283
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2017,143,18490,7.73391
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2018,114,18608,6.1264
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2019,128,18695,6.84675
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2020,116,18872,6.14667
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2021,115,19020,6.04627
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2000,87,25671,3.38904
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2001,97,25642,3.78286
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2002,122,25612,4.76339
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2003,121,25881,4.67524
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2004,88,25974,3.388
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2005,124,25975,4.77382
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2006,112,25948,4.31632
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2007,100,26104,3.83083
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2008,128,26222,4.8814
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2009,116,26297,4.41115
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2010,198,26427,7.49234
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2011,171,26437,6.46821
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2012,142,26546,5.34921
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2013,167,26506,6.30046
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2014,174,26540,6.55614
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2015,177,26702,6.62872
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2016,202,26745,7.55281
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2017,195,26750,7.28972
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2018,219,26771,8.18049
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2019,164,26850,6.10801
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2020,198,26981,7.3385
Kapellen,11023,Nee,Interne inwijking van vreemdelingen,2021,239,27157,8.80068
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2000,38,19874,1.91205
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2001,43,19971,2.15312
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2002,27,20059,1.34603
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2003,22,20139,1.09241
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2004,49,20170,2.42935
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2005,43,20246,2.12388
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2006,61,20239,3.01398
Kontich,11024,Nee,Interne inwijking van vreemdelingen,2007,48,20243,2.37119
