Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Statuut,Aantal meerderjarige nieuwkomers naar statuut,Aantal meerderjarige nieuwkomers,Procent
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,EU+ student,0,35,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,EU-onderdaan onbekende reden,17,35,0.48571
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,Geregulariseerd,1,35,0.02857
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,Gezinshereniger,6,35,0.17143
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,Overig statuut,0,35,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,Arbeidsmigrant,13,43,0.30233
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,Asielzoeker/erkend vluchtel.,7,43,0.16279
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,EU+ student,0,43,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,EU+ voldoende bestaansmidd.,2,43,0.04651
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,EU-onderdaan onbekende reden,10,43,0.23256
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,Gezinshereniger,11,43,0.25581
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2015,Onbepaald statuut,0,43,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,Arbeidsmigrant,15,52,0.28846
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,Asielzoeker/erkend vluchtel.,3,52,0.05769
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,EU+ student,0,52,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,EU+ voldoende bestaansmidd.,1,52,0.01923
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,EU-onderdaan onbekende reden,12,52,0.23077
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,Gezinshereniger,16,52,0.30769
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,Onbepaald statuut,0,52,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2016,Overig statuut,5,52,0.09615
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,Arbeidsmigrant,24,49,0.4898
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,Asielzoeker/erkend vluchtel.,5,49,0.10204
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,EU+ student,0,49,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,EU+ voldoende bestaansmidd.,0,49,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,EU-onderdaan onbekende reden,4,49,0.08163
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,Gezinshereniger,10,49,0.20408
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2017,Overig statuut,6,49,0.12245
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,Arbeidsmigrant,25,57,0.4386
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,Asielzoeker/erkend vluchtel.,7,57,0.12281
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,EU+ student,0,57,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,EU+ voldoende bestaansmidd.,1,57,0.01754
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,EU-onderdaan onbekende reden,7,57,0.12281
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,Gezinshereniger,14,57,0.24561
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2018,Overig statuut,3,57,0.05263
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,Arbeidsmigrant,22,76,0.28947
