Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal huurders,Aantal inwoners per nationaliteitsgroep,Procent
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,136,20040,0.00678643
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),8,693,0.011544
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,24,341,0.0703812
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,129,20017,0.00644452
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),9,722,0.0124654
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,24,376,0.0638298
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,126,20048,0.00628492
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),9,732,0.0122951
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,24,423,0.0567376
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,184,8460,0.0217494
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),1,116,0.00862069
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,19,92,0.206522
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,186,8507,0.0218643
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),2,152,0.0131579
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,18,93,0.193548
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,183,8505,0.0215168
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),2,159,0.0125786
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,18,103,0.174757
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,177,8514,0.0207893
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),3,179,0.0167598
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,21,128,0.164063
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,175,8454,0.0207003
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),6,185,0.0324324
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,17,142,0.119718
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,160,8424,0.0189934
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),6,229,0.0262009
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,15,134,0.11194
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,154,8334,0.0184785
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),6,252,0.0238095
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,15,132,0.113636
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,158,8232,0.0191934
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),6,267,0.0224719
Lint,11025,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,4,142,0.028169
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,210,23536,0.0089225
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),5,891,0.00561167
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,29,775,0.0374194
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,200,23522,0.00850268
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),6,961,0.0062435
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,33,759,0.0434783
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,199,23575,0.00844115
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),5,1010,0.0049505
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,36,771,0.0466926
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,192,23653,0.00811736
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),6,1091,0.00549954
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,36,807,0.0446097
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,183,23573,0.00776312
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),6,1092,0.00549451
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,37,923,0.0400867
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,182,23720,0.00767285
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),5,1148,0.0043554
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,39,956,0.040795
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,172,23873,0.00720479
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),4,1177,0.00339847
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,42,1049,0.0400381
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,222,23859,0.00930466
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),8,1222,0.00654664
Mortsel,11029,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,19,1076,0.017658
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,199,9221,0.0215812
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),2,216,0.00925926
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,11,145,0.0758621
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,190,9475,0.0200528
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),3,214,0.0140187
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,15,144,0.104167
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,188,9595,0.0195935
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),5,221,0.0226244
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,15,146,0.10274
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,191,9725,0.0196401
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),3,234,0.0128205
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,19,177,0.107345
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,187,9761,0.0191579
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),4,265,0.0150943
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,18,210,0.0857143
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,173,9894,0.0174853
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),3,293,0.0102389
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,18,237,0.0759494
Niel,11030,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,160,9915,0.0161372
