Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen in het deeltijds beroepssecundair onderwijs, wonend in de gemeente, naar thuistaal","Aantal leerlingen in gewoon secundair onderwijs, wonend in de gemeente",Procent
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Niet Nederlands,1,20,0.05
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Onbekend,0,20,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Nederlands,9,11,0.818182
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Niet Nederlands,2,11,0.181818
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Onbekend,0,11,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,16,19,0.842105
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,3,19,0.157895
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Onbekend,0,19,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,17,20,0.85
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,3,20,0.15
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Onbekend,0,20,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,13,15,0.866667
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,2,15,0.133333
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Onbekend,0,15,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,9,10,0.9
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,1,10,0.1
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Onbekend,0,10,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,8,15,0.533333
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,7,15,0.466667
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Onbekend,0,15,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,6,13,0.461538
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,7,13,0.538462
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Onbekend,0,13,0.0
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,7,20,0.35
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,12,20,0.6
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Onbekend,1,20,0.05
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,7,11,0.636364
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,3,11,0.272727
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Onbekend,1,11,0.0909091
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Nederlands,25,42,0.595238
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Niet Nederlands,12,42,0.285714
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Onbekend,5,42,0.119048
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Nederlands,26,44,0.590909
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Niet Nederlands,14,44,0.318182
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Onbekend,4,44,0.0909091
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,22,34,0.647059
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,8,34,0.235294
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Onbekend,4,34,0.117647
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,24,36,0.666667
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,9,36,0.25
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Onbekend,3,36,0.0833333
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,19,30,0.633333
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,9,30,0.3
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Onbekend,2,30,0.0666667
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,22,32,0.6875
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,10,32,0.3125
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Onbekend,0,32,0.0
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,20,33,0.606061
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,13,33,0.393939
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Onbekend,0,33,0.0
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,33,43,0.767442
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,9,43,0.209302
Boom,11005,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Onbekend,1,43,0.0232558
