Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal jongeren die niet meer leerplichtig zijn en Vlaams secundair onderwijs verlaten zonder kwalificatie, wonend in de gemeente, naar thuistaal",Aantal vroegtijdige schoolverlaters en aantal leerlingen dat wel kwalificatie heeft gehaald,Procent
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Niet Nederlands,0,8,0.0
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Nederlands,23,314,0.0732484
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Niet Nederlands,2,7,0.285714
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,16,313,0.0511182
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,1,8,0.125
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,30,311,0.096463
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,2,8,0.25
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,23,282,0.0815603
Brecht,11009,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,1,7,0.142857
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,10,227,0.0440529
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,4,25,0.16
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Nederlands,24,213,0.112676
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Niet Nederlands,4,27,0.148148
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Nederlands,16,213,0.0751174
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Niet Nederlands,3,34,0.0882353
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Nederlands,18,200,0.09
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Niet Nederlands,5,25,0.2
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Nederlands,11,200,0.055
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Niet Nederlands,3,16,0.1875
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Nederlands,22,190,0.115789
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Niet Nederlands,6,33,0.181818
