Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Leeftijd,Aantal meerderjarige nieuwkomers naar leeftijdsgroep,Aantal meerderjarige nieuwkomers,Procent
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,48,49,0.979592
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,1,49,0.0204082
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,45,45,1.0
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,45,0.0
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,26,45,0.577778
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,14,45,0.311111
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,5,45,0.111111
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,45,0.0
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,36,62,0.580645
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,19,62,0.306452
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,7,62,0.112903
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,0,62,0.0
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,196,264,0.742424
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,48,264,0.181818
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,16,264,0.0606061
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,4,264,0.0151515
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,47,72,0.652778
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,23,72,0.319444
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,2,72,0.0277778
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,0,72,0.0
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,51,77,0.662338
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,15,77,0.194805
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,10,77,0.12987
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,1,77,0.012987
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,54,90,0.6
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,26,90,0.288889
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,4,90,0.0444444
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,6,90,0.0666667
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,38,67,0.567164
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,21,67,0.313433
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,8,67,0.119403
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,0,67,0.0
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,64,103,0.621359
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,24,103,0.23301
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,13,103,0.126214
Zwijndrecht,11056,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,2,103,0.0194175
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,46,50,0.92
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,4,50,0.08
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,45,45,1.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,0,45,0.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,42,42,1.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,42,0.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,26,26,1.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,26,0.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,16,36,0.444444
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,15,36,0.416667
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,3,36,0.0833333
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,2,36,0.0555556
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,24,44,0.545455
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,13,44,0.295455
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,5,44,0.113636
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,2,44,0.0454545
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,25,58,0.431034
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,25,58,0.431034
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,3,58,0.0517241
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,5,58,0.0862069
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,33,57,0.578947
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,18,57,0.315789
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,4,57,0.0701754
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,2,57,0.0350877
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,25,55,0.454545
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,20,55,0.363636
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,9,55,0.163636
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,1,55,0.0181818
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,82,124,0.66129
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,28,124,0.225806
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,13,124,0.104839
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,1,124,0.00806452
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,57,83,0.686747
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,22,83,0.26506
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,4,83,0.0481928
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,0,83,0.0
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,41,68,0.602941
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,21,68,0.308824
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,3,68,0.0441176
Malle,11057,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,3,68,0.0441176
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,33,33,1.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,0,33,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,28,28,1.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,0,28,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,37,37,1.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,37,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,28,29,0.965517
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,1,29,0.0344828
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,17,35,0.485714
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,10,35,0.285714
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,7,35,0.2
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,1,35,0.0285714
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,21,32,0.65625
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,8,32,0.25
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,3,32,0.09375
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,0,32,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,22,33,0.666667
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,9,33,0.272727
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,2,33,0.0606061
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,0,33,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,25,41,0.609756
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,14,41,0.341463
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,2,41,0.0487805
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,0,41,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,22,37,0.594595
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,9,37,0.243243
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,3,37,0.0810811
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,3,37,0.0810811
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,23,39,0.589744
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,13,39,0.333333
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,3,39,0.0769231
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,0,39,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,28,42,0.666667
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,11,42,0.261905
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,3,42,0.0714286
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,0,42,0.0
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,13,22,0.590909
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,8,22,0.363636
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,1,22,0.0454545
Berlaar,12002,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,0,22,0.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,29,29,1.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,0,29,0.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,22,23,0.956522
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,1,23,0.0434783
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,24,25,0.96
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,1,25,0.04
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,12,12,1.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,12,0.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,12,21,0.571429
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,9,21,0.428571
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,0,21,0.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,21,0.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,12,23,0.521739
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,8,23,0.347826
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,1,23,0.0434783
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,2,23,0.0869565
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,23,32,0.71875
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,8,32,0.25
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,1,32,0.03125
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,0,32,0.0
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,10,18,0.555556
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,2,18,0.111111
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,5,18,0.277778
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,1,18,0.0555556
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,24,34,0.705882
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,7,34,0.205882
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,2,34,0.0588235
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,1,34,0.0294118
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,19,34,0.558824
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,11,34,0.323529
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,3,34,0.0882353
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,1,34,0.0294118
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,23,37,0.621622
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,11,37,0.297297
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,2,37,0.0540541
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,1,37,0.027027
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,19,27,0.703704
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,6,27,0.222222
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,2,27,0.0740741
Bonheiden,12005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,0,27,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,44,44,1.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,0,44,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,55,56,0.982143
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,1,56,0.0178571
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,47,47,1.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,47,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,24,24,1.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,24,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,15,32,0.46875
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,13,32,0.40625
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,4,32,0.125
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,32,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,36,49,0.734694
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,12,49,0.244898
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,1,49,0.0204082
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,0,49,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,41,52,0.788462
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,10,52,0.192308
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,1,52,0.0192308
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,0,52,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,37,57,0.649123
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,15,57,0.263158
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,5,57,0.0877193
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,0,57,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,29,47,0.617021
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,13,47,0.276596
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,5,47,0.106383
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,0,47,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,26,52,0.5
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,20,52,0.384615
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,5,52,0.0961538
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,1,52,0.0192308
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,27,46,0.586957
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,14,46,0.304348
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,5,46,0.108696
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,0,46,0.0
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,28,55,0.509091
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,22,55,0.4
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,4,55,0.0727273
Bornem,12007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,1,55,0.0181818
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,69,69,1.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,0,69,0.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,68,68,1.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,0,68,0.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,46,46,1.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,46,0.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,51,51,1.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,51,0.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,37,54,0.685185
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,15,54,0.277778
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,2,54,0.037037
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,54,0.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,45,73,0.616438
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,24,73,0.328767
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,3,73,0.0410959
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,1,73,0.0136986
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,61,99,0.616162
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,29,99,0.292929
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,8,99,0.0808081
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,1,99,0.010101
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,52,83,0.626506
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,25,83,0.301205
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,5,83,0.060241
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,1,83,0.0120482
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,74,101,0.732673
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,20,101,0.19802
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,6,101,0.0594059
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,1,101,0.00990099
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,78,119,0.655462
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,32,119,0.268908
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,9,119,0.0756303
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,0,119,0.0
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,73,107,0.682243
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,25,107,0.233645
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,7,107,0.0654206
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,2,107,0.0186916
Duffel,12009,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,53,85,0.623529
