Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Migratiesaldo,Aantal inwoners,Verhouding per 1000 inwoners
Beersel,23003,Nee,Migratiesaldo van vreemdelingen,2017,16,24992,0.640204865556978
Beersel,23003,Nee,Migratiesaldo van vreemdelingen,2018,141,25069,5.62447644501177
Beersel,23003,Nee,Migratiesaldo van vreemdelingen,2019,149,25251,5.9007564056869
Beersel,23003,Nee,Migratiesaldo van vreemdelingen,2020,224,25343,8.83873258888056
Beersel,23003,Nee,Migratiesaldo van vreemdelingen,2021,129,25756,5.00854169902159
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2000,2,1980,1.01010101010101
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2001,1,1982,0.504540867810293
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2002,2,1962,1.01936799184506
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2003,-2,1952,-1.02459016393443
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2004,0,1949,0.0
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2005,-1,2014,-0.496524329692155
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2006,8,2023,3.95452298566485
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2007,5,2048,2.44140625
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2008,5,2094,2.38777459407832
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2009,11,2094,5.2531041069723
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2010,1,2133,0.46882325363338
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2011,0,2155,0.0
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2012,0,2171,0.0
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2013,7,2174,3.21987120515179
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2014,-1,2171,-0.460617227084293
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2015,3,2185,1.37299771167048
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2016,11,2151,5.11390051139005
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2017,29,2160,13.4259259259259
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2018,4,2204,1.81488203266788
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2019,11,2159,5.09495136637332
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2020,4,2178,1.83654729109275
Bever,23009,Nee,Migratiesaldo van vreemdelingen,2021,7,2201,3.18037255792821
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2000,138,37722,3.65834261173851
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2001,129,37818,3.41107409170236
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2002,166,38326,4.33126337212336
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2003,122,38716,3.15115197851018
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2004,120,39058,3.07235393517333
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2005,179,39288,4.55609855426593
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2006,210,39412,5.32832639805136
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2007,151,39585,3.81457622836933
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2008,166,39660,4.18557740796773
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2009,219,39742,5.51054300236526
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2010,228,39998,5.70028501425071
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2011,199,40201,4.9501256187657
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2012,238,40388,5.89283945726453
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2013,300,40737,7.36431254142426
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2014,215,41034,5.23955744017157
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2015,239,41243,5.7949227747739
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2016,392,41450,9.45717732207479
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2017,266,42024,6.32971635256044
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2018,290,42434,6.83414243295471
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2019,354,42847,8.26195532942796
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2020,275,43423,6.3330493056675
Dilbeek,23016,Nee,Migratiesaldo van vreemdelingen,2021,334,43732,7.63742797036495
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2000,2,7741,0.258364552383413
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2001,8,7796,1.02616726526424
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2002,2,7852,0.254712175241977
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2003,2,7882,0.253742704897234
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2004,2,7906,0.252972426005565
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2005,8,8018,0.997755051134946
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2006,14,8058,1.73740382228841
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2007,25,8158,3.06447658739887
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2008,1,8287,0.120670930372873
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2009,7,8310,0.842358604091456
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2010,11,8398,1.30983567516075
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2011,6,8515,0.704638872577804
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2012,-2,8535,-0.234329232571763
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2013,7,8588,0.815090824406148
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2014,46,8557,5.37571578824354
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2015,9,8632,1.04263206672845
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2016,14,8670,1.61476355247982
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2017,14,8702,1.60882555734314
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2018,29,8725,3.32378223495702
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2019,19,8746,2.17242167848159
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2020,11,8836,1.24490719782707
Galmaarden,23023,Nee,Migratiesaldo van vreemdelingen,2021,31,8814,3.51713183571591
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2000,4,8834,0.452796015395065
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2001,3,8844,0.33921302578019
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2002,-1,8877,-0.112650670271488
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2003,11,8905,1.23526108927569
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2004,4,8876,0.450653447498873
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2005,8,8851,0.903852672014462
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2006,2,8895,0.224845418774592
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2007,-4,8879,-0.450501182565604
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2008,17,8933,1.90305608418225
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2009,14,8921,1.56933079251205
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2010,37,9015,4.10427066001109
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2011,10,9104,1.09841827768014
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2012,7,9181,0.762444178194096
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2013,34,9156,3.7134119702927
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2014,7,9198,0.76103500761035
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2015,17,9218,1.8442178346713
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2016,23,9212,2.49674337820234
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2017,6,9238,0.64949123186837
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2018,-12,9236,-1.29926375054136
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2019,33,9170,3.59869138495093
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2020,10,9189,1.08825769942322
Gooik,23024,Nee,Migratiesaldo van vreemdelingen,2021,40,9230,4.33369447453954
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2000,67,32930,2.03461888855147
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2001,87,32973,2.63852242744063
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2002,58,33072,1.75374939525883
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2003,69,33240,2.07581227436823
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2004,164,33362,4.91577243570529
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2005,169,33571,5.03410681838492
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2006,147,33965,4.32798469012219
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2007,257,34320,7.48834498834499
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2008,202,34518,5.85201923634046
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2009,209,34854,5.99644230217479
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2010,222,35169,6.31237737780432
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2011,279,35443,7.87179414835087
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2012,311,35810,8.68472493716839
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2013,319,36188,8.81507682104565
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2014,260,36524,7.1186069433797
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2015,308,36558,8.42496854313693
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2016,350,36742,9.52588318545534
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2017,285,37030,7.69646232784229
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2018,355,37355,9.50341319769776
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2019,374,37542,9.96217569655319
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2020,288,37972,7.58453597387549
Grimbergen,23025,Nee,Migratiesaldo van vreemdelingen,2021,253,38314,6.60333037531973
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2000,92,33655,2.73362056158075
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2001,93,33744,2.75604551920341
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2002,85,33939,2.50449335572645
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2003,91,34124,2.66674481303481
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2004,145,34316,4.22543419979019
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2005,66,34679,1.90316906485193
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2006,152,34882,4.35754830571642
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2007,94,35108,2.67745243249402
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2008,182,35354,5.14793234146066
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2009,222,35691,6.22005547617046
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2010,228,36000,6.33333333333333
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2011,263,36277,7.24977258317942
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2012,172,36852,4.66731792032997
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2013,189,37104,5.09379042690815
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2014,261,37453,6.96873414679732
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2015,170,38023,4.47097809220735
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2016,243,38289,6.34647026561153
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2017,199,38680,5.14477766287487
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2018,326,39096,8.33844894618375
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2019,383,39540,9.68639352554375
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2020,330,40182,8.21263252202479
Halle,23027,Nee,Migratiesaldo van vreemdelingen,2021,338,40656,8.31365604092877
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2000,-4,6372,-0.627746390458255
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2001,0,6318,0.0
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2002,7,6327,1.10636952742216
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2003,-1,6372,-0.156936597614564
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2004,-4,6390,-0.625978090766823
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2005,5,6431,0.777484061576738
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2006,9,6407,1.40471359450601
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2007,5,6483,0.771247879068333
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2008,14,6562,2.13349588540079
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2009,8,6597,1.21267242686069
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2010,21,6573,3.19488817891374
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2011,-2,6618,-0.302206104563312
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2012,12,6572,1.82592818015825
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2013,17,6560,2.59146341463415
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2014,26,6565,3.96039603960396
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2015,12,6612,1.81488203266788
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2016,17,6617,2.56914009369805
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2017,1,6592,0.151699029126214
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2018,23,6643,3.46229113352401
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2019,24,6665,3.60090022505626
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2020,22,6699,3.28407224958949
Herne,23032,Nee,Migratiesaldo van vreemdelingen,2021,34,6706,5.07008648971071
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2000,64,9783,6.54196054380047
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2001,54,9839,5.48836263847952
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2002,37,9939,3.7227085219841
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2003,13,10051,1.29340364142871
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2004,47,9977,4.71083492031673
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2005,-49,10094,-4.85436893203883
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2006,-6,10074,-0.595592614651578
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2007,110,10040,10.9561752988048
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2008,-27,10245,-2.63543191800878
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2009,96,10215,9.39794419970631
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2010,74,10298,7.18586133229753
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2011,40,10419,3.83914003263269
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2012,57,10539,5.40848277825221
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2013,69,10545,6.54338549075391
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2014,60,10630,5.64440263405456
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2015,74,10796,6.85439051500556
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2016,75,10915,6.87127805771874
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2017,39,11104,3.51224783861671
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2018,66,11172,5.90762620837809
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2019,35,11321,3.09159968200689
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2020,48,11408,4.20757363253857
Hoeilaart,23033,Nee,Migratiesaldo van vreemdelingen,2021,11,11509,0.955773742288644
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2000,26,10732,2.42266120014909
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2001,-4,10829,-0.369378520639025
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2002,26,10809,2.40540290498659
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2003,11,10802,1.0183299389002
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2004,24,10857,2.21055540204476
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2005,2,10937,0.182865502422968
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2006,1,10956,0.0912741876597298
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2007,35,11060,3.16455696202532
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2008,16,11090,1.44274120829576
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2009,-5,11174,-0.447467334884553
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2010,-4,11222,-0.35644270183568
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2011,28,11243,2.4904384950636
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2012,45,11316,3.97667020148462
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2013,48,11470,4.1848299912816
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2014,32,11517,2.77850134583659
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2015,17,11597,1.46589635250496
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2016,24,11689,2.05321242193515
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2017,56,11768,4.75866757307954
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2018,49,11898,4.11833921667507
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2019,45,11972,3.75877046441697
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2020,54,12129,4.45213950037101
Kampenhout,23038,Nee,Migratiesaldo van vreemdelingen,2021,46,12280,3.74592833876221
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2000,9,8783,1.02470681999317
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2001,8,8732,0.916170407695831
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2002,1,8788,0.113791533909877
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2003,8,8813,0.907749914898445
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2004,14,8851,1.58174217602531
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2005,5,8872,0.563570784490532
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2006,-2,8904,-0.224618149146451
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2007,6,8916,0.672947510094213
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2008,1,8970,0.111482720178372
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2009,26,8911,2.91774211648524
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2010,18,9027,1.99401794616152
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2011,31,9083,3.41296928327645
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2012,37,9161,4.0388603864207
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2013,25,9244,2.70445694504543
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2014,30,9200,3.26086956521739
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2015,42,9316,4.50837269214255
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2016,21,9370,2.24119530416222
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2017,46,9382,4.90300575570241
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2018,16,9396,1.70285227756492
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2019,53,9413,5.63051099543185
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2020,24,9501,2.52604988948532
Kapelle-op-den-Bos,23039,Nee,Migratiesaldo van vreemdelingen,2021,50,9524,5.24989500209996
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2000,5,11800,0.423728813559322
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2001,34,11778,2.88673798607573
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2002,20,11811,1.69333672000677
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2003,22,11869,1.85356811862836
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2004,44,11880,3.7037037037037
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2005,51,11932,4.2742205833054
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2006,65,11920,5.45302013422819
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2007,67,12119,5.5285089528839
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2008,49,12210,4.01310401310401
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2009,48,12214,3.9299164892746
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2010,65,12354,5.26145378015218
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2011,91,12526,7.2648890308159
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2012,90,12646,7.11687490115452
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2013,51,12643,4.03385272482797
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2014,89,12818,6.94336089873615
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2015,52,12902,4.03038288637421
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2016,93,12919,7.19869958975153
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2017,82,13103,6.25810883003892
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2018,104,13188,7.88595693054292
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2019,114,13295,8.57465212485897
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2020,100,13397,7.4643576920206
Liedekerke,23044,Nee,Migratiesaldo van vreemdelingen,2021,109,13482,8.0848538792464
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2000,6,17153,0.349793039118522
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2001,5,17166,0.291273447512525
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2002,15,17137,0.875299060512342
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2003,14,17185,0.814663951120163
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2004,18,17305,1.04016180294713
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2005,12,17340,0.692041522491349
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2006,17,17435,0.975050186406653
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2007,61,17452,3.49530139812056
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2008,49,17525,2.79600570613409
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2009,36,17620,2.04313280363224
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2010,56,17655,3.17190597564429
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2011,57,17778,3.20620992237597
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2012,84,17869,4.70087861659858
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2013,41,17976,2.28081886960392
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2014,64,18055,3.54472445306009
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2015,84,18233,4.60703120715187
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2016,80,18274,4.37780453102769
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2017,115,18385,6.25509926570574
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2018,119,18620,6.39097744360902
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2019,147,18749,7.84041815563497
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2020,122,18861,6.46837389321881
Londerzeel,23045,Nee,Migratiesaldo van vreemdelingen,2021,82,19016,4.31215818258309
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2000,63,11838,5.32184490623416
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2001,45,11901,3.78119485757499
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2002,88,11972,7.35048446374875
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2003,65,12067,5.3865915306207
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2004,115,12111,9.49549995871522
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2005,85,12384,6.86369509043928
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2006,150,12500,12.0
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2007,141,12792,11.0225140712946
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2008,129,12953,9.9590828379526
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2009,140,13214,10.5948236718632
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2010,164,13330,12.3030757689422
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2011,167,13566,12.3101872327879
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2012,111,13738,8.0797787159703
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2013,130,13987,9.29434474869522
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2014,151,14271,10.580898325275
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2015,148,14454,10.2393801023938
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2016,133,14764,9.00839880791114
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2017,144,15135,9.51437066402379
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2018,122,15417,7.91334241421807
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2019,146,15469,9.4382313013123
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2020,152,15605,9.74046779878244
Machelen,23047,Nee,Migratiesaldo van vreemdelingen,2021,164,15895,10.3177099716892
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2000,12,18347,0.654057884122745
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2001,9,18390,0.489396411092985
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2002,22,18471,1.19105625033837
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2003,6,18482,0.324640190455578
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2004,35,18427,1.89938676941445
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2005,48,18509,2.5933329731482
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2006,42,18464,2.27469670710572
Meise,23050,Nee,Migratiesaldo van vreemdelingen,2007,33,18545,1.7794553788083
