Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,33,55,0.6
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,20,55,0.363636
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,3,75,0.04
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,33,75,0.44
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,39,75,0.52
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,3,74,0.0405405
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,32,74,0.432432
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,39,74,0.527027
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,4,78,0.0512821
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,32,78,0.410256
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,42,78,0.538462
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,2,64,0.03125
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,18,64,0.28125
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,44,64,0.6875
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,4,78,0.0512821
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,38,78,0.487179
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,36,78,0.461538
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,0,55,0.0
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,26,55,0.472727
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,29,55,0.527273
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,1,71,0.0140845
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,30,71,0.422535
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,40,71,0.56338
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,1,31,0.0322581
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,11,31,0.354839
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,19,31,0.612903
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,26,0.0
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,10,26,0.384615
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,16,26,0.615385
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,2,24,0.0833333
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,12,24,0.5
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,10,24,0.416667
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,1,39,0.025641
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,20,39,0.512821
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,18,39,0.461538
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,0,27,0.0
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,24,27,0.888889
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,3,27,0.111111
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,0,39,0.0
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,22,39,0.564103
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,17,39,0.435897
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,5,43,0.116279
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,18,43,0.418605
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,20,43,0.465116
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,1,51,0.0196078
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,19,51,0.372549
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,31,51,0.607843
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,1,28,0.0357143
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,13,28,0.464286
Borsbeek,11007,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,14,28,0.5
