Gemeente,Nis-code,Centrumstad?,Indicator,Leeftijdsgroep,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar leeftijdsgroep,Aantal inwoners naar leeftijdsgroep,Procent
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2007,94,2315,0.0406048
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2007,95,2848,0.0333567
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2007,28,2469,0.0113406
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2007,16,2171,0.00736988
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2008,85,2378,0.0357443
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2008,112,2288,0.048951
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2008,115,2857,0.040252
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2008,30,2491,0.0120434
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2008,11,2196,0.00500911
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2009,87,2372,0.0366779
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2009,122,2230,0.0547085
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2009,124,2899,0.0427734
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2009,32,2490,0.0128514
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2009,10,2223,0.00449843
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2010,93,2411,0.0385732
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2010,126,2287,0.055094
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2010,138,2891,0.0477343
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2010,33,2491,0.0132477
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2010,11,2274,0.00483729
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2011,107,2480,0.0431452
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2011,155,2338,0.066296
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2011,154,2886,0.0533611
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2011,31,2505,0.0123752
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2011,18,2317,0.00776867
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2012,139,2511,0.0553564
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2012,169,2342,0.0721605
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2012,179,2886,0.0620236
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2012,38,2513,0.0151214
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2012,21,2394,0.00877193
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2013,153,2497,0.0612735
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2013,186,2412,0.0771144
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2013,197,2797,0.0704326
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2013,49,2510,0.0195219
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2013,23,2427,0.00947672
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2014,163,2575,0.063301
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2014,191,2386,0.0800503
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2014,219,2804,0.0781027
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2014,52,2545,0.0204322
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2014,23,2508,0.00917065
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2015,168,2595,0.0647399
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2015,206,2376,0.0867003
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2015,229,2741,0.0835462
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2015,62,2594,0.0239013
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2015,29,2596,0.011171
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2016,174,2578,0.0674942
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2016,210,2380,0.0882353
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2016,236,2697,0.0875046
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2016,72,2628,0.0273973
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2016,27,2636,0.0102428
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2017,180,2649,0.0679502
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2017,230,2415,0.0952381
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2017,235,2645,0.0888469
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2017,92,2709,0.0339609
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2017,30,2685,0.0111732
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2018,195,2695,0.0723562
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2018,242,2383,0.101553
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2018,257,2646,0.0971277
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2018,99,2732,0.0362372
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2018,31,2732,0.011347
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2019,203,2740,0.0740876
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2019,251,2409,0.104193
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2019,277,2626,0.105484
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2019,99,2755,0.0359347
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2019,39,2765,0.0141049
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2020,212,2782,0.0762042
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2020,262,2421,0.10822
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2020,301,2597,0.115903
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2020,118,2778,0.0424766
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2020,42,2819,0.0148989
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2021,213,2812,0.0757468
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2021,275,2437,0.112844
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2021,318,2589,0.122827
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2021,139,2820,0.0492908
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2021,43,2824,0.0152266
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2022,238,2875,0.0827826
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2022,293,2476,0.118336
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2022,339,2569,0.131958
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2022,152,2844,0.0534459
Liedekerke,23044,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2022,43,2887,0.0148944
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2000,66,3434,0.0192196
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2000,71,3847,0.0184559
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2000,66,3943,0.0167385
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2000,28,3110,0.00900322
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2000,10,2819,0.00354736
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2001,55,3415,0.0161054
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2001,66,3764,0.0175345
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2001,73,3974,0.0183694
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2001,26,3166,0.00821226
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2001,9,2847,0.00316122
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2002,44,3410,0.0129032
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2002,63,3640,0.0173077
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2002,71,4001,0.0177456
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2002,24,3180,0.00754717
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2002,12,2906,0.00412939
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2003,41,3388,0.0121015
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2003,59,3612,0.0163344
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2003,78,4020,0.019403
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2003,26,3202,0.00811993
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2003,13,2963,0.00438745
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2004,35,3434,0.0101922
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2004,50,3549,0.0140885
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2004,89,4098,0.0217179
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2004,29,3212,0.00902864
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2004,16,3012,0.00531208
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2005,39,3428,0.0113769
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2005,73,3483,0.0209589
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2005,93,4124,0.0225509
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2005,27,3234,0.00834879
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2005,16,3071,0.00521003
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2006,42,3475,0.0120863
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2006,80,3469,0.0230614
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2006,88,4121,0.021354
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2006,34,3307,0.0102812
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2006,16,3063,0.00522364
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2007,39,3451,0.0113011
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2007,90,3470,0.0259366
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2007,92,4083,0.0225325
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2007,40,3382,0.0118273
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2007,16,3066,0.00521853
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2008,53,3483,0.0152168
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2008,115,3447,0.0333623
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2008,107,4047,0.0264393
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2008,48,3448,0.0139211
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2008,14,3100,0.00451613
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2009,47,3493,0.0134555
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2009,135,3428,0.0393816
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2009,117,4057,0.028839
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2009,51,3473,0.0146847
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2009,14,3169,0.0044178
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2010,56,3469,0.016143
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2010,125,3425,0.0364964
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2010,135,3999,0.0337584
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2010,62,3557,0.0174304
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2010,16,3205,0.0049922
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2011,66,3427,0.0192588
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2011,158,3536,0.0446833
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2011,131,3936,0.0332825
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2011,66,3599,0.0183384
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2011,20,3280,0.00609756
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2012,85,3450,0.0246377
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2012,188,3556,0.0528684
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2012,138,3872,0.0356405
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2012,67,3624,0.0184879
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2012,24,3367,0.00712801
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2013,100,3476,0.0287687
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2013,216,3600,0.06
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2013,162,3807,0.0425532
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2013,65,3670,0.0177112
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2013,24,3423,0.00701139
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2014,106,3494,0.0303377
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2014,222,3575,0.0620979
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2014,162,3805,0.0425756
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2014,71,3678,0.019304
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2014,23,3503,0.0065658
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2015,116,3492,0.0332188
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2015,226,3589,0.0629702
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2015,191,3778,0.0505558
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2015,73,3793,0.019246
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2015,28,3581,0.00781904
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2016,163,3527,0.0462149
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2016,244,3574,0.0682708
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2016,204,3717,0.054883
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2016,78,3822,0.0204082
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2016,30,3634,0.00825537
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2017,172,3558,0.0483418
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2017,254,3568,0.0711883
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2017,223,3701,0.060254
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2017,96,3895,0.024647
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2017,34,3663,0.00928201
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2018,210,3637,0.0577399
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2018,263,3613,0.0727927
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2018,267,3685,0.0724559
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2018,105,3946,0.0266092
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2018,34,3739,0.00909334
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2019,224,3652,0.0613363
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2019,268,3639,0.0736466
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2019,295,3638,0.0810885
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2019,112,4032,0.0277778
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2019,37,3788,0.00976769
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2020,253,3702,0.0683414
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2020,287,3637,0.0789112
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2020,339,3619,0.0936723
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2020,116,4063,0.0285503
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2020,38,3840,0.00989583
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2021,274,3739,0.0732816
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2021,322,3655,0.0880985
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2021,336,3597,0.0934112
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2021,142,4109,0.0345583
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2021,42,3916,0.0107252
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2022,269,3724,0.0722342
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2022,336,3665,0.091678
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2022,360,3642,0.0988468
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2022,152,4107,0.03701
Londerzeel,23045,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2022,49,3998,0.0122561
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2000,159,2537,0.0626724
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2000,283,2488,0.113746
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2000,231,2836,0.0814528
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2000,123,1825,0.0673973
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2000,54,2152,0.0250929
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2001,148,2512,0.0589172
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2001,288,2552,0.112853
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2001,242,2870,0.0843206
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2001,127,1826,0.0695509
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2001,58,2141,0.0270901
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2002,131,2539,0.0515951
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2002,267,2521,0.10591
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2002,259,2884,0.0898058
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2002,142,1863,0.0762211
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2002,58,2165,0.0267898
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2003,112,2606,0.0429777
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2003,281,2519,0.111552
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2003,262,2908,0.0900963
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2003,148,1872,0.0790598
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2003,59,2162,0.0272895
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2004,123,2618,0.0469824
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2004,289,2473,0.116862
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2004,293,2911,0.100653
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2004,150,1938,0.0773994
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2004,68,2171,0.031322
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2005,143,2755,0.0519056
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2005,311,2533,0.122779
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2005,311,2920,0.106507
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2005,159,2010,0.0791045
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2005,81,2166,0.0373961
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2006,146,2828,0.0516266
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2006,326,2534,0.12865
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2006,321,2949,0.10885
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2006,155,2059,0.0752793
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2006,90,2130,0.0422535
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2007,164,2929,0.0559918
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2007,377,2627,0.14351
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2007,348,2994,0.116232
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2007,178,2126,0.0837253
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2007,95,2116,0.044896
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2008,184,3026,0.0608063
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2008,368,2586,0.142305
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2008,394,3017,0.130593
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2008,186,2187,0.085048
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2008,109,2137,0.0510061
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2009,206,3149,0.0654176
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2009,395,2680,0.147388
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2009,407,3009,0.135261
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2009,193,2225,0.0867416
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2009,118,2151,0.0548582
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2010,234,3165,0.0739336
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2010,424,2726,0.155539
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2010,438,3021,0.144985
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2010,204,2261,0.0902256
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2010,114,2157,0.0528512
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2011,264,3237,0.081557
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2011,448,2855,0.156918
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2011,468,3006,0.155689
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2011,232,2337,0.0992726
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2011,125,2131,0.0586579
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2012,332,3333,0.09961
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2012,472,2879,0.163946
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2012,496,2976,0.166667
Machelen,23047,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2012,245,2414,0.101491
