Alle producten,Product groep,Product niveau 1,Alle indicatoren,Indicator groep,Indicator niveau 1,Indicator niveau 2,Gigawattuur
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,1028.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Alle indicatoren,,,,2763.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,39.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,270.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,19.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,646.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Alle indicatoren,,,,976.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,367.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,506.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,62.7
