België,Gewest,Provincie,Arrondissement,Gemeente,Woningen gebouwd vanaf 1991
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.251
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.251
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,0.251
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,0.251
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.251
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,0.251
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.25
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,0.25
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.25
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,0.249
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.249
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.249
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,0.248
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.248
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.247
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,0.246
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.246
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,0.246
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.246
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,0.245
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,0.245
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.245
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.244
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.244
