Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Biobenzine,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Biodiesel,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Andere vloeibare biobrandstoffen,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Warmtepompen,
Finale consumptie,Industrie sector,Hout en houtproducten,Waterkracht,
Finale consumptie,Industrie sector,Hout en houtproducten,Windenergie,
Finale consumptie,Industrie sector,Hout en houtproducten,Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,Hout en houtproducten,Thermische zonne-energie,
Finale consumptie,Industrie sector,Hout en houtproducten,Geothermische energie,
Finale consumptie,Industrie sector,Hout en houtproducten,Vaste biobrandstoffen,181.919
Finale consumptie,Industrie sector,Hout en houtproducten,Houtskool,
Finale consumptie,Industrie sector,Hout en houtproducten,Biogas,
Finale consumptie,Industrie sector,Hout en houtproducten,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,Hout en houtproducten,Biobenzine,
Finale consumptie,Industrie sector,Hout en houtproducten,Biodiesel,
Finale consumptie,Industrie sector,Hout en houtproducten,Andere vloeibare biobrandstoffen,
Finale consumptie,Industrie sector,Hout en houtproducten,Warmtepompen,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Waterkracht,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Windenergie,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Thermische zonne-energie,0.081
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Geothermische energie,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Vaste biobrandstoffen,0.024
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Houtskool,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Biogas,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Biobenzine,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Biodiesel,5.055
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Andere vloeibare biobrandstoffen,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Warmtepompen,4.973
Finale consumptie,Industrie sector,,Waterkracht,
Finale consumptie,Industrie sector,,Windenergie,
