Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Alle producten,Product Groep,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Warmte,
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Elektriciteit,178.822
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,,298.007
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Vaste fossiele brandstoffen,306.262
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Aardolie en aardolieproducten,94.875
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Aardgas,485.377
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Hernieuwbare energie en biobrandstoffen,147.21
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Niet-hernieuwbaar afval,99.678
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Warmte,8.235
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,Elektriciteit,180.232
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Alle producten,,1321.87
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Aardolie en aardolieproducten,8.319
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Aardgas,37.299
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Warmte,0.205
