Industrie (zonder bouw),Belangrijke industriegroepen,Referentiemaand,Basisjaar,Index - Binnenlandse markt
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Juli 2022,2010,129.1
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Augustus 2022,2010,129.71
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",September 2022,2010,129.75
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Oktober 2022,2010,129.62
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",November 2022,2010,129.91
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",December 2022,2010,131.72
Industrie (zonder bouw),,December 2021,2010,164.89
Industrie (zonder bouw),,Januari 2022,2010,181.69
Industrie (zonder bouw),,Februari 2022,2010,182.74
Industrie (zonder bouw),,Maart 2022,2010,190.29
Industrie (zonder bouw),,April 2022,2010,194.67
Industrie (zonder bouw),,Mei 2022,2010,197.22
Industrie (zonder bouw),,Juni 2022,2010,198.93
Industrie (zonder bouw),,Juli 2022,2010,198.41
Industrie (zonder bouw),,Augustus 2022,2010,206.44
Industrie (zonder bouw),,September 2022,2010,212.25
Industrie (zonder bouw),,Oktober 2022,2010,218.07
Industrie (zonder bouw),,November 2022,2010,213.77
Industrie (zonder bouw),,December 2022,2010,214.36
