België,Gewest,Provincie,Arrondissement,Gemeente,Totale bevolking
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,29699
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,29553
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,28647
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,28586
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,28332
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,28023
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,27849
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,27820
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,27652
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,27486
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,27299
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,27179
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),26930
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,26819
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,26445
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,26309
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,25777
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,25537
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,25351
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,25202
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,25084
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,24897
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,24747
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,24569
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,24533
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,24409
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,24277
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,24222
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),24220
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,24177
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,24139
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,23920
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,23857
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,23749
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,23402
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),23227
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,23206
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,23130
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,23088
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,22987
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,22819
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,22611
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,22604
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,22560
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,22466
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,22375
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,22016
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,21994
