Alle werknemersklassen,NIS werknemersklasse,Jaar,Alle economische activiteiten,Sectie,Aantal schrappingen
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,S Overige diensten,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,,1.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,S Overige diensten,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle economische activiteiten,,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,P Onderwijs,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,S Overige diensten,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle economische activiteiten,,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,S Overige diensten,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle economische activiteiten,,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,S Overige diensten,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle economische activiteiten,,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,C Industrie,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,S Overige diensten,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle economische activiteiten,,0.0
Alle werknemersklassen,,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",1935.0
Alle werknemersklassen,,2021,Alle economische activiteiten,B Winning van delfstoffen,7.0
Alle werknemersklassen,,2021,Alle economische activiteiten,C Industrie,3201.0
Alle werknemersklassen,,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",133.0
Alle werknemersklassen,,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,95.0
Alle werknemersklassen,,2021,Alle economische activiteiten,F Bouwnijverheid,10502.0
Alle werknemersklassen,,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,15310.0
Alle werknemersklassen,,2021,Alle economische activiteiten,H Vervoer en opslag,2178.0
Alle werknemersklassen,,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,4858.0
Alle werknemersklassen,,2021,Alle economische activiteiten,J Informatie en communicatie,3777.0
Alle werknemersklassen,,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,444.0
Alle werknemersklassen,,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1573.0
Alle werknemersklassen,,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,12083.0
Alle werknemersklassen,,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,4865.0
Alle werknemersklassen,,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,8.0
Alle werknemersklassen,,2021,Alle economische activiteiten,P Onderwijs,1583.0
Alle werknemersklassen,,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1439.0
Alle werknemersklassen,,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",2120.0
Alle werknemersklassen,,2021,Alle economische activiteiten,S Overige diensten,4590.0
Alle werknemersklassen,,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,6.0
Alle werknemersklassen,,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
Alle werknemersklassen,,2021,Alle economische activiteiten,Onbekende economische activiteit,13.0
Alle werknemersklassen,,2021,Alle economische activiteiten,,70720.0
