Sectie,Jaar,Trimester,Investeringen
S Overige diensten,2019,1ste kwartaal 2019,68649
S Overige diensten,2019,2de kwartaal 2019,74383
S Overige diensten,2019,3de kwartaal 2019,67475
S Overige diensten,2019,4de kwartaal 2019,88783
S Overige diensten,2020,1ste kwartaal 2020,67188
S Overige diensten,2020,2de kwartaal 2020,64973
S Overige diensten,2020,3de kwartaal 2020,75431
S Overige diensten,2020,4de kwartaal 2020,88908
S Overige diensten,2021,1ste kwartaal 2021,71522
S Overige diensten,2021,2de kwartaal 2021,85473
S Overige diensten,2021,3de kwartaal 2021,74052
S Overige diensten,2021,4de kwartaal 2021,90639
S Overige diensten,2022,1ste kwartaal 2022,71858
S Overige diensten,2022,2de kwartaal 2022,81272
S Overige diensten,2022,3de kwartaal 2022,72573
