Niveau 1,Jaar,Trimester,Bruto index
M73 Reclamewezen en marktonderzoek,2021,2de kwartaal 2021,105.568
M73 Reclamewezen en marktonderzoek,2021,3de kwartaal 2021,96.839
M73 Reclamewezen en marktonderzoek,2021,4de kwartaal 2021,138.618
M73 Reclamewezen en marktonderzoek,2022,1ste kwartaal 2022,95.62
M73 Reclamewezen en marktonderzoek,2022,2de kwartaal 2022,122.95
M73 Reclamewezen en marktonderzoek,2022,3de kwartaal 2022,102.63
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2018,,129.781
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2019,,134.046
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2020,,128.249
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2021,1ste kwartaal 2021,142.815
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2021,2de kwartaal 2021,153.758
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2021,3de kwartaal 2021,147.189
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2021,4de kwartaal 2021,194.21
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2022,1ste kwartaal 2022,196.353
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2022,2de kwartaal 2022,203.801
M74 Overige vrije beroepen en overige wetenschappelijke en technische activiteiten,2022,3de kwartaal 2022,196.891
N78 Arbeidsbemiddeling en personeelswerk,2018,,136.772
N78 Arbeidsbemiddeling en personeelswerk,2019,,146.716
N78 Arbeidsbemiddeling en personeelswerk,2020,,131.588
N78 Arbeidsbemiddeling en personeelswerk,2021,1ste kwartaal 2021,136.505
N78 Arbeidsbemiddeling en personeelswerk,2021,2de kwartaal 2021,150.353
N78 Arbeidsbemiddeling en personeelswerk,2021,3de kwartaal 2021,161.724
N78 Arbeidsbemiddeling en personeelswerk,2021,4de kwartaal 2021,173.865
N78 Arbeidsbemiddeling en personeelswerk,2022,1ste kwartaal 2022,156.968
N78 Arbeidsbemiddeling en personeelswerk,2022,2de kwartaal 2022,172.006
N78 Arbeidsbemiddeling en personeelswerk,2022,3de kwartaal 2022,172.752
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2018,,100.092
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2019,,103.575
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2020,,31.029
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2021,1ste kwartaal 2021,11.414
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2021,2de kwartaal 2021,29.732
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2021,3de kwartaal 2021,62.67
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2021,4de kwartaal 2021,54.475
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2022,1ste kwartaal 2022,59.24
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2022,2de kwartaal 2022,90.961
"N79 Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten",2022,3de kwartaal 2022,82.15
N80 Beveiligings- en opsporingsdiensten,2018,,114.821
N80 Beveiligings- en opsporingsdiensten,2019,,119.151
N80 Beveiligings- en opsporingsdiensten,2020,,118.041
N80 Beveiligings- en opsporingsdiensten,2021,1ste kwartaal 2021,116.205
N80 Beveiligings- en opsporingsdiensten,2021,2de kwartaal 2021,116.424
N80 Beveiligings- en opsporingsdiensten,2021,3de kwartaal 2021,106.93
N80 Beveiligings- en opsporingsdiensten,2021,4de kwartaal 2021,132.424
N80 Beveiligings- en opsporingsdiensten,2022,1ste kwartaal 2022,123.676
N80 Beveiligings- en opsporingsdiensten,2022,2de kwartaal 2022,131.015
N80 Beveiligings- en opsporingsdiensten,2022,3de kwartaal 2022,126.552
N812 Reiniging,2018,,121.533
N812 Reiniging,2019,,125.891
N812 Reiniging,2020,,129.251
N812 Reiniging,2021,1ste kwartaal 2021,130.163
N812 Reiniging,2021,2de kwartaal 2021,143.063
N812 Reiniging,2021,3de kwartaal 2021,144.732
N812 Reiniging,2021,4de kwartaal 2021,169.32
N812 Reiniging,2022,1ste kwartaal 2022,152.887
N812 Reiniging,2022,2de kwartaal 2022,163.252
N812 Reiniging,2022,3de kwartaal 2022,161.149
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2018,,182.746
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2019,,223.122
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2020,,216.903
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2021,1ste kwartaal 2021,206.782
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2021,2de kwartaal 2021,212.781
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2021,3de kwartaal 2021,200.643
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2021,4de kwartaal 2021,233.267
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2022,1ste kwartaal 2022,209.098
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2022,2de kwartaal 2022,223.482
N82 Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,2022,3de kwartaal 2022,222.625
