Gewest,Provincie,Arrondissement,Rubrieken niveau 1,Jaar,Totaal kadastraal inkomen
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),1982,
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),1990,
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),2000,
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),2005,
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),2010,
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),2015,
Vlaams Gewest,Provincie Limburg,,totale oppervlakte  (6TOT),2020,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),1982,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),1990,2991908.012
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),2000,3286921.386
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),2005,3423600.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),2010,3225257.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),2015,2879564.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal onbebouwde percelen  (1TOT),2020,2726931.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),1982,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),1990,928370602.803
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),2000,1098579103.815
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),2005,1135925529.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),2010,1204838136.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),2015,1256227004.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totaal bebouwde percelen  (2TOT),2020,1293578242.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),1982,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),1990,92464.285
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),2000,9586.043
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),2005,9586.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),2010,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),2015,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet genormaliseerde percelen  (3TOT),2020,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),1982,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),1990,931454975.099
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),2000,1101875611.243
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),2005,1139358715.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),2010,1208063393.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),2015,1259106568.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,gekadastreerde oppervlakte  (4TOT),2020,1296305173.0
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),1982,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),1990,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),2000,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),2005,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),2010,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),2015,
