Karakteristieken,België,Gewest,Jaar,Gebouwtype,Aantal eenheden
"Aantal garages, parkings of overdekte staanplaatsen",België,,2022,Huizen in gesloten bebouwing,488653.0
"Aantal garages, parkings of overdekte staanplaatsen",België,,2022,Huizen in halfopen bebouwing,767160.0
"Aantal garages, parkings of overdekte staanplaatsen",België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1520196.0
"Aantal garages, parkings of overdekte staanplaatsen",België,,2022,Buildings en flatgebouwen met appartementen,1165821.0
Aantal woongelegenheden,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,698066.0
Aantal woongelegenheden,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,608362.0
Aantal woongelegenheden,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",913309.0
Aantal woongelegenheden,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,930044.0
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,182411.0
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,17366.0
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",6180.0
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,347350.0
Aantal woongelegenheden,België,Waals Gewest,2022,Huizen in gesloten bebouwing,457568.0
Aantal woongelegenheden,België,Waals Gewest,2022,Huizen in halfopen bebouwing,388514.0
Aantal woongelegenheden,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",524838.0
Aantal woongelegenheden,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,307663.0
Aantal woongelegenheden,België,,2022,Huizen in gesloten bebouwing,1338045.0
Aantal woongelegenheden,België,,2022,Huizen in halfopen bebouwing,1014242.0
Aantal woongelegenheden,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1444327.0
Aantal woongelegenheden,België,,2022,Buildings en flatgebouwen met appartementen,1585057.0
