Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Product Niveau 1,Kiloton olie equivalent (ovw)
Energie sector,Hoogovens,,Siderurgische gassen,Andere teruggewonnen gassen,50.953
Energie sector,,,Vaste fossiele brandstoffen,Antraciet,
Energie sector,,,Vaste fossiele brandstoffen,Cokeskool,
Energie sector,,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Energie sector,,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Energie sector,,,Vaste fossiele brandstoffen,Steenkool-briketten,
Energie sector,,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Energie sector,,,Vaste fossiele brandstoffen,Koolteer,
Energie sector,,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Energie sector,,,Siderurgische gassen,Cokesovengas,104.516
Energie sector,,,Siderurgische gassen,Hoogovengas,88.996
Energie sector,,,Siderurgische gassen,Andere teruggewonnen gassen,50.953
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Antraciet,9.648
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Cokesoven-cokes,8.998
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Industrie sector,IJzer en staal,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Industrie sector,IJzer en staal,Siderurgische gassen,Cokesovengas,126.384
Finale consumptie,Industrie sector,IJzer en staal,Siderurgische gassen,Hoogovengas,48.034
Finale consumptie,Industrie sector,IJzer en staal,Siderurgische gassen,Andere teruggewonnen gassen,5.842
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Antraciet,
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Cokesoven-cokes,9.068
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),0.27
Finale consumptie,Industrie sector,Chemie en petrochemie,Siderurgische gassen,Cokesovengas,
Finale consumptie,Industrie sector,Chemie en petrochemie,Siderurgische gassen,Hoogovengas,
Finale consumptie,Industrie sector,Chemie en petrochemie,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Antraciet,16.973
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Andere bitumineuze kool,143.088
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Subbitumineuze kool,29.3
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Cokesoven-cokes,0.07
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),116.832
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Siderurgische gassen,Cokesovengas,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Siderurgische gassen,Hoogovengas,
