Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
jan23,14jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.211
jan23,14jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.053
jan23,14jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.089
jan23,14jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.195
jan23,14jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.205
jan23,14jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.169
jan23,14jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.309
jan23,14jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.251
jan23,14jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.215
jan23,14jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.354
jan23,14jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,14jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,14jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,14jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,14jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,14jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,15jan23,Benzines,Benzine 95 RON E5 (€/L),1.783
jan23,15jan23,Benzines,Benzine 95 RON E10 (€/L),1.739
jan23,15jan23,Benzines,Benzine 98 RON E5 (€/L),1.927
jan23,15jan23,Benzines,Benzine 98 RON E10 (€/L),1.88
jan23,15jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.795
jan23,15jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.78
jan23,15jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.817
jan23,15jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.899
jan23,15jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.071
jan23,15jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.07
jan23,15jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.105
jan23,15jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.047
jan23,15jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.082
jan23,15jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.074
jan23,15jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.11
jan23,15jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.211
jan23,15jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.053
jan23,15jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.089
jan23,15jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.195
jan23,15jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.205
jan23,15jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.169
jan23,15jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.309
jan23,15jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.251
jan23,15jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.215
jan23,15jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.354
jan23,15jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,15jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,15jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,15jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,15jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,15jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,16jan23,Benzines,Benzine 95 RON E5 (€/L),1.783
jan23,16jan23,Benzines,Benzine 95 RON E10 (€/L),1.739
jan23,16jan23,Benzines,Benzine 98 RON E5 (€/L),1.927
jan23,16jan23,Benzines,Benzine 98 RON E10 (€/L),1.88
jan23,16jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.795
jan23,16jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.78
jan23,16jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.817
jan23,16jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.899
jan23,16jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.071
jan23,16jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.07
jan23,16jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.105
jan23,16jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.047
jan23,16jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.082
jan23,16jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.074
jan23,16jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.11
jan23,16jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.211
jan23,16jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.053
jan23,16jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.089
jan23,16jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.195
jan23,16jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.205
jan23,16jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.169
jan23,16jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.309
jan23,16jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.251
jan23,16jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.215
jan23,16jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.354
jan23,16jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,16jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,16jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,16jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,16jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,16jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,17jan23,Benzines,Benzine 95 RON E5 (€/L),1.783
jan23,17jan23,Benzines,Benzine 95 RON E10 (€/L),1.739
jan23,17jan23,Benzines,Benzine 98 RON E5 (€/L),1.927
jan23,17jan23,Benzines,Benzine 98 RON E10 (€/L),1.88
jan23,17jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.795
jan23,17jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.78
jan23,17jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.817
jan23,17jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.899
jan23,17jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.071
jan23,17jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.079
jan23,17jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.115
