Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal btw-plichtige
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,20.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,F Bouwnijverheid,48.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,93.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,H Vervoer en opslag,46.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,11.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,J Informatie en communicatie,35.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,23.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,52.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,83.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,107.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,P Onderwijs,22.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,106.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",7.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,S Overige diensten,9.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,,857.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,C Industrie,86.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,7.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,F Bouwnijverheid,10.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,44.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,H Vervoer en opslag,28.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,6.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,J Informatie en communicatie,14.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,14.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,14.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,43.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,54.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,P Onderwijs,8.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,91.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",2.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,S Overige diensten,2.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,,425.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,C Industrie,29.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,5.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,F Bouwnijverheid,4.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,19.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,H Vervoer en opslag,7.0
