Date,Nieuw-Zeelandse dollar
2018-06-07,1.6789
2018-06-08,1.6734
2018-06-11,1.6764
2018-06-12,1.6781
2018-06-13,1.6713
2018-06-14,1.6656
2018-06-15,1.6676
2018-06-18,1.6712
2018-06-19,1.6747
2018-06-20,1.6853
2018-06-21,1.6846
2018-06-22,1.688
2018-06-25,1.6947
2018-06-26,1.6998
2018-06-27,1.7046
2018-06-28,1.7135
2018-06-29,1.7247
2018-07-02,1.7315
2018-07-03,1.7281
2018-07-04,1.7217
2018-07-05,1.7256
2018-07-06,1.7186
2018-07-09,1.7198
2018-07-10,1.7188
2018-07-11,1.7266
2018-07-12,1.724
2018-07-13,1.728
2018-07-16,1.7262
2018-07-17,1.7191
2018-07-18,1.7175
2018-07-19,1.7229
2018-07-20,1.7251
2018-07-23,1.7204
2018-07-24,1.7192
2018-07-25,1.7173
2018-07-26,1.7186
2018-07-27,1.7179
2018-07-30,1.7165
2018-07-31,1.7213
2018-08-01,1.7187
2018-08-02,1.7204
2018-08-03,1.717
2018-08-06,1.7154
2018-08-07,1.7191
2018-08-08,1.7202
2018-08-09,1.7421
2018-08-10,1.7365
2018-08-13,1.7335
2018-08-14,1.7277
2018-08-15,1.7267
2018-08-16,1.7267
2018-08-17,1.7254
2018-08-20,1.7255
2018-08-21,1.7281
2018-08-22,1.7319
2018-08-23,1.7352
2018-08-24,1.7384
2018-08-27,1.7415
2018-08-28,1.7444
2018-08-29,1.7413
2018-08-30,1.7534
2018-08-31,1.7559
2018-09-03,1.7565
2018-09-04,1.7649
2018-09-05,1.7637
2018-09-06,1.7633
2018-09-07,1.7647
2018-09-10,1.7706
2018-09-11,1.7773
2018-09-12,1.7772
2018-09-13,1.7743
2018-09-14,1.7778
2018-09-17,1.7742
2018-09-18,1.7752
2018-09-19,1.7684
2018-09-20,1.7643
2018-09-21,1.7606
2018-09-24,1.7651
2018-09-25,1.7696
2018-09-26,1.7668
2018-09-27,1.7638
2018-09-28,1.7505
2018-10-01,1.7572
2018-10-02,1.7523
2018-10-03,1.7617
2018-10-04,1.7706
2018-10-05,1.7784
