Date,Deense kroon
2018-06-13,7.4503
2018-06-14,7.4499
2018-06-15,7.4503
2018-06-18,7.45
2018-06-19,7.4529
2018-06-20,7.4525
2018-06-21,7.452
2018-06-22,7.4526
2018-06-25,7.4517
2018-06-26,7.451
2018-06-27,7.4507
2018-06-28,7.4509
2018-06-29,7.4525
2018-07-02,7.4504
2018-07-03,7.4506
2018-07-04,7.4507
2018-07-05,7.4507
2018-07-06,7.4528
2018-07-09,7.4534
2018-07-10,7.4536
2018-07-11,7.4541
2018-07-12,7.4554
2018-07-13,7.4555
2018-07-16,7.4549
2018-07-17,7.454
2018-07-18,7.4544
2018-07-19,7.4537
2018-07-20,7.452
2018-07-23,7.4509
2018-07-24,7.4504
2018-07-25,7.4513
2018-07-26,7.4517
2018-07-27,7.45
2018-07-30,7.4493
2018-07-31,7.4499
2018-08-01,7.4514
2018-08-02,7.4515
2018-08-03,7.4526
2018-08-06,7.452
2018-08-07,7.452
2018-08-08,7.4534
2018-08-09,7.4566
2018-08-10,7.4544
2018-08-13,7.4536
2018-08-14,7.4545
2018-08-15,7.4574
2018-08-16,7.4573
2018-08-17,7.4578
2018-08-20,7.4588
2018-08-21,7.4584
2018-08-22,7.4588
2018-08-23,7.459
2018-08-24,7.4592
2018-08-27,7.4582
2018-08-28,7.4574
2018-08-29,7.4571
2018-08-30,7.4568
2018-08-31,7.4558
2018-09-03,7.4536
2018-09-04,7.4546
2018-09-05,7.4559
2018-09-06,7.4567
2018-09-07,7.458
2018-09-10,7.4579
2018-09-11,7.4595
2018-09-12,7.4594
2018-09-13,7.4596
2018-09-14,7.4596
2018-09-17,7.4594
2018-09-18,7.4602
2018-09-19,7.4597
2018-09-20,7.4592
2018-09-21,7.4597
2018-09-24,7.4597
2018-09-25,7.4597
2018-09-26,7.4584
2018-09-27,7.4591
2018-09-28,7.4564
2018-10-01,7.4557
2018-10-02,7.4561
2018-10-03,7.4567
2018-10-04,7.4567
2018-10-05,7.4589
2018-10-08,7.4599
2018-10-09,7.4592
2018-10-10,7.4601
2018-10-11,7.4603
2018-10-12,7.4602
2018-10-15,7.4609
2018-10-16,7.4609
2018-10-17,7.4604
2018-10-18,7.4606
2018-10-19,7.4606
2018-10-22,7.4603
2018-10-23,7.4603
2018-10-24,7.4604
2018-10-25,7.461
2018-10-26,7.4607
2018-10-29,7.4614
2018-10-30,7.4614
2018-10-31,7.4614
2018-11-01,7.4604
2018-11-02,7.4603
2018-11-05,7.4596
2018-11-06,7.4593
2018-11-07,7.4598
2018-11-08,7.4597
2018-11-09,7.4594
2018-11-12,7.4597
2018-11-13,7.4613
2018-11-14,7.4621
2018-11-15,7.4622
2018-11-16,7.4618
2018-11-19,7.4625
2018-11-20,7.4627
2018-11-21,7.4617
2018-11-22,7.4616
2018-11-23,7.4618
2018-11-26,7.4612
2018-11-27,7.4617
2018-11-28,7.4616
2018-11-29,7.4622
2018-11-30,7.4622
2018-12-03,7.4622
2018-12-04,7.4626
2018-12-05,7.463
2018-12-06,7.4635
2018-12-07,7.4641
2018-12-10,7.4639
2018-12-11,7.4641
2018-12-12,7.4641
2018-12-13,7.4647
2018-12-14,7.4656
2018-12-17,7.4659
2018-12-18,7.4675
2018-12-19,7.4676
2018-12-20,7.4672
2018-12-21,7.467
2018-12-24,7.4663
2018-12-27,7.4672
2018-12-28,7.4673
2018-12-31,7.4673
2019-01-02,7.4669
2019-01-03,7.4675
2019-01-04,7.4679
2019-01-07,7.4675
2019-01-08,7.4663
2019-01-09,7.4661
2019-01-10,7.4655
2019-01-11,7.4643
2019-01-14,7.4639
2019-01-15,7.4638
2019-01-16,7.4642
2019-01-17,7.4649
2019-01-18,7.4649
2019-01-21,7.4659
2019-01-22,7.4669
2019-01-23,7.4667
2019-01-24,7.4659
2019-01-25,7.4664
2019-01-28,7.4652
2019-01-29,7.465
2019-01-30,7.4648
2019-01-31,7.4657
2019-02-01,7.4654
2019-02-04,7.4654
2019-02-05,7.465
2019-02-06,7.4652
2019-02-07,7.4636
2019-02-08,7.4634
2019-02-11,7.4637
2019-02-12,7.4623
2019-02-13,7.4618
2019-02-14,7.4615
2019-02-15,7.4612
2019-02-18,7.462
2019-02-19,7.4619
2019-02-20,7.4614
2019-02-21,7.4619
2019-02-22,7.462
2019-02-25,7.4615
2019-02-26,7.4616
2019-02-27,7.4611
2019-02-28,7.4611
2019-03-01,7.4613
2019-03-04,7.4616
2019-03-05,7.4614
2019-03-06,7.4609
2019-03-07,7.461
2019-03-08,7.46
2019-03-11,7.4608
2019-03-12,7.4602
2019-03-13,7.4601
2019-03-14,7.4624
2019-03-15,7.4634
2019-03-18,7.4621
2019-03-19,7.4624
2019-03-20,7.4624
2019-03-21,7.4626
2019-03-22,7.4622
2019-03-25,7.4646
2019-03-26,7.4654
2019-03-27,7.4664
2019-03-28,7.4657
2019-03-29,7.4652
2019-04-01,7.4641
2019-04-02,7.4646
2019-04-03,7.4643
2019-04-04,7.4639
2019-04-05,7.4646
2019-04-08,7.4651
2019-04-09,7.465
2019-04-10,7.4652
2019-04-11,7.4648
2019-04-12,7.4643
2019-04-15,7.4639
2019-04-16,7.4642
2019-04-17,7.4652
2019-04-18,7.4663
2019-04-23,7.4659
2019-04-24,7.4666
2019-04-25,7.4663
2019-04-26,7.4654
2019-04-29,7.4652
2019-04-30,7.4646
2019-05-02,7.4655
2019-05-03,7.4657
2019-05-06,7.4662
2019-05-07,7.4657
2019-05-08,7.4657
2019-05-09,7.4659
2019-05-10,7.4658
2019-05-13,7.4668
2019-05-14,7.4691
2019-05-15,7.4695
2019-05-16,7.4678
2019-05-17,7.4677
2019-05-20,7.4681
2019-05-21,7.4685
2019-05-22,7.468
2019-05-23,7.4684
2019-05-24,7.4678
2019-05-27,7.4688
2019-05-28,7.4689
2019-05-29,7.4687
2019-05-30,7.4687
2019-05-31,7.468
2019-06-03,7.468
2019-06-04,7.4679
2019-06-05,7.4682
2019-06-06,7.4687
2019-06-07,7.468
2019-06-10,7.4682
2019-06-11,7.4687
2019-06-12,7.4678
2019-06-13,7.4678
2019-06-14,7.4676
2019-06-17,7.4674
2019-06-18,7.4672
2019-06-19,7.4671
2019-06-20,7.4661
2019-06-21,7.4657
2019-06-24,7.4663
2019-06-25,7.4654
2019-06-26,7.4651
2019-06-27,7.4641
2019-06-28,7.4636
2019-07-01,7.4647
2019-07-02,7.4639
2019-07-03,7.4641
2019-07-04,7.4633
2019-07-05,7.4635
2019-07-08,7.4631
2019-07-09,7.4634
2019-07-10,7.4637
2019-07-11,7.4673
2019-07-12,7.4673
2019-07-15,7.4669
2019-07-16,7.4678
2019-07-17,7.4669
2019-07-18,7.4672
2019-07-19,7.4662
2019-07-22,7.466
2019-07-23,7.4659
2019-07-24,7.4649
2019-07-25,7.4648
2019-07-26,7.4663
2019-07-29,7.4668
2019-07-30,7.4666
2019-07-31,7.4674
2019-08-01,7.466
2019-08-02,7.466
2019-08-05,7.4658
2019-08-06,7.4644
2019-08-07,7.4631
2019-08-08,7.4631
2019-08-09,7.4631
2019-08-12,7.4633
2019-08-13,7.4633
2019-08-14,7.4608
2019-08-15,7.459
2019-08-16,7.459
2019-08-19,7.4582
2019-08-20,7.456
2019-08-21,7.4564
2019-08-22,7.4558
