Date,Indonesische roepia
2018-12-12,16562.32
2018-12-13,16496.36
2018-12-14,16499.62
2018-12-17,16529.51
2018-12-18,16472.76
2018-12-19,16471.67
2018-12-20,16544.4
2018-12-21,16696.34
2018-12-24,16642.56
2018-12-27,16608.2
2018-12-28,16639.28
2018-12-31,16500.0
2019-01-02,16484.11
2019-01-03,16352.47
2019-01-04,16241.35
2019-01-07,16122.63
2019-01-08,16181.88
2019-01-09,16180.19
2019-01-10,16240.13
2019-01-11,16246.02
2019-01-14,16195.99
2019-01-15,16135.26
2019-01-16,16115.87
2019-01-17,16159.53
2019-01-18,16193.18
2019-01-21,16180.62
2019-01-22,16160.15
2019-01-23,16110.41
2019-01-24,16064.53
2019-01-25,15980.84
2019-01-28,16056.62
2019-01-29,16093.6
2019-01-30,16149.18
2019-01-31,15980.38
2019-02-01,16009.5
2019-02-04,16037.31
2019-02-05,15964.21
2019-02-06,15862.73
2019-02-07,15883.0
2019-02-08,15844.69
2019-02-11,15924.05
2019-02-12,15891.78
2019-02-13,15904.4
2019-02-14,15876.61
2019-02-15,15924.46
2019-02-18,15979.84
2019-02-19,15926.8
2019-02-20,15924.17
2019-02-21,15978.5
2019-02-22,15920.0
2019-02-25,15917.0
2019-02-26,15917.9
2019-02-27,15967.73
2019-02-28,16069.73
2019-03-01,16067.0
2019-03-04,16019.18
2019-03-05,16007.31
2019-03-06,15999.4
2019-03-07,15990.17
2019-03-08,16068.78
2019-03-11,16067.68
2019-03-12,16084.0
2019-03-13,16091.85
2019-03-14,16150.44
2019-03-15,16143.3
2019-03-18,16158.0
2019-03-19,16099.97
2019-03-20,16082.94
2019-03-21,16075.03
2019-03-22,16046.58
2019-03-25,16058.85
2019-03-26,15999.35
2019-03-27,16035.66
2019-03-28,16005.28
2019-03-29,15998.64
2019-04-01,15983.21
2019-04-02,15926.4
2019-04-03,15939.2
2019-04-04,15895.08
2019-04-05,15900.87
2019-04-08,15927.71
2019-04-09,15937.78
2019-04-10,15959.79
2019-04-11,15966.16
2019-04-12,15954.12
2019-04-15,15906.08
2019-04-16,15923.09
2019-04-17,15917.46
2019-04-18,15797.81
2019-04-23,15827.34
2019-04-24,15799.09
2019-04-25,15831.37
2019-04-26,15804.41
2019-04-29,15833.0
2019-04-30,15953.68
2019-05-02,15977.1
2019-05-03,15901.45
2019-05-06,16006.17
2019-05-07,15972.18
2019-05-08,16013.26
2019-05-09,16062.37
2019-05-10,16177.38
2019-05-13,16210.88
2019-05-14,16199.12
2019-05-15,16170.62
2019-05-16,16188.34
2019-05-17,16143.54
2019-05-20,16166.8
2019-05-21,16164.48
2019-05-22,16225.88
2019-05-23,16129.83
2019-05-24,16100.89
2019-05-27,16102.72
2019-05-28,16088.5
2019-05-29,16083.61
2019-05-30,16032.96
2019-05-31,15982.17
2019-06-03,15925.2
2019-06-04,15992.34
2019-06-05,15990.01
2019-06-06,15990.96
2019-06-07,16061.77
2019-06-10,16098.27
2019-06-11,16116.85
2019-06-12,16125.56
2019-06-13,16135.37
2019-06-14,16128.1
2019-06-17,16103.94
2019-06-18,16022.58
2019-06-19,15991.83
2019-06-20,16036.15
2019-06-21,15987.0
2019-06-24,16125.0
2019-06-25,16116.3
2019-06-26,16097.68
2019-06-27,16077.18
2019-06-28,16083.35
2019-07-01,16016.28
2019-07-02,15976.79
2019-07-03,15970.0
2019-07-04,15961.23
2019-07-05,15899.68
2019-07-08,15824.37
2019-07-09,15832.67
2019-07-10,15853.86
2019-07-11,15872.35
2019-07-12,15794.71
2019-07-15,15712.0
2019-07-16,15644.86
2019-07-17,15678.57
2019-07-18,15669.87
2019-07-19,15662.52
2019-07-22,15639.32
2019-07-23,15598.63
2019-07-24,15568.15
2019-07-25,15535.99
2019-07-26,15568.7
2019-07-29,15588.84
2019-07-30,15637.91
2019-07-31,15639.3
2019-08-01,15623.97
2019-08-02,15772.45
2019-08-05,16006.7
2019-08-06,15958.26
2019-08-07,15941.29
2019-08-08,15903.01
2019-08-09,15889.96
2019-08-12,15951.0
2019-08-13,16067.1
2019-08-14,15937.31
2019-08-15,15911.05
2019-08-16,15753.39
2019-08-19,15805.12
2019-08-20,15794.38
2019-08-21,15808.76
2019-08-22,15777.1
2019-08-23,15726.13
2019-08-26,15834.46
2019-08-27,15821.87
2019-08-28,15792.82
2019-08-29,15718.92
2019-08-30,15654.57
2019-09-02,15567.98
2019-09-03,15558.0
2019-09-04,15593.22
2019-09-05,15605.38
2019-09-06,15532.63
2019-09-09,15498.1
2019-09-10,15505.68
2019-09-11,15470.22
2019-09-12,15310.38
2019-09-13,15495.56
2019-09-16,15487.52
2019-09-17,15536.74
2019-09-18,15541.22
2019-09-19,15560.2
2019-09-20,15502.67
2019-09-23,15472.37
2019-09-24,15527.98
2019-09-25,15539.53
2019-09-26,15496.96
2019-09-27,15489.43
2019-09-30,15456.94
2019-10-01,15505.67
2019-10-02,15516.78
2019-10-03,15520.3
2019-10-04,15531.39
2019-10-07,15579.88
2019-10-08,15550.68
2019-10-09,15560.08
2019-10-10,15609.1
2019-10-11,15601.55
2019-10-14,15586.8
2019-10-15,15591.42
2019-10-16,15662.11
2019-10-17,15732.67
2019-10-18,15773.15
2019-10-21,15713.09
2019-10-22,15626.52
2019-10-23,15604.46
2019-10-24,15619.26
2019-10-25,15588.67
2019-10-28,15536.21
2019-10-29,15590.95
2019-10-30,15600.04
2019-10-31,15701.5
2019-11-01,15640.93
2019-11-04,15643.31
2019-11-05,15516.5
2019-11-06,15542.64
2019-11-07,15501.71
2019-11-08,15463.05
2019-11-11,15540.68
2019-11-12,15499.48
2019-11-13,15522.75
2019-11-14,15508.18
2019-11-15,15528.15
2019-11-18,15588.27
2019-11-19,15607.49
2019-11-20,15602.04
2019-11-21,15624.45
2019-11-22,15575.19
2019-11-25,15512.47
2019-11-26,15538.08
2019-11-27,15517.01
2019-11-28,15517.93
2019-11-29,15490.11
2019-12-02,15569.99
2019-12-03,15615.65
2019-12-04,15629.75
2019-12-05,15603.71
2019-12-06,15554.41
2019-12-09,15506.11
2019-12-10,15518.88
2019-12-11,15554.28
2019-12-12,15630.78
2019-12-13,15626.84
2019-12-16,15609.97
2019-12-17,15615.64
2019-12-18,15558.78
2019-12-19,15551.77
2019-12-20,15510.83
2019-12-23,15489.5
2019-12-24,15495.4
2019-12-27,15573.91
2019-12-30,15565.65
2019-12-31,15595.6
2020-01-02,15540.92
2020-01-03,15536.69
2020-01-06,15604.44
2020-01-07,15501.15
2020-01-08,15441.51
2020-01-09,15387.35
2020-01-10,15263.99
2020-01-13,15243.73
2020-01-14,15219.55
2020-01-15,15262.3
2020-01-16,15223.35
2020-01-17,15184.91
2020-01-20,15118.3
2020-01-21,15197.89
2020-01-22,15137.71
2020-01-23,15141.43
2020-01-24,15002.91
2020-01-27,14999.51
2020-01-28,15008.07
2020-01-29,14991.61
2020-01-30,15094.84
2020-01-31,15091.51
2020-02-03,15207.45
2020-02-04,15146.81
2020-02-05,15036.47
2020-02-06,15000.81
2020-02-07,15063.25
2020-02-10,15037.15
2020-02-11,14919.11
2020-02-12,14912.89
2020-02-13,14892.14
2020-02-14,14870.88
2020-02-17,14792.48
2020-02-18,14780.06
2020-02-19,14783.04
2020-02-20,14790.39
2020-02-21,14867.58
2020-02-24,15098.95
2020-02-25,15094.7
2020-02-26,15221.86
2020-02-27,15387.97
2020-02-28,15749.25
2020-03-02,15909.41
2020-03-03,15877.0
2020-03-04,15702.94
2020-03-05,15851.98
2020-03-06,16558.49
2020-03-09,16488.05
2020-03-10,16282.0
2020-03-11,16269.99
2020-03-12,16434.0
2020-03-13,16400.61
2020-03-16,16756.2
2020-03-17,16681.66
2020-03-18,16892.54
2020-03-19,17187.09
2020-03-20,17050.9
2020-03-23,17872.82
2020-03-24,17701.2
2020-03-25,17447.71
2020-03-26,17686.0
2020-03-27,17716.88
2020-03-30,18088.04
2020-03-31,17869.24
2020-04-01,18239.61
2020-04-02,18166.12
2020-04-03,17918.68
2020-04-06,17710.73
2020-04-07,17562.95
2020-04-08,17636.02
2020-04-09,17243.21
2020-04-14,17229.09
2020-04-15,17201.21
2020-04-16,17089.8
2020-04-17,16925.99
2020-04-20,16871.01
2020-04-21,17001.63
2020-04-22,16935.13
2020-04-23,16772.0
2020-04-24,16875.0
2020-04-27,16695.8
2020-04-28,16714.69
2020-04-29,16611.03
2020-04-30,16178.05
2020-05-04,16522.42
2020-05-05,16372.93
2020-05-06,16259.13
2020-05-07,16223.02
2020-05-08,16229.26
2020-05-11,16202.32
2020-05-12,16073.64
2020-05-13,16092.26
2020-05-14,16134.8
2020-05-15,16127.82
2020-05-18,16077.45
2020-05-19,16177.5
2020-05-20,16127.44
2020-05-21,16205.75
2020-05-22,16249.14
2020-05-25,16048.61
2020-05-26,16193.61
2020-05-27,16167.76
