Date,Indiase roepie
2018-03-09,80.1315
2018-03-12,79.9785
2018-03-13,80.284
2018-03-14,80.1975
2018-03-15,80.155
2018-03-16,79.867
2018-03-19,80.2455
2018-03-20,80.037
2018-03-21,80.117
2018-03-22,80.183
2018-03-23,80.255
2018-03-26,80.5105
2018-03-27,80.413
2018-03-28,80.8005
2018-03-29,80.296
2018-04-03,80.014
2018-04-04,79.954
2018-04-05,79.601
2018-04-06,79.481
2018-04-09,79.9545
2018-04-10,80.3375
2018-04-11,80.8735
2018-04-12,80.417
2018-04-13,80.316
2018-04-16,81.0175
2018-04-17,81.108
2018-04-18,81.346
2018-04-19,81.458
2018-04-20,81.39
2018-04-23,81.2845
2018-04-24,81.0765
2018-04-25,81.6095
2018-04-26,81.224
2018-04-27,80.4645
2018-04-30,80.1685
2018-05-02,80.0455
2018-05-03,79.8965
2018-05-04,80.027
2018-05-07,79.904
2018-05-08,79.63
2018-05-09,79.901
2018-05-10,79.8905
2018-05-11,80.36
2018-05-14,80.9545
2018-05-15,80.872
2018-05-16,79.8925
2018-05-17,79.9645
2018-05-18,80.1115
2018-05-21,80.128
2018-05-22,80.2105
2018-05-23,80.1055
2018-05-24,80.193
2018-05-25,79.1505
2018-05-28,78.528
2018-05-29,78.406
2018-05-30,78.388
2018-05-31,78.802
2018-06-01,78.314
2018-06-04,78.712
2018-06-05,78.3975
2018-06-06,78.731
2018-06-07,79.438
2018-06-08,79.342
2018-06-11,79.498
2018-06-12,79.5015
2018-06-13,79.534
2018-06-14,79.2925
2018-06-15,78.8705
2018-06-18,79.0145
2018-06-19,78.867
2018-06-20,78.86
2018-06-21,78.4145
2018-06-22,79.03
2018-06-25,79.645
2018-06-26,79.7095
2018-06-27,79.694
2018-06-28,79.683
2018-06-29,79.813
2018-07-02,80.0705
2018-07-03,79.931
2018-07-04,80.027
2018-07-05,80.73
2018-07-06,80.746
2018-07-09,80.9585
2018-07-10,80.617
2018-07-11,80.7045
2018-07-12,79.8805
2018-07-13,79.732
2018-07-16,80.3515
2018-07-17,80.1405
2018-07-18,79.684
2018-07-19,80.0155
2018-07-20,80.321
2018-07-23,80.673
2018-07-24,80.71
2018-07-25,80.364
2018-07-26,80.448
2018-07-27,79.8465
2018-07-30,80.1965
2018-07-31,80.4445
2018-08-01,79.9705
2018-08-02,79.7915
2018-08-03,79.512
2018-08-06,79.49
2018-08-07,79.685
2018-08-08,79.5295
2018-08-09,79.5825
2018-08-10,78.852
2018-08-13,79.8405
2018-08-14,79.7315
2018-08-15,79.1635
2018-08-16,79.807
2018-08-17,79.9195
2018-08-20,79.74
2018-08-21,80.3015
2018-08-22,81.19
2018-08-23,81.1815
2018-08-24,81.0115
2018-08-27,81.623
2018-08-28,82.0965
2018-08-29,82.3405
2018-08-30,82.715
2018-08-31,82.7245
2018-09-03,82.6735
2018-09-04,82.7665
2018-09-05,83.1035
2018-09-06,83.7175
2018-09-07,83.32
2018-09-10,83.8375
2018-09-11,84.0965
2018-09-12,83.6705
2018-09-13,83.7
2018-09-14,83.946
2018-09-17,84.6355
2018-09-18,85.361
2018-09-19,84.4515
2018-09-20,84.751
2018-09-21,84.8905
2018-09-24,85.5665
2018-09-25,85.6125
2018-09-26,85.219
2018-09-27,84.983
2018-09-28,83.916
2018-10-01,84.6215
2018-10-02,84.7
2018-10-03,84.717
2018-10-04,84.628
2018-10-05,84.8835
2018-10-08,85.008
2018-10-09,85.084
2018-10-10,85.3605
2018-10-11,85.7615
2018-10-12,85.1445
2018-10-15,85.4735
2018-10-16,85.12
2018-10-17,84.8915
2018-10-18,84.685
2018-10-19,84.123
2018-10-22,84.546
2018-10-23,84.4435
2018-10-24,83.3255
2018-10-25,83.6525
2018-10-26,83.34
2018-10-29,83.5595
2018-10-30,83.728
2018-10-31,83.7305
2018-11-01,83.68
2018-11-02,82.7085
2018-11-05,83.092
2018-11-06,83.3785
2018-11-07,83.28
2018-11-08,82.7195
2018-11-09,82.264
2018-11-12,82.1106
2018-11-13,81.839
2018-11-14,81.674
2018-11-15,81.37
2018-11-16,81.5735
2018-11-19,81.8825
2018-11-20,81.65
2018-11-21,81.352
2018-11-22,80.6045
2018-11-23,80.204
2018-11-26,80.5385
2018-11-27,80.162
2018-11-28,79.643
2018-11-29,79.537
2018-11-30,79.0815
2018-12-03,79.791
2018-12-04,80.472
2018-12-05,80.066
2018-12-06,80.495
2018-12-07,80.509
2018-12-10,82.7284
2018-12-11,81.8215
2018-12-12,81.69
2018-12-13,81.428
2018-12-14,81.225
2018-12-17,81.213
2018-12-18,80.253
2018-12-19,80.116
2018-12-20,79.949
2018-12-21,80.04
2018-12-24,80.019
2018-12-27,79.9445
2018-12-28,80.2255
2018-12-31,79.7298
2019-01-02,79.9855
2019-01-03,79.608
2019-01-04,79.4315
2019-01-07,79.6895
2019-01-08,80.245
2019-01-09,80.6365
2019-01-10,81.2005
2019-01-11,81.3475
2019-01-14,81.2195
2019-01-15,81.231
2019-01-16,81.0055
2019-01-17,80.9765
2019-01-18,81.0875
2019-01-21,80.9335
2019-01-22,81.046
2019-01-23,81.0535
2019-01-24,80.656
2019-01-25,80.634
2019-01-28,81.232
2019-01-29,81.306
2019-01-30,81.351
2019-01-31,81.686
2019-02-01,81.771
2019-02-04,82.1905
2019-02-05,81.8395
2019-02-06,81.5535
2019-02-07,81.0855
2019-02-08,80.8655
2019-02-11,80.448
2019-02-12,79.801
2019-02-13,80.066
2019-02-14,80.203
2019-02-15,80.361
2019-02-18,80.8835
2019-02-19,80.6985
2019-02-20,80.7035
2019-02-21,80.7435
2019-02-22,80.553
2019-02-25,80.5315
2019-02-26,80.853
2019-02-27,81.1585
2019-02-28,80.8915
2019-03-01,80.695
2019-03-04,80.363
2019-03-05,79.936
2019-03-06,79.432
2019-03-07,78.884
2019-03-08,78.733
2019-03-11,78.547
2019-03-12,78.5175
2019-03-13,78.662
2019-03-14,78.473
2019-03-15,78.074
2019-03-18,77.781
2019-03-19,78.351
2019-03-20,78.136
2019-03-21,78.0715
2019-03-22,77.958
2019-03-25,78.046
2019-03-26,77.7555
2019-03-27,77.86
2019-03-28,77.7765
2019-03-29,77.719
2019-04-01,77.8885
2019-04-02,77.0035
2019-04-03,76.9305
2019-04-04,77.593
2019-04-05,77.787
2019-04-08,78.3215
2019-04-09,78.188
2019-04-10,77.9945
2019-04-11,77.6855
2019-04-12,78.2915
2019-04-15,78.5405
2019-04-16,78.6445
2019-04-17,78.457
2019-04-18,78.068
2019-04-23,78.3125
2019-04-24,78.295
2019-04-25,78.179
2019-04-26,77.9495
2019-04-29,77.8635
2019-04-30,78.0615
2019-05-02,77.782
2019-05-03,77.259
2019-05-06,77.7325
2019-05-07,77.64
2019-05-08,78.0805
2019-05-09,78.3435
2019-05-10,78.6075
2019-05-13,79.342
2019-05-14,79.0375
2019-05-15,78.6785
2019-05-16,78.469
2019-05-17,78.433
2019-05-20,77.786
2019-05-21,77.783
2019-05-22,77.86
2019-05-23,77.915
2019-05-24,77.8
2019-05-27,77.8585
2019-05-28,77.9025
2019-05-29,77.8925
2019-05-30,77.8115
2019-05-31,77.741
2019-06-03,77.472
2019-06-04,77.874
2019-06-05,78.0475
2019-06-06,78.018
2019-06-07,78.332
2019-06-10,78.6445
2019-06-11,78.6155
2019-06-12,78.491
2019-06-13,78.4745
2019-06-14,78.608
2019-06-17,78.577
2019-06-18,78.0005
2019-06-19,78.0755
2019-06-20,78.5065
2019-06-21,78.6985
2019-06-24,79.0865
2019-06-25,78.9725
2019-06-26,78.5705
2019-06-27,78.5675
2019-06-28,78.524
2019-07-01,78.236
2019-07-02,77.928
2019-07-03,77.747
2019-07-04,77.3335
2019-07-05,77.1095
2019-07-08,76.8955
2019-07-09,76.781
2019-07-10,76.951
2019-07-11,77.1495
2019-07-12,77.242
2019-07-15,77.2205
2019-07-16,77.087
2019-07-17,77.2335
2019-07-18,77.2775
2019-07-19,77.2545
2019-07-22,77.3085
2019-07-23,77.015
2019-07-24,76.8285
2019-07-25,76.675
2019-07-26,76.74
2019-07-29,76.474
2019-07-30,76.7575
2019-07-31,76.6965
2019-08-01,76.272
2019-08-02,77.34
2019-08-05,79.1529
2019-08-06,79.215
2019-08-07,79.402
2019-08-08,79.175
2019-08-09,79.2935
2019-08-12,79.746
2019-08-13,80.1865
2019-08-14,79.7425
2019-08-15,79.5205
2019-08-16,78.804
2019-08-19,79.28
2019-08-20,79.441
2019-08-21,79.4655
2019-08-22,79.589
2019-08-23,79.304
2019-08-26,80.063
2019-08-27,79.4225
2019-08-28,79.5905
2019-08-29,79.3415
2019-08-30,78.8365
2019-09-02,78.892
2019-09-03,79.197
2019-09-04,79.389
2019-09-05,79.4125
2019-09-06,79.0805
2019-09-09,79.0815
2019-09-10,79.3815
2019-09-11,78.872
2019-09-12,77.998
2019-09-13,78.7415
2019-09-16,78.9825
2019-09-17,79.147
2019-09-18,78.707
2019-09-19,78.9335
2019-09-20,78.2925
2019-09-23,77.9405
2019-09-24,78.0635
2019-09-25,78.0215
2019-09-26,77.56
2019-09-27,77.0685
2019-09-30,77.1615
2019-10-01,77.492
2019-10-02,77.8275
2019-10-03,77.7155
2019-10-04,77.8415
2019-10-07,78.0435
2019-10-08,78.144
2019-10-09,78.034
2019-10-10,78.3555
2019-10-11,78.4875
2019-10-14,78.5245
2019-10-15,78.696
2019-10-16,78.768
2019-10-17,79.0785
2019-10-18,79.2735
2019-10-21,79.169
2019-10-22,78.9245
2019-10-23,78.8245
2019-10-24,79.022
2019-10-25,78.7515
2019-10-28,78.4355
2019-10-29,78.615
2019-10-30,78.7705
2019-10-31,79.1125
2019-11-01,78.816
2019-11-04,78.9205
2019-11-05,78.529
2019-11-06,78.6855
2019-11-07,78.549
2019-11-08,78.652
2019-11-11,78.9905
2019-11-12,78.969
2019-11-13,79.319
2019-11-14,79.1
2019-11-15,79.163
2019-11-18,79.426
2019-11-19,79.3975
2019-11-20,79.423
2019-11-21,79.5675
2019-11-22,79.271
2019-11-25,78.937
2019-11-26,78.8165
2019-11-27,78.5495
2019-11-28,78.8095
2019-11-29,78.6875
2019-12-02,78.9785
2019-12-03,79.43
2019-12-04,79.2615
2019-12-05,79.0195
2019-12-06,79.0435
2019-12-09,78.707
2019-12-10,78.561
2019-12-11,78.4115
2019-12-12,78.9355
2019-12-13,79.061
2019-12-16,79.1063
2019-12-17,79.2035
2019-12-18,78.895
2019-12-19,79.032
2019-12-20,79.0035
2019-12-23,78.9455
2019-12-24,78.9525
2019-12-27,79.637
2019-12-30,79.812
2019-12-31,80.187
2020-01-02,79.9065
2020-01-03,80.0085
2020-01-06,80.5175
2020-01-07,80.265
2020-01-08,79.709
2020-01-09,79.162
2020-01-10,78.6915
2020-01-13,78.8225
2020-01-14,78.7285
2020-01-15,78.8825
2020-01-16,79.221
2020-01-17,78.9567
2020-01-20,78.784
2020-01-21,79.1345
2020-01-22,78.8665
2020-01-23,79.0965
2020-01-24,78.67
2020-01-27,78.7425
2020-01-28,78.4545
2020-01-29,78.417
2020-01-30,79.011
2020-01-31,78.9055
2020-02-03,79.0035
2020-02-04,78.712
2020-02-05,78.433
2020-02-06,78.2845
2020-02-07,78.3625
2020-02-10,78.107
2020-02-11,77.6945
2020-02-12,77.8345
2020-02-13,77.4495
2020-02-14,77.466
2020-02-17,77.342
2020-02-18,77.39
2020-02-19,77.2345
2020-02-20,77.2745
2020-02-21,77.754
2020-02-24,77.8265
2020-02-25,77.724
2020-02-26,77.9195
2020-02-27,78.538
2020-02-28,79.285
2020-03-02,80.917
2020-03-03,81.429
2020-03-04,81.5025
2020-03-05,82.153
2020-03-06,83.586
2020-03-09,84.96
2020-03-10,84.11
2020-03-11,83.5215
2020-03-12,83.468
2020-03-13,81.8765
2020-03-16,82.8075
2020-03-17,81.567
2020-03-18,81.1355
2020-03-19,81.14
2020-03-20,80.465
2020-03-23,82.1255
2020-03-24,82.358
2020-03-25,82.699
2020-03-26,82.5345
2020-03-27,82.8695
2020-03-30,83.5
2020-03-31,82.8985
2020-04-01,83.6004
2020-04-02,83.326
2020-04-03,82.216
2020-04-06,82.106
2020-04-07,82.252
2020-04-08,82.873
2020-04-09,82.9275
2020-04-14,83.494
2020-04-15,83.414
2020-04-16,83.705
2020-04-17,83.0565
2020-04-20,83.1435
2020-04-21,83.376
2020-04-22,83.1685
2020-04-23,81.94
2020-04-24,82.366
2020-04-27,82.6195
2020-04-28,82.522
2020-04-29,82.0215
2020-04-30,81.6108
2020-05-04,82.787
2020-05-05,82.1435
2020-05-06,81.9815
2020-05-07,81.7685
2020-05-08,81.9615
2020-05-11,82.096
2020-05-12,81.593
