Date,Zweedse kroon
2021-04-16,10.1055
2021-04-19,10.0985
2021-04-20,10.1288
2021-04-21,10.1513
2021-04-22,10.1237
2021-04-23,10.1405
2021-04-26,10.1308
2021-04-27,10.1403
2021-04-28,10.111
2021-04-29,10.1123
2021-04-30,10.164
2021-05-03,10.1803
2021-05-04,10.1673
2021-05-05,10.1945
2021-05-06,10.194
2021-05-07,10.1263
2021-05-10,10.1235
2021-05-11,10.113
2021-05-12,10.106
2021-05-13,10.172
2021-05-14,10.1265
2021-05-17,10.1552
2021-05-18,10.1363
2021-05-19,10.1633
2021-05-20,10.1813
2021-05-21,10.122
2021-05-24,10.167
2021-05-25,10.1338
2021-05-26,10.1503
2021-05-27,10.1298
2021-05-28,10.125
2021-05-31,10.121
2021-06-01,10.0955
2021-06-02,10.0898
2021-06-03,10.1145
2021-06-04,10.105
2021-06-07,10.0552
2021-06-08,10.0755
2021-06-09,10.0595
2021-06-10,10.0715
2021-06-11,10.0643
2021-06-14,10.0944
2021-06-15,10.0858
2021-06-16,10.1283
2021-06-17,10.1905
2021-06-18,10.233
2021-06-21,10.2163
2021-06-22,10.157
2021-06-23,10.1288
2021-06-24,10.1133
2021-06-25,10.1103
2021-06-28,10.1268
2021-06-29,10.151
2021-06-30,10.111
2021-07-01,10.1738
2021-07-02,10.1583
2021-07-05,10.1435
2021-07-06,10.149
2021-07-07,10.1813
2021-07-08,10.1908
2021-07-09,10.1853
2021-07-12,10.2008
2021-07-13,10.1818
2021-07-14,10.205
2021-07-15,10.2335
2021-07-16,10.2428
2021-07-19,10.2533
2021-07-20,10.2535
2021-07-21,10.2448
2021-07-22,10.2245
2021-07-23,10.2105
2021-07-26,10.205
2021-07-27,10.165
2021-07-28,10.1963
2021-07-29,10.1675
2021-07-30,10.1868
2021-08-02,10.191
2021-08-03,10.2045
2021-08-04,10.197
2021-08-05,10.1983
2021-08-06,10.1683
2021-08-09,10.2175
2021-08-10,10.2145
2021-08-11,10.2305
2021-08-12,10.1883
2021-08-13,10.1993
2021-08-16,10.2008
2021-08-17,10.1948
2021-08-18,10.2233
2021-08-19,10.2798
2021-08-20,10.3263
2021-08-23,10.2573
2021-08-24,10.209
2021-08-25,10.2248
2021-08-26,10.2413
2021-08-27,10.2345
2021-08-30,10.1813
2021-08-31,10.1625
2021-09-01,10.1961
2021-09-02,10.1939
2021-09-03,10.1708
2021-09-06,10.1658
2021-09-07,10.1515
2021-09-08,10.174
2021-09-09,10.1863
2021-09-10,10.1843
2021-09-13,10.1853
2021-09-14,10.1453
2021-09-15,10.136
2021-09-16,10.1518
2021-09-17,10.1553
2021-09-20,10.2173
2021-09-21,10.1763
2021-09-22,10.1758
2021-09-23,10.1398
2021-09-24,10.138
2021-09-27,10.1738
2021-09-28,10.1933
2021-09-29,10.183
2021-09-30,10.1683
2021-10-01,10.1538
2021-10-04,10.1435
2021-10-05,10.131
2021-10-06,10.1628
2021-10-07,10.1453
2021-10-08,10.1138
2021-10-11,10.1163
2021-10-12,10.1078
2021-10-13,10.1195
2021-10-14,10.0138
2021-10-15,10.0288
2021-10-18,10.0375
2021-10-19,10.03
2021-10-20,10.015
2021-10-21,10.0145
2021-10-22,9.9748
2021-10-25,10.0
2021-10-26,9.9848
2021-10-27,9.9713
2021-10-28,9.969
2021-10-29,9.9368
2021-11-01,9.9135
2021-11-02,9.8973
2021-11-03,9.912
2021-11-04,9.906
2021-11-05,9.9033
2021-11-08,9.9588
2021-11-09,9.8995
2021-11-10,9.9645
2021-11-11,9.9648
2021-11-12,10.0085
2021-11-15,10.007
2021-11-16,10.0293
2021-11-17,10.0303
2021-11-18,10.0555
2021-11-19,10.096
2021-11-22,10.128
2021-11-23,10.133
2021-11-24,10.1905
2021-11-25,10.176
2021-11-26,10.26
2021-11-29,10.2903
2021-11-30,10.286
2021-12-01,10.226
2021-12-02,10.2658
2021-12-03,10.3185
2021-12-06,10.2688
2021-12-07,10.2573
2021-12-08,10.2513
