Date,Hongkongse dollar
2020-09-16,9.1985
2020-09-17,9.1428
2020-09-18,9.1707
2020-09-21,9.1349
2020-09-22,9.0986
2020-09-23,9.0614
2020-09-24,9.025
2020-09-25,9.0165
2020-09-28,9.0443
2020-09-29,9.0691
2020-09-30,9.0742
2020-10-01,9.1082
2020-10-02,9.091
2020-10-05,9.1203
2020-10-06,9.1412
2020-10-07,9.1219
2020-10-08,9.1181
2020-10-09,9.1412
2020-10-12,9.1443
2020-10-13,9.135
2020-10-14,9.1063
2020-10-15,9.066
2020-10-16,9.0993
2020-10-19,9.1334
2020-10-20,9.1528
2020-10-21,9.1854
2020-10-22,9.1614
2020-10-23,9.1885
2020-10-26,9.1598
2020-10-27,9.1699
2020-10-28,9.0885
2020-10-29,9.0735
2020-10-30,9.0706
2020-11-02,9.0327
2020-11-03,9.0694
2020-11-04,9.0872
2020-11-05,9.1922
2020-11-06,9.203
2020-11-09,9.2128
2020-11-10,9.1568
2020-11-11,9.1241
2020-11-12,9.1429
2020-11-13,9.1608
2020-11-16,9.1725
2020-11-17,9.2119
2020-11-18,9.2005
2020-11-19,9.1737
2020-11-20,9.1972
2020-11-23,9.2257
2020-11-24,9.197
2020-11-25,9.2161
2020-11-26,9.2235
2020-11-27,9.2404
2020-11-30,9.2862
2020-12-01,9.2774
2020-12-02,9.3535
2020-12-03,9.4188
2020-12-04,9.424
2020-12-07,9.3999
2020-12-08,9.3895
2020-12-09,9.3866
2020-12-10,9.3908
2020-12-11,9.3999
2020-12-14,9.4274
2020-12-15,9.411
2020-12-16,9.4489
2020-12-17,9.4939
2020-12-18,9.5039
2020-12-21,9.4378
2020-12-22,9.4885
2020-12-23,9.4321
2020-12-24,9.4532
2020-12-28,9.4731
2020-12-29,9.5043
2020-12-30,9.521
2020-12-31,9.5142
2021-01-04,9.533
2021-01-05,9.5136
2021-01-06,9.5659
2021-01-07,9.5176
2021-01-08,9.4982
2021-01-11,9.433
2021-01-12,9.4314
2021-01-13,9.4336
2021-01-14,9.4005
2021-01-15,9.4005
2021-01-18,9.3538
2021-01-19,9.4052
2021-01-20,9.3804
2021-01-21,9.4245
2021-01-22,9.4255
2021-01-25,9.4199
2021-01-26,9.4132
2021-01-27,9.3911
2021-01-28,9.3742
2021-01-29,9.4093
2021-02-01,9.3687
2021-02-02,9.3361
2021-02-03,9.315
2021-02-04,9.3003
2021-02-05,9.29
2021-02-08,9.3219
2021-02-09,9.3827
2021-02-10,9.4014
2021-02-11,9.4171
2021-02-12,9.3868
2021-02-15,9.4033
2021-02-16,9.4139
2021-02-17,9.3493
2021-02-18,9.3684
2021-02-19,9.4121
2021-02-22,9.407
2021-02-23,9.4153
2021-02-24,9.4189
2021-02-25,9.4793
2021-02-26,9.401
2021-03-01,9.3498
2021-03-02,9.3297
2021-03-03,9.3452
2021-03-04,9.3363
2021-03-05,9.2695
2021-03-08,9.2183
2021-03-09,9.2325
2021-03-10,9.2307
2021-03-11,9.287
2021-03-12,9.2642
2021-03-15,9.2553
2021-03-16,9.2626
2021-03-17,9.2476
2021-03-18,9.2493
2021-03-19,9.2352
2021-03-22,9.2614
2021-03-23,9.229
2021-03-24,9.1863
2021-03-25,9.17
2021-03-26,9.154
2021-03-29,9.1618
2021-03-30,9.1283
2021-03-31,9.1153
2021-04-01,9.1346
2021-04-06,9.186
2021-04-07,9.2527
2021-04-08,9.2356
2021-04-09,9.247
2021-04-12,9.2564
2021-04-13,9.2477
2021-04-14,9.2915
2021-04-15,9.2984
2021-04-16,9.3152
2021-04-19,9.3475
2021-04-20,9.355
2021-04-21,9.3209
2021-04-22,9.3474
2021-04-23,9.3653
2021-04-26,9.3777
2021-04-27,9.3825
2021-04-28,9.3696
2021-04-29,9.4156
2021-04-30,9.3816
2021-05-03,9.3554
2021-05-04,9.3374
2021-05-05,9.3267
2021-05-06,9.3685
2021-05-07,9.3661
2021-05-10,9.4504
2021-05-11,9.4527
2021-05-12,9.4115
2021-05-13,9.3841
2021-05-14,9.4151
2021-05-17,9.4318
2021-05-18,9.4912
2021-05-19,9.4819
2021-05-20,9.4726
2021-05-21,9.4639
2021-05-24,9.4833
2021-05-25,9.5197
2021-05-26,9.4922
2021-05-27,9.468
2021-05-28,9.4246
2021-05-31,9.469
2021-06-01,9.4853
2021-06-02,9.4555
2021-06-03,9.4551
2021-06-04,9.4
2021-06-07,9.4355
2021-06-08,9.4526
2021-06-09,9.4615
2021-06-10,9.4467
2021-06-11,9.4089
2021-06-14,9.4008
2021-06-15,9.3991
2021-06-16,9.4107
2021-06-17,9.2694
2021-06-18,9.2379
2021-06-21,9.2326
2021-06-22,9.2365
2021-06-23,9.2807
2021-06-24,9.2675
2021-06-25,9.2751
2021-06-28,9.2459
2021-06-29,9.2297
2021-06-30,9.2293
2021-07-01,9.2273
2021-07-02,9.1838
2021-07-05,9.2182
2021-07-06,9.1942
2021-07-07,9.19
2021-07-08,9.1967
2021-07-09,9.2117
2021-07-12,9.2052
2021-07-13,9.197
2021-07-14,9.1742
2021-07-15,9.1726
2021-07-16,9.1684
2021-07-19,9.1419
2021-07-20,9.1529
2021-07-21,9.1518
2021-07-22,9.1506
2021-07-23,9.142
2021-07-26,9.1656
