Date,Zuid-Koreaanse won
2017-12-05,1286.86
2017-12-06,1291.5
2017-12-07,1287.95
2017-12-08,1285.33
2017-12-11,1285.61
2017-12-12,1281.27
2017-12-13,1280.07
2017-12-14,1288.74
2017-12-15,1284.73
2017-12-18,1282.23
2017-12-19,1281.28
2017-12-20,1281.59
2017-12-21,1281.82
2017-12-22,1276.34
2017-12-27,1277.73
2017-12-28,1276.37
2017-12-29,1279.61
2018-01-02,1281.59
2018-01-03,1281.39
2018-01-04,1283.14
2018-01-05,1281.2
2018-01-08,1277.87
2018-01-09,1274.81
2018-01-10,1280.95
2018-01-11,1282.33
2018-01-12,1289.54
2018-01-15,1305.74
2018-01-16,1302.4
2018-01-17,1303.65
2018-01-18,1306.61
2018-01-19,1306.92
2018-01-22,1309.98
2018-01-23,1317.85
2018-01-24,1315.33
2018-01-25,1314.41
2018-01-26,1323.68
2018-01-29,1324.74
2018-01-30,1329.25
2018-01-31,1327.03
2018-02-01,1334.46
2018-02-02,1355.17
2018-02-05,1352.64
2018-02-06,1339.89
2018-02-07,1335.72
2018-02-08,1335.37
2018-02-09,1336.19
2018-02-12,1328.3
2018-02-13,1338.24
2018-02-14,1331.19
2018-02-15,1330.75
2018-02-16,1327.26
2018-02-19,1323.97
2018-02-20,1323.7
2018-02-21,1322.02
2018-02-22,1331.26
2018-02-23,1324.37
2018-02-26,1320.16
2018-02-27,1318.51
2018-02-28,1320.25
2018-03-01,1323.49
2018-03-02,1334.84
2018-03-05,1328.69
2018-03-06,1316.92
2018-03-07,1327.71
2018-03-08,1331.33
2018-03-09,1315.51
2018-03-12,1312.16
2018-03-13,1316.84
2018-03-14,1313.97
2018-03-15,1314.61
2018-03-16,1313.43
2018-03-19,1321.16
2018-03-20,1314.93
2018-03-21,1317.22
2018-03-22,1330.52
2018-03-23,1330.3
2018-03-26,1336.99
2018-03-27,1328.86
2018-03-28,1321.47
2018-03-29,1310.89
2018-04-03,1297.87
2018-04-04,1306.45
2018-04-05,1299.41
2018-04-06,1310.95
2018-04-09,1316.69
2018-04-10,1319.5
2018-04-11,1324.61
2018-04-12,1319.86
2018-04-13,1316.26
2018-04-16,1328.33
2018-04-17,1320.61
2018-04-18,1319.56
2018-04-19,1314.38
2018-04-20,1316.26
2018-04-23,1318.33
2018-04-24,1314.66
2018-04-25,1320.61
2018-04-26,1310.55
2018-04-27,1291.82
2018-04-30,1292.04
2018-05-02,1291.54
2018-05-03,1288.96
2018-05-04,1288.32
2018-05-07,1288.09
2018-05-08,1278.9
2018-05-09,1279.55
2018-05-10,1270.74
2018-05-11,1273.07
2018-05-14,1280.74
2018-05-15,1279.12
2018-05-16,1274.5
2018-05-17,1275.6
2018-05-18,1273.37
2018-05-21,1274.86
2018-05-22,1267.93
2018-05-23,1266.75
2018-05-24,1264.77
2018-05-25,1259.55
2018-05-28,1250.83
2018-05-29,1248.51
2018-05-30,1255.41
2018-05-31,1261.25
2018-06-01,1254.17
2018-06-04,1254.88
2018-06-05,1250.33
2018-06-06,1255.45
2018-06-07,1266.42
2018-06-08,1263.46
2018-06-11,1268.16
2018-06-12,1272.14
2018-06-13,1275.88
2018-06-14,1269.54
2018-06-15,1272.93
2018-06-18,1282.56
2018-06-19,1287.91
2018-06-20,1281.98
2018-06-21,1280.79
2018-06-22,1293.76
2018-06-25,1303.95
2018-06-26,1306.32
2018-06-27,1298.88
2018-06-28,1300.27
2018-06-29,1296.72
2018-07-02,1303.87
2018-07-03,1298.07
2018-07-04,1301.2
2018-07-05,1309.08
2018-07-06,1310.92
2018-07-09,1309.88
2018-07-10,1308.63
2018-07-11,1318.67
2018-07-12,1312.52
2018-07-13,1319.7
2018-07-16,1320.93
2018-07-17,1319.73
2018-07-18,1316.94
2018-07-19,1320.68
2018-07-20,1322.71
2018-07-23,1328.95
2018-07-24,1320.85
2018-07-25,1312.47
2018-07-26,1311.82
2018-07-27,1300.18
2018-07-30,1305.99
2018-07-31,1312.79
2018-08-01,1307.4
2018-08-02,1312.72
2018-08-03,1303.12
2018-08-06,1299.27
2018-08-07,1299.37
2018-08-08,1298.58
2018-08-09,1298.03
2018-08-10,1293.54
2018-08-13,1294.47
2018-08-14,1286.6
2018-08-15,1285.49
2018-08-16,1284.56
2018-08-17,1282.38
2018-08-20,1281.69
2018-08-21,1287.79
2018-08-22,1298.95
2018-08-23,1299.75
2018-08-24,1292.41
2018-08-27,1294.41
2018-08-28,1294.67
2018-08-29,1299.27
2018-08-30,1297.53
2018-08-31,1301.91
2018-09-03,1291.04
2018-09-04,1292.13
2018-09-05,1299.75
2018-09-06,1304.76
2018-09-07,1304.07
2018-09-10,1306.49
2018-09-11,1306.14
2018-09-12,1307.37
2018-09-13,1302.88
2018-09-14,1307.93
2018-09-17,1312.95
2018-09-18,1315.11
2018-09-19,1308.76
2018-09-20,1316.62
2018-09-21,1312.42
2018-09-24,1315.12
2018-09-25,1316.95
2018-09-26,1309.19
2018-09-27,1301.82
2018-09-28,1285.75
2018-10-01,1290.16
2018-10-02,1290.52
2018-10-03,1293.3
2018-10-04,1298.27
2018-10-05,1298.24
2018-10-08,1304.77
2018-10-09,1301.02
2018-10-10,1307.75
2018-10-11,1320.7
2018-10-12,1309.22
2018-10-15,1307.61
2018-10-16,1301.92
2018-10-17,1299.48
2018-10-18,1306.55
2018-10-19,1296.11
2018-10-22,1300.75
2018-10-23,1305.81
2018-10-24,1291.15
2018-10-25,1296.4
2018-10-26,1298.16
2018-10-29,1297.35
2018-10-30,1295.91
2018-10-31,1291.1
2018-11-01,1285.7
2018-11-02,1276.25
2018-11-05,1278.67
2018-11-06,1280.9
2018-11-07,1286.25
2018-11-08,1275.88
2018-11-09,1278.77
2018-11-12,1280.12
2018-11-13,1277.21
2018-11-14,1278.88
2018-11-15,1277.99
2018-11-16,1283.8
2018-11-19,1287.63
2018-11-20,1287.96
2018-11-21,1287.06
2018-11-22,1287.51
2018-11-23,1285.15
2018-11-26,1281.86
2018-11-27,1279.17
2018-11-28,1273.13
2018-11-29,1275.57
2018-11-30,1274.04
2018-12-03,1260.44
2018-12-04,1261.04
2018-12-05,1264.39
2018-12-06,1273.03
2018-12-07,1278.67
2018-12-10,1287.42
2018-12-11,1284.17
2018-12-12,1280.62
2018-12-13,1278.56
2018-12-14,1280.17
2018-12-17,1282.21
2018-12-18,1284.35
2018-12-19,1284.2
2018-12-20,1284.69
2018-12-21,1282.71
2018-12-24,1283.61
2018-12-27,1276.84
2018-12-28,1279.35
2018-12-31,1277.93
2019-01-02,1278.52
2019-01-03,1279.17
2019-01-04,1279.13
2019-01-07,1281.15
2019-01-08,1288.62
2019-01-09,1284.16
2019-01-10,1289.04
2019-01-11,1289.16
2019-01-14,1287.82
2019-01-15,1283.26
2019-01-16,1278.36
2019-01-17,1280.68
2019-01-18,1278.73
2019-01-21,1285.38
2019-01-22,1284.77
2019-01-23,1282.0
2019-01-24,1281.18
2019-01-25,1270.87
2019-01-28,1277.22
2019-01-29,1277.32
2019-01-30,1277.98
2019-01-31,1277.58
2019-02-01,1281.33
2019-02-04,1282.53
2019-02-05,1276.75
2019-02-06,1277.09
2019-02-07,1276.31
2019-02-08,1273.96
2019-02-11,1272.6
2019-02-12,1269.23
2019-02-13,1270.0
2019-02-14,1270.39
2019-02-15,1269.32
2019-02-18,1275.31
2019-02-19,1273.5
2019-02-20,1273.47
2019-02-21,1277.61
2019-02-22,1273.2
2019-02-25,1269.19
2019-02-26,1270.0
2019-02-27,1273.47
2019-02-28,1281.07
2019-03-01,1282.12
2019-03-04,1276.68
2019-03-05,1276.61
2019-03-06,1275.05
2019-03-07,1273.15
2019-03-08,1275.6
2019-03-11,1275.28
2019-03-12,1273.88
2019-03-13,1279.12
2019-03-14,1283.62
2019-03-15,1284.65
2019-03-18,1284.66
2019-03-19,1283.15
2019-03-20,1281.96
2019-03-21,1285.36
2019-03-22,1282.81
2019-03-25,1283.07
2019-03-26,1280.91
2019-03-27,1281.0
2019-03-28,1277.91
2019-03-29,1276.46
2019-04-01,1275.24
2019-04-02,1272.75
2019-04-03,1275.35
2019-04-04,1276.07
2019-04-05,1277.64
2019-04-08,1288.11
2019-04-09,1284.96
2019-04-10,1283.09
2019-04-11,1285.17
2019-04-12,1283.0
2019-04-15,1281.37
2019-04-16,1283.17
2019-04-17,1280.65
2019-04-18,1278.95
2019-04-23,1284.26
2019-04-24,1290.23
2019-04-25,1293.77
2019-04-26,1292.46
2019-04-29,1294.0
2019-04-30,1308.01
2019-05-02,1304.15
2019-05-03,1305.08
2019-05-06,1311.18
2019-05-07,1309.83
2019-05-08,1313.49
2019-05-09,1324.18
2019-05-10,1325.32
2019-05-13,1335.85
2019-05-14,1333.2
2019-05-15,1331.31
2019-05-16,1332.17
2019-05-17,1334.38
2019-05-20,1333.12
2019-05-21,1331.88
2019-05-22,1329.3
2019-05-23,1327.41
2019-05-24,1328.29
2019-05-27,1326.85
2019-05-28,1329.89
2019-05-29,1333.3
2019-05-30,1325.97
2019-05-31,1328.31
2019-06-03,1323.45
2019-06-04,1330.9
2019-06-05,1324.33
2019-06-06,1328.9
2019-06-07,1336.22
2019-06-10,1339.72
2019-06-11,1337.48
2019-06-12,1337.81
2019-06-13,1335.74
2019-06-14,1333.6
2019-06-17,1333.25
2019-06-18,1325.56
2019-06-19,1318.62
2019-06-20,1312.25
2019-06-21,1314.41
2019-06-24,1317.77
2019-06-25,1314.27
2019-06-26,1312.86
2019-06-27,1313.12
2019-06-28,1315.35
2019-07-01,1318.27
2019-07-02,1318.3
2019-07-03,1321.04
2019-07-04,1319.51
2019-07-05,1318.43
2019-07-08,1322.07
2019-07-09,1325.05
2019-07-10,1325.21
2019-07-11,1324.03
2019-07-12,1326.69
2019-07-15,1329.0
2019-07-16,1322.95
2019-07-17,1324.68
2019-07-18,1321.3
2019-07-19,1319.12
2019-07-22,1320.34
2019-07-23,1317.02
2019-07-24,1311.47
2019-07-25,1312.16
2019-07-26,1317.79
2019-07-29,1316.82
2019-07-30,1317.25
2019-07-31,1318.25
2019-08-01,1313.68
2019-08-02,1333.44
2019-08-05,1359.84
2019-08-06,1357.32
2019-08-07,1361.74
2019-08-08,1353.16
2019-08-09,1356.25
2019-08-12,1364.55
2019-08-13,1373.2
2019-08-14,1358.5
2019-08-15,1353.11
2019-08-16,1338.6
2019-08-19,1343.14
