Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Boutersem ,24016,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 Brakel ,45059,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.68,0.32
 Brakel ,45059,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.75,0.25
 Brakel ,45059,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.44,0.56
 Brakel ,45059,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Brasschaat ,11008,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.24,0.76
 Brasschaat ,11008,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.37,0.63
 Brasschaat ,11008,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.6,0.4
 Brasschaat ,11008,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 Brecht ,11009,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.46,0.54
 Brecht ,11009,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.56,0.44
 Brecht ,11009,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.57,0.43
 Brecht ,11009,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.88,0.12
 Bredene ,35002,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.61,0.39
 Bredene ,35002,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.61,0.39
 Bredene ,35002,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.54,0.46
 Bredene ,35002,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.83,0.17
 Bree ,72004,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.43,0.57
 Bree ,72004,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.59,0.41
 Bree ,72004,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.48,0.52
 Bree ,72004,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Brugge ,31005,ja,Duurzaamheid van de woning,Energierecupererend,2011,0.36,0.64
 Brugge ,31005,ja,Duurzaamheid van de woning,Energierecupererend,2014,0.4,0.6
 Brugge ,31005,ja,Duurzaamheid van de woning,Energierecupererend,2017,0.45,0.55
 Brugge ,31005,ja,Duurzaamheid van de woning,Energierecupererend,2020,0.55,0.45
 Brugge ,31005,ja,Duurzaamheid van de woning,Energiezuinig,2011,0.42,0.58
 Brugge ,31005,ja,Duurzaamheid van de woning,Energiezuinig,2014,0.51,0.49
 Brugge ,31005,ja,Duurzaamheid van de woning,Energiezuinig,2017,0.59,0.41
 Brugge ,31005,ja,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Buggenhout ,42004,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.45,0.55
 Buggenhout ,42004,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.58,0.42
 Buggenhout ,42004,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.51,0.49
 Buggenhout ,42004,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 Damme ,31006,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.71,0.29
 Damme ,31006,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.8,0.2
 Damme ,31006,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.51,0.49
 Damme ,31006,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.82,0.18
 De Haan ,35029,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.42,0.58
 De Haan ,35029,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.5,0.5
 De Haan ,35029,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.41,0.59
 De Haan ,35029,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.79,0.21
 De Panne ,38008,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.38,0.62
 De Panne ,38008,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.49,0.51
 De Panne ,38008,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.47,0.53
 De Panne ,38008,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.65,0.35
 De Pinte ,44012,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.59,0.41
 De Pinte ,44012,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.72,0.28
 De Pinte ,44012,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.6,0.4
 De Pinte ,44012,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.82,0.18
 Deerlijk ,34009,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.72,0.28
 Deerlijk ,34009,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.8,0.2
 Deerlijk ,34009,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.51,0.49
 Deerlijk ,34009,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Deinze ,44011,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.58,0.42
 Deinze ,44083,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.69,0.31
 Deinze ,44011,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.45,0.55
 Deinze ,44083,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.77,0.23
 Denderleeuw ,41011,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.5,0.5
 Denderleeuw ,41011,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.52,0.48
 Denderleeuw ,41011,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.49,0.51
 Denderleeuw ,41011,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.77,0.23
 Dendermonde ,42006,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.38,0.62
 Dendermonde ,42006,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.45,0.55
 Dendermonde ,42006,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.51,0.49
 Dendermonde ,42006,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Dentergem ,37002,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.73,0.27
 Dentergem ,37002,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.77,0.23
 Dentergem ,37002,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.4,0.6
 Dentergem ,37002,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.71,0.29
 Dessel ,13006,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.55,0.45
 Dessel ,13006,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.64,0.36
 Dessel ,13006,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.5,0.5
 Dessel ,13006,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.85,0.15
 Destelbergen ,44013,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.47,0.53
 Destelbergen ,44013,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.61,0.39
 Destelbergen ,44013,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.53,0.47
 Destelbergen ,44013,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Diepenbeek ,71011,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.49,0.51
 Diepenbeek ,71011,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.61,0.39
 Diepenbeek ,71011,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.5,0.5
 Diepenbeek ,71011,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
 Diest ,24020,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.38,0.62
 Diest ,24020,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.46,0.54
 Diest ,24020,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.48,0.52
 Diest ,24020,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.8,0.2
 Diksmuide ,32003,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.69,0.31
 Diksmuide ,32003,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.79,0.21
 Diksmuide ,32003,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.54,0.46
 Diksmuide ,32003,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
 Dilbeek ,23016,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.47,0.53
 Dilbeek ,23016,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.49,0.51
 Dilbeek ,23016,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.46,0.54
 Dilbeek ,23016,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Dilsen-Stokkem ,72041,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.41,0.59
 Dilsen-Stokkem ,72041,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.54,0.46
 Dilsen-Stokkem ,72041,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.5,0.5
 Dilsen-Stokkem ,72041,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.75,0.25
 Drogenbos ,23098,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.31,0.69
 Drogenbos ,23098,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.38,0.62
 Drogenbos ,23098,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.27,0.73
 Drogenbos ,23098,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.58,0.42
 Duffel ,12009,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.36,0.64
 Duffel ,12009,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.45,0.55
 Duffel ,12009,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.6,0.4
 Duffel ,12009,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.78,0.22
 Edegem ,11013,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.2,0.8
 Edegem ,11013,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.34,0.66
 Edegem ,11013,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.57,0.43
 Edegem ,11013,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
