Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,minder of gelijk aan 30% (%),meer dan 30% (%)
 Harelbeke ,34013,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Harelbeke ,34013,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.44,0.56
 Harelbeke ,34013,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Hasselt ,71022,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.8,0.2
 Hasselt ,71022,ja,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Hasselt ,71022,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Hasselt ,71022,ja,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Hasselt ,71022,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.44,0.56
 Hasselt ,71022,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.54,0.46
 Hechtel-Eksel ,72038,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Hechtel-Eksel ,72038,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.84,0.16
 Hechtel-Eksel ,72038,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.86,0.14
 Hechtel-Eksel ,72038,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Hechtel-Eksel ,72038,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.6,0.4
 Hechtel-Eksel ,72038,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Heers ,73022,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Heers ,73022,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Heers ,73022,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Heers ,73022,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Heers ,73022,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.72,0.28
 Heers ,73022,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Heist-Op-Den-Berg ,12014,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Heist-Op-Den-Berg ,12014,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.84,0.16
 Heist-Op-Den-Berg ,12014,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Heist-Op-Den-Berg ,12014,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Heist-Op-Den-Berg ,12014,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.57,0.43
 Heist-Op-Den-Berg ,12014,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.77,0.23
 Hemiksem ,11018,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.79,0.21
 Hemiksem ,11018,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.79,0.21
 Hemiksem ,11018,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.83,0.17
 Hemiksem ,11018,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Hemiksem ,11018,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.56,0.44
 Hemiksem ,11018,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.44,0.56
 Herent ,24038,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.89,0.11
 Herent ,24038,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.79,0.21
 Herent ,24038,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Herent ,24038,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Herent ,24038,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.68,0.32
 Herent ,24038,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.37,0.63
 Herentals ,13011,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Herentals ,13011,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Herentals ,13011,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.92,0.08
 Herentals ,13011,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Herentals ,13011,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.56,0.44
 Herentals ,13011,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.54,0.46
 Herenthout ,13012,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Herenthout ,13012,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Herenthout ,13012,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Herenthout ,13012,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Herenthout ,13012,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.59,0.41
 Herenthout ,13012,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.63,0.37
 Herk-De-Stad ,71024,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Herk-De-Stad ,71024,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.87,0.13
 Herk-De-Stad ,71024,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Herk-De-Stad ,71024,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Herk-De-Stad ,71024,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.68,0.32
 Herk-De-Stad ,71024,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Herne ,23032,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Herne ,23032,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Herne ,23032,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Herne ,23032,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Herne ,23032,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.6,0.4
 Herne ,23032,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.6,0.4
 Herselt ,13013,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Herselt ,13013,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.9,0.1
 Herselt ,13013,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Herselt ,13013,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.94,0.06
 Herselt ,13013,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Herselt ,13013,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.52,0.48
 Herzele ,41027,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Herzele ,41027,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.84,0.16
 Herzele ,41027,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Herzele ,41027,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Herzele ,41027,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.56,0.44
 Herzele ,41027,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.43,0.57
 Heusden-Zolder ,71070,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Heusden-Zolder ,71070,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.79,0.21
 Heusden-Zolder ,71070,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.83,0.17
 Heusden-Zolder ,71070,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.83,0.17
 Heusden-Zolder ,71070,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.71,0.29
 Heusden-Zolder ,71070,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Heuvelland ,33039,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Heuvelland ,33039,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.87,0.13
 Heuvelland ,33039,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Heuvelland ,33039,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Heuvelland ,33039,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.66,0.34
 Heuvelland ,33039,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.81,0.19
 Hoegaarden ,24041,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.79,0.21
 Hoegaarden ,24041,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Hoegaarden ,24041,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.81,0.19
 Hoegaarden ,24041,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Hoegaarden ,24041,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.63,0.37
 Hoegaarden ,24041,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.43,0.57
 Hoeilaart ,23033,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Hoeilaart ,23033,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Hoeilaart ,23033,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Hoeilaart ,23033,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.93,0.07
 Hoeilaart ,23033,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.42,0.58
 Hoeilaart ,23033,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.42,0.58
 Hoeselt ,73032,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Hoeselt ,73032,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.88,0.12
 Hoeselt ,73032,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Hoeselt ,73032,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Hoeselt ,73032,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Hoeselt ,73032,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.65,0.35
 Holsbeek ,24043,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Holsbeek ,24043,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.88,0.12
 Holsbeek ,24043,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Holsbeek ,24043,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Holsbeek ,24043,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.66,0.34
 Holsbeek ,24043,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.7,0.3
 Hooglede ,36006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Hooglede ,36006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Hooglede ,36006,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Hooglede ,36006,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Hooglede ,36006,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.69,0.31
 Hooglede ,36006,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.69,0.31
 Hoogstraten ,13014,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Hoogstraten ,13014,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.83,0.17
 Hoogstraten ,13014,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Hoogstraten ,13014,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Hoogstraten ,13014,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.51,0.49
 Hoogstraten ,13014,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.48,0.52
 Horebeke ,45062,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.87,0.13
 Horebeke ,45062,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Horebeke ,45062,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Horebeke ,45062,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.81,0.19
