Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 Berlaar ,12002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.13,0.74
 Berlaar ,12002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.12,0.72
 Berlare ,42003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.14,0.67
 Berlare ,42003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.13,0.58
 Berlare ,42003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.08,0.79
 Berlare ,42003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.08,0.75
 Bertem ,24009,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.13,0.65
 Bertem ,24009,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.11,0.64
 Bertem ,24009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.18,0.1,0.72
 Bertem ,24009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.09,0.74
 Bever ,23009,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.19,0.2,0.61
 Bever ,23009,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.18,0.59
 Bever ,23009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.16,0.69
 Bever ,23009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.16,0.68
 Beveren ,46003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.28,0.14,0.58
 Beveren ,46003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.3,0.14,0.57
 Beveren ,46003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.06,0.84
 Beveren ,46003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.08,0.79
 Bierbeek ,24011,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.16,0.14,0.7
 Bierbeek ,24011,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.14,0.63
 Bierbeek ,24011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.14,0.74
 Bierbeek ,24011,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.19,0.13,0.68
 Bilzen ,73006,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.26,0.11,0.63
 Bilzen ,73006,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.16,0.57
 Bilzen ,73006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.05,0.85
 Bilzen ,73006,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.1,0.76
 Blankenberge ,31004,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.41,0.15,0.44
 Blankenberge ,31004,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.38,0.21,0.41
 Blankenberge ,31004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.22,0.11,0.67
 Blankenberge ,31004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.22,0.14,0.64
 Bocholt ,72003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.14,0.65
 Bocholt ,72003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.18,0.12,0.7
 Bocholt ,72003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.07,0.83
 Bocholt ,72003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.1,0.08,0.81
 Boechout ,11004,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.17,0.58
 Boechout ,11004,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.29,0.12,0.59
 Boechout ,11004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.17,0.15,0.68
 Boechout ,11004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.22,0.08,0.7
 Bonheiden ,12005,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.14,0.64
 Bonheiden ,12005,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.27,0.13,0.61
 Bonheiden ,12005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.12,0.75
 Bonheiden ,12005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.18,0.09,0.73
 Boom ,11005,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.27,0.19,0.54
 Boom ,11005,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.39,0.15,0.45
 Boom ,11005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.18,0.12,0.7
 Boom ,11005,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.25,0.13,0.63
 Boortmeerbeek ,24014,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.2,0.15,0.65
 Boortmeerbeek ,24014,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.23,0.11,0.65
