Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Edegem,11013,Nee,Personen met (equivalent) leefloon,2017,114,21835,0.00522098
Edegem,11013,Nee,Personen met (equivalent) leefloon,2018,145,21947,0.00660683
Edegem,11013,Nee,Personen met (equivalent) leefloon,2019,154,22063,0.00698001
Edegem,11013,Nee,Personen met (equivalent) leefloon,2020,140,22261,0.00628903
Edegem,11013,Nee,Personen met (equivalent) leefloon,2021,149,22244,0.00669844
Edegem,11013,Nee,Personen met (equivalent) leefloon,2022,110,22386,0.00491379
Essen,11016,Nee,Personen met (equivalent) leefloon,2003,127,16697,0.00760616
Essen,11016,Nee,Personen met (equivalent) leefloon,2004,134,16791,0.00798047
Essen,11016,Nee,Personen met (equivalent) leefloon,2005,120,16872,0.00711238
Essen,11016,Nee,Personen met (equivalent) leefloon,2006,140,17001,0.00823481
Essen,11016,Nee,Personen met (equivalent) leefloon,2007,124,17143,0.00723327
Essen,11016,Nee,Personen met (equivalent) leefloon,2008,90,17417,0.00516737
Essen,11016,Nee,Personen met (equivalent) leefloon,2009,96,17636,0.00544341
Essen,11016,Nee,Personen met (equivalent) leefloon,2010,87,17797,0.00488846
Essen,11016,Nee,Personen met (equivalent) leefloon,2011,84,17919,0.00468776
Essen,11016,Nee,Personen met (equivalent) leefloon,2012,79,18075,0.00437068
Essen,11016,Nee,Personen met (equivalent) leefloon,2013,74,18066,0.00409609
Essen,11016,Nee,Personen met (equivalent) leefloon,2014,63,18256,0.00345092
Essen,11016,Nee,Personen met (equivalent) leefloon,2015,67,18427,0.00363597
Essen,11016,Nee,Personen met (equivalent) leefloon,2016,76,18615,0.00408273
Essen,11016,Nee,Personen met (equivalent) leefloon,2017,66,18792,0.00351213
Essen,11016,Nee,Personen met (equivalent) leefloon,2018,81,19079,0.00424551
Essen,11016,Nee,Personen met (equivalent) leefloon,2019,80,19038,0.00420212
Essen,11016,Nee,Personen met (equivalent) leefloon,2020,76,19162,0.00396618
Essen,11016,Nee,Personen met (equivalent) leefloon,2021,77,19196,0.00401125
Essen,11016,Nee,Personen met (equivalent) leefloon,2022,63,19341,0.00325733
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2003,44,9319,0.00472154
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2004,39,9436,0.00413311
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2005,40,9550,0.00418848
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2006,37,9663,0.00382904
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2007,39,9755,0.00399795
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2008,45,9866,0.00456112
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2009,36,10047,0.00358316
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2010,43,10166,0.00422979
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2011,50,10318,0.0048459
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2012,38,10605,0.00358322
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2013,33,10765,0.00306549
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2014,33,10866,0.003037
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2015,25,11040,0.00226449
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2016,22,11148,0.00197345
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2017,25,11233,0.00222559
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2018,25,11368,0.00219916
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2019,39,11559,0.00337399
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2020,31,11634,0.0026646
