Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers),Procent
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,238,4063,0.0585774
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,257,4049,0.0634725
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,247,4059,0.0608524
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,262,4047,0.0647393
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,68,1825,0.0372603
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,53,1788,0.0296421
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,79,1849,0.0427258
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,52,1813,0.0286817
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,71,1801,0.0394225
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,79,1791,0.0441094
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,100,1763,0.0567215
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,84,1759,0.0477544
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,87,1754,0.0496009
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,84,1726,0.0486674
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,73,1699,0.0429665
Lint,11025,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,72,1687,0.0426793
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,355,4892,0.0725675
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,383,4919,0.0778614
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,449,4944,0.0908172
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,477,5073,0.0940272
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,530,5080,0.104331
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,576,5092,0.113119
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,570,5058,0.112693
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,541,5134,0.105376
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,523,5084,0.102872
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,503,5146,0.0977458
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,494,5211,0.0947995
Mortsel,11029,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,452,5244,0.0861937
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,147,2026,0.0725568
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,167,2019,0.0827142
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,169,2044,0.082681
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,179,2070,0.0864734
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,155,2121,0.0730787
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,176,2208,0.0797101
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,198,2221,0.089149
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,170,2262,0.0751547
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,181,2330,0.0776824
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,194,2414,0.0803645
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,185,2393,0.0773088
Niel,11030,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,178,2437,0.0730406
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,106,3693,0.028703
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,117,3630,0.0322314
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,122,3584,0.0340402
