Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Totaal netto belastbaar inkomen 
(in miljoen euro)","Aantal fiscale aangiften 
(zonder nulaangiften)","Gemiddeld inkomen, per aangifte 
(in euro)"
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2009,416.479,12521,33262.5
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2010,419.315,12499,33547.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2011,434.876,12397,35079.1
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2012,450.969,12171,37052.7
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2013,457.874,12286,37267.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2014,475.737,12299,38680.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2015,486.124,12402,39197.2
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2016,495.783,12535,39551.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2017,502.572,12620,39823.5
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2018,520.686,12587,41367.0
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2019,537.025,12572,42715.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2020,538.381,12426,43326.9
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1991,107.29,5599,19162.4
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1992,117.95,5650,20876.1
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1993,125.53,5846,21472.8
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1994,130.89,5986,21866.0
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1995,136.96,6436,21280.3
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1996,142.51,6556,21737.3
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1997,152.4,6859,22219.0
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1998,156.83,7005,22388.3
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",1999,166.99,7204,23180.2
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2000,163.65,6991,23408.7
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2001,180.53,7225,24986.9
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2002,189.6,7821,24242.4
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2003,205.308,8673,23672.1
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2004,219.073,8867,24706.6
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2005,224.588,8954,25082.4
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2006,238.855,9176,26030.4
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2007,250.177,9353,26748.3
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2008,262.482,9363,28034.0
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2009,270.336,9480,28516.5
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2010,279.224,9598,29091.8
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2011,289.66,9647,30025.9
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2012,297.592,9506,31305.7
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2013,307.559,9671,31802.2
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2014,328.459,9816,33461.6
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2015,336.538,9995,33670.7
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2016,337.189,10120,33319.0
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2017,348.335,10251,33980.6
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2018,357.961,10221,35022.1
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2019,373.83,10301,36290.6
Essen,11016,Nee,"Gemiddeld inkomen, per aangifte",2020,385.17,10273,37493.5
Hemiksem,11018,Nee,"Gemiddeld inkomen, per aangifte",1991,78.61,4156,18914.8
Hemiksem,11018,Nee,"Gemiddeld inkomen, per aangifte",1992,84.88,4104,20682.3
Hemiksem,11018,Nee,"Gemiddeld inkomen, per aangifte",1993,85.92,4179,20559.9
Hemiksem,11018,Nee,"Gemiddeld inkomen, per aangifte",1994,89.44,4081,21916.2
Hemiksem,11018,Nee,"Gemiddeld inkomen, per aangifte",1995,92.64,4339,21350.5
