Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2016,99,8141,0.0121607
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2017,103,8152,0.0126349
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2018,107,8115,0.0131855
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2019,118,8125,0.0145231
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2020,120,8277,0.014498
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2021,121,8287,0.0146012
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2022,121,8311,0.014559
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2011,276,17952,0.0153743
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2012,289,18126,0.0159439
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2013,296,18184,0.016278
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2014,307,18165,0.0169006
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2015,324,18192,0.01781
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2016,342,18336,0.0186518
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2017,338,18490,0.0182802
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2018,334,18608,0.0179493
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2019,344,18695,0.0184006
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2020,364,18872,0.0192878
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2021,370,19020,0.0194532
Kalmthout,11022,Nee,Personen met sociale bijstandsuitkering,2022,368,19179,0.0191877
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2011,343,26437,0.0129742
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2012,360,26546,0.0135614
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2013,367,26506,0.0138459
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2014,393,26540,0.0148078
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2015,404,26702,0.01513
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2016,403,26745,0.0150682
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2017,406,26750,0.0151776
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2018,410,26771,0.0153151
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2019,453,26850,0.0168715
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2020,469,26981,0.0173826
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2021,481,27157,0.0177118
Kapellen,11023,Nee,Personen met sociale bijstandsuitkering,2022,490,27442,0.0178558
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2011,354,20584,0.0171978
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2012,338,20739,0.0162978
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2013,342,20883,0.016377
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2014,345,20913,0.0164969
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2015,382,20886,0.0182898
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2016,402,20873,0.0192593
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2017,395,20952,0.0188526
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2018,401,21074,0.0190282
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2019,416,21115,0.0197016
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2020,417,21203,0.019667
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2021,433,21260,0.0203669
Kontich,11024,Nee,Personen met sociale bijstandsuitkering,2022,448,21340,0.0209934
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2011,100,8522,0.0117343
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2012,101,8620,0.0117169
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2013,119,8668,0.0137287
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2014,122,8752,0.0139397
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2015,117,8767,0.0133455
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2016,116,8821,0.0131504
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2017,113,8781,0.0128687
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2018,109,8787,0.0124047
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2019,113,8718,0.0129617
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2020,123,8641,0.0142345
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2021,125,8575,0.0145773
Lint,11025,Nee,Personen met sociale bijstandsuitkering,2022,125,8553,0.0146148
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2011,667,24804,0.0268908
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2012,697,25143,0.0277214
