Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Procent
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2011,0.02451
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2012,0.01546
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2013,0.02956
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2014,0.03825
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2015,0.02809
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2016,0.02424
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2017,0.02367
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2018,0.02339
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2019,0.03483
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2020,0.03333
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2021,0.04
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2001,0.01145
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2002,0.01172
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2003,0.01242
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2004,0.01183
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2005,0.0119
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2006,0.01544
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2007,0.01594
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2008,0.0137
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2009,0.01328
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2010,0.01259
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2011,0.02448
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2012,0.02752
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2013,0.0229
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2014,0.02286
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2015,0.01883
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2016,0.02991
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2017,0.02996
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2018,0.02471
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2019,0.03493
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2020,0.03314
Kalmthout,11022,Nee,Kansarmoede-index Kind en Gezin,2021,0.0229
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2001,0.11819
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2002,0.08197
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2003,0.07926
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2004,0.0585
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2005,0.06712
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2006,0.07242
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2007,0.0445
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2008,0.04235
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2009,0.05096
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2010,0.0516
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2011,0.06425
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2012,0.05014
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2013,0.06122
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2014,0.08609
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2015,0.09312
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2016,0.0819
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2017,0.0625
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2018,0.08261
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2019,0.08807
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2020,0.06855
Kapellen,11023,Nee,Kansarmoede-index Kind en Gezin,2021,0.07913
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2001,0.02458
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2002,0.02083
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2003,0.02013
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2004,0.01993
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2005,0.03015
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2006,0.01631
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2007,0.01715
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2008,0.03584
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2009,0.03839
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2010,0.05804
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2011,0.07431
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2012,0.0784
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2013,0.07276
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2014,0.06033
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2015,0.09142
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2016,0.10054
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2017,0.09447
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2018,0.07257
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2019,0.0651
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2020,0.0582
Kontich,11024,Nee,Kansarmoede-index Kind en Gezin,2021,0.06736
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2001,0.06693
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2002,0.07113
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2003,0.07763
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2004,0.05286
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2005,0.05462
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2006,0.03673
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2007,0.06073
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2008,0.04115
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2009,0.02778
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2010,0.02745
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2011,0.03
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2012,0.04967
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2013,0.0695
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2014,0.09811
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2015,0.12
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2016,0.1087
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2017,0.11618
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2018,0.16309
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2019,0.16129
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2020,0.10314
Lint,11025,Nee,Kansarmoede-index Kind en Gezin,2021,0.0935
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2001,0.04255
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2002,0.03887
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2003,0.03543
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2004,0.03581
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2005,0.04101
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2006,0.04139
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2007,0.04016
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2008,0.04819
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2009,0.05017
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2010,0.05876
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2011,0.0699
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2012,0.09207
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2013,0.09944
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2014,0.09615
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2015,0.10068
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2016,0.11981
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2017,0.15545
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2018,0.14723
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2019,0.13801
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2020,0.12585
Mortsel,11029,Nee,Kansarmoede-index Kind en Gezin,2021,0.10746
Niel,11030,Nee,Kansarmoede-index Kind en Gezin,2001,0.04658
